word	Belarusian-be	emotion	emotion-intensity-score
heyday	росквіт	anticipation	0.492
consequent	следства	anticipation	0.492
proceeding	судаводства	anticipation	0.492
eventual	магчымы	anticipation	0.492
perspective	перспектывы	anticipation	0.492
restorative	ўмацоўвае	anticipation	0.492
undertaking	прадпрыемства	anticipation	0.492
highest	найвышэйшы	anticipation	0.491
duel	паядынак	anticipation	0.484
unexplained	невытлумачальны	anticipation	0.484
tremor	тремор	anticipation	0.484
sharpen	тачыць	anticipation	0.484
generosity	велікадушнасць	anticipation	0.484
voluptuous	сладастрасны	anticipation	0.484
shortly	неўзабаве	anticipation	0.484
vow	клятва	anticipation	0.484
contagion	зараза	anticipation	0.484
letter	ліст	anticipation	0.484
happen	здарацца	anticipation	0.484
threaten	пагражаць	anticipation	0.484
conjure	заклінаць	anticipation	0.484
sparkle	іскрыцца	anticipation	0.484
engulf	паглынаць	anticipation	0.484
god	бог	anticipation	0.484
correspondence	перапіска	anticipation	0.484
auspicious	спрыяльны	anticipation	0.484
princely	царскі	anticipation	0.484
adore	обожать	anticipation	0.477
enroll	залічаць	anticipation	0.477
determinate	дэтэрмінаваных	anticipation	0.477
predispose	схіляць	anticipation	0.477
clue	ключ	anticipation	0.477
onset	пачатак	anticipation	0.477
powerful	магутны	anticipation	0.477
glorify	праслаўляць	anticipation	0.477
glow	палаць	anticipation	0.477
arbitration	арбітраж	anticipation	0.477
torture	катаванні	anticipation	0.477
gravitate	імкнуцца	anticipation	0.477
cherish	песціць	anticipation	0.477
contemplate	сузіраць	anticipation	0.477
submit	прадставіць	anticipation	0.477
perilous	рызыкоўны	anticipation	0.477
unification	аб'яднанне	anticipation	0.477
score	кошт	anticipation	0.477
medal	медаль	anticipation	0.477
glide	слізгаценне	anticipation	0.477
recipient	атрымальнік	anticipation	0.477
accompaniment	суправаджэнне	anticipation	0.477
praiseworthy	пахвальны	anticipation	0.473
providing	забеспячэнне	anticipation	0.469
motion	рух	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	асцярожны	anticipation	0.469
cash	наяўныя грошы	anticipation	0.469
precursor	папярэднік	anticipation	0.469
opera	опера	anticipation	0.469
elite	эліта	anticipation	0.469
pry	падглядваць	anticipation	0.469
hire	пракат	anticipation	0.469
sweets	цукеркі	anticipation	0.469
star	зорка	anticipation	0.469
unsurpassed	непераўзыдзены	anticipation	0.469
successful	паспяховы	anticipation	0.469
unknown	невядомы	anticipation	0.469
immediately	неадкладна	anticipation	0.469
starry	зорны	anticipation	0.469
production	вытворчасць	anticipation	0.469
football	футбол	anticipation	0.469
completion	завяршэнне	anticipation	0.469
scare	папалохаць	anticipation	0.469
invoke	заклікаць	anticipation	0.469
shaky	нетрывалы	anticipation	0.469
dawn	світанак	anticipation	0.469
creeping	паўзучы	anticipation	0.469
cheerfulness	бадзёрасць	anticipation	0.461
soundness	трываласць	anticipation	0.461
mail	пошта	anticipation	0.461
draft	праект	anticipation	0.461
preliminary	папярэдні	anticipation	0.461
friendly	сяброўскі	anticipation	0.461
commemorative	памятны	anticipation	0.461
extricate	выблытвацца	anticipation	0.461
alive	жывы	anticipation	0.461
untold	незлічоная	anticipation	0.461
overture	уверцюра	anticipation	0.461
excel	пераўзыходзіць	anticipation	0.461
plight	становішча	anticipation	0.461
synchronize	сінхранізаваць	anticipation	0.461
punt	пласкадонка	anticipation	0.461
sanctuary	сьвятыню	anticipation	0.461
brilliant	бліскучы	anticipation	0.461
pay	плаціць	anticipation	0.461
shining	зіхатлівы	anticipation	0.461
regatta	рэгата	anticipation	0.461
testament	завяшчанне	anticipation	0.461
jeopardy	падсуднасць	anticipation	0.461
perpetuity	бясконцасць	anticipation	0.453
elegance	элегантнасць	anticipation	0.453
career	кар'ера	anticipation	0.453
basketball	баскетбол	anticipation	0.453
intimately	цесна	anticipation	0.453
renovate	рамантаваць	anticipation	0.453
supremacy	прымат	anticipation	0.453
infinity	бясконцасць	anticipation	0.453
unexpected	нечаканы	anticipation	0.453
flinch	здрыгануцца	anticipation	0.453
complement	дадатак	anticipation	0.453
prologue	пралог	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	прафілактыка	anticipation	0.453
improve	паляпшаць	anticipation	0.453
sunset	закат	anticipation	0.453
inaugural	ўступны	anticipation	0.453
rehabilitation	рэабілітацыя	anticipation	0.453
fitting	прымерка	anticipation	0.445
surround	атачаць	anticipation	0.445
share	доля	anticipation	0.445
epidemic	эпідэмія	anticipation	0.445
sweet	салодкі	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	маскіроўка	anticipation	0.445
confidence	упэўненасць	anticipation	0.445
perfect	дасканалы	anticipation	0.445
sun	сонца	anticipation	0.445
veracity	праўдзівасць	anticipation	0.445
volunteer	добраахвотнік	anticipation	0.445
conjecture	здагадка	anticipation	0.445
medical	медыцынская	anticipation	0.438
prepared	падрыхтаваны	anticipation	0.438
superstitious	забабонны	anticipation	0.438
reconstruction	рэканструкцыя	anticipation	0.438
tickle	казытаць	anticipation	0.438
faith	вера	anticipation	0.438
passenger	пасажыр	anticipation	0.438
saint	святой	anticipation	0.438
respect	павага	anticipation	0.438
rabid	шалёны	anticipation	0.438
reconstruct	рэканструяваць	anticipation	0.438
recombination	рэкамбінацыі	anticipation	0.438
devout	набожны	anticipation	0.438
goodness	дабрыня	anticipation	0.438
angel	анёл	anticipation	0.438
ferment	закісанне	anticipation	0.438
plea	маленне	anticipation	0.438
aloha	алоха	anticipation	0.438
serial	паслядоўны	anticipation	0.438
conservation	захаванне	anticipation	0.438
serenity	ціхамірнасць	anticipation	0.430
tabulate	пласціністы	anticipation	0.430
install	ўсталёўваць	anticipation	0.430
labyrinth	лабірынт	anticipation	0.430
venerable	шаноўны	anticipation	0.430
perpetuate	увекавечваць	anticipation	0.430
strategist	стратэг	anticipation	0.430
unverified	неправераны	anticipation	0.430
tribunal	суд	anticipation	0.430
charitable	дабрачынны	anticipation	0.430
luscious	прыкры	anticipation	0.430
spa	спа	anticipation	0.430
peace	свет	anticipation	0.430
clap	пляскаць	anticipation	0.430
conspirator	змоўшчык	anticipation	0.422
forestall	папярэджваць	anticipation	0.422
patience	цярпенне	anticipation	0.422
oasis	аазіс	anticipation	0.422
grin	ўсмешка	anticipation	0.422
revere	богабаязныя	anticipation	0.422
worship	пакланенне	anticipation	0.422
vista	перспектыва	anticipation	0.422
laughter	смех	anticipation	0.422
volatility	лятучасць	anticipation	0.422
adrift	дрэйфаваць	anticipation	0.422
candid	бесстаронні	anticipation	0.422
edification	настаўленьне	anticipation	0.422
unresolved	нявырашанае	anticipation	0.422
peaceful	мірны	anticipation	0.422
recognizable	вядомым	anticipation	0.422
calls	званкі	anticipation	0.414
weigh	ўзважваць	anticipation	0.414
probation	выпрабавальны тэрмін	anticipation	0.414
proficiency	уменне	anticipation	0.414
morn	раніца	anticipation	0.414
craps	азартная гульня ў косці	anticipation	0.414
detainee	затрыманы	anticipation	0.414
mediate	Пасрэднічаю	anticipation	0.414
continue	працягваць	anticipation	0.414
astrologer	астролаг	anticipation	0.414
punctual	пунктуальны	anticipation	0.414
ordination	пасвячэнне	anticipation	0.414
pretty	даволі	anticipation	0.414
thought	думка	anticipation	0.414
grant	дараваць	anticipation	0.414
withstand	вытрымліваць	anticipation	0.414
frisky	жвавы	anticipation	0.414
ongoing	пастаянны	anticipation	0.414
sing	спяваць	anticipation	0.411
long	доўга	anticipation	0.406
confession	прызнанне	anticipation	0.406
headlight	фара	anticipation	0.406
prophylactic	прафілактычны	anticipation	0.406
mother	маці	anticipation	0.406
debenture	аблігацыя	anticipation	0.406
wizard	чараўнік	anticipation	0.406
university	універсітэт	anticipation	0.406
proud	горды	anticipation	0.406
midwife	акушэрка	anticipation	0.406
banquet	бяседа	anticipation	0.406
continuation	працяг	anticipation	0.406
navigable	суднаходны	anticipation	0.406
punished	пакаралі	anticipation	0.406
chicane	прыдзірацца	anticipation	0.406
comfort	камфорт	anticipation	0.406
opponent	праціўнік	anticipation	0.406
subscribe	падпісвацца	anticipation	0.406
outdo	перафрантаваць	anticipation	0.406
nurture	ўзгадаваць	anticipation	0.406
twinkle	мігацець	anticipation	0.406
deal	здзелка	anticipation	0.402
efficient	эфектыўнае	anticipation	0.398
representing	які прадстаўляе	anticipation	0.398
simmer	кіпяціць на павольным агні	anticipation	0.398
symphony	сімфонія	anticipation	0.398
judiciary	судовая сістэма	anticipation	0.398
obliging	паслужлівы	anticipation	0.398
saintly	бязгрэшны	anticipation	0.398
vigil	трыванне	anticipation	0.398
death	смерць	anticipation	0.398
distracting	адцягвае	anticipation	0.398
mortification	змярцвенне	anticipation	0.398
balm	бальзам	anticipation	0.398
guillotine	гільяціна	anticipation	0.398
top	топ	anticipation	0.398
lettered	ліцерны	anticipation	0.398
reliance	апора	anticipation	0.398
poke	соваць	anticipation	0.391
unfulfilled	нявыкананы	anticipation	0.391
assurance	гарантыя	anticipation	0.391
condemnation	асуджэнне	anticipation	0.391
undoubted	бясспрэчны	anticipation	0.391
diplomacy	дыпламатыя	anticipation	0.391
familiarity	знаёмства	anticipation	0.391
antidote	антыдот	anticipation	0.391
chuckle	пасмейвацца	anticipation	0.391
objective	мэта	anticipation	0.391
maternal	мацярынскі	anticipation	0.391
abeyance	латэнтнасьць	anticipation	0.391
art	мастацтва	anticipation	0.391
linger	затрымлівацца	anticipation	0.391
trust	давер	anticipation	0.391
depraved	разбэшчаны	anticipation	0.391
sanctify	асвячаць	anticipation	0.391
inoculation	прышчэпка	anticipation	0.384
chant	сьпеў	anticipation	0.383
banger	сасіска	anticipation	0.383
playground	дзіцячая пляцоўка	anticipation	0.383
failing	правал	anticipation	0.383
ship	карабель	anticipation	0.383
hymn	гімн	anticipation	0.383
simplify	спрасціць	anticipation	0.383
ram	баран	anticipation	0.383
labor	працы	anticipation	0.383
discretion	абачлівасць	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	добра	anticipation	0.383
scientist	вучоны	anticipation	0.383
undecided	нерашучы	anticipation	0.383
humanitarian	гуманітарны	anticipation	0.383
depend	залежаць	anticipation	0.383
dutiful	пакорны	anticipation	0.383
clock	гадзіны	anticipation	0.375
sterling	Стэрлінг	anticipation	0.375
mountain	гара	anticipation	0.375
savor	смакаваць	anticipation	0.375
recurrent	зваротны	anticipation	0.375
interim	прамежкавы	anticipation	0.375
navigator	навігатар	anticipation	0.375
gradual	паступовы	anticipation	0.375
interminable	бясконцы	anticipation	0.375
track	трэк	anticipation	0.375
public	грамадскасці	anticipation	0.375
cradle	калыска	anticipation	0.375
concealed	схаваны	anticipation	0.367
lesson	ўрок	anticipation	0.367
instructions	інструкцыі	anticipation	0.367
shiver	дрыжаць	anticipation	0.367
musical	музычны	anticipation	0.367
towering	ўзвышаецца	anticipation	0.367
whim	капрыз	anticipation	0.367
spear	дзіду	anticipation	0.367
convince	пераконваць	anticipation	0.367
sonar	сонар	anticipation	0.367
abide	выконваць	anticipation	0.367
biennial	двухгадовы	anticipation	0.367
theology	тэалогія	anticipation	0.359
offset	зрушэнне	anticipation	0.359
atone	выкупаць	anticipation	0.359
timidity	нясмеласць	anticipation	0.359
theory	тэорыя	anticipation	0.359
undying	несмяротны	anticipation	0.359
plump	паўнець	anticipation	0.359
audience	аўдыторыя	anticipation	0.357
nobility	ведаць	anticipation	0.352
paragon	Парагон	anticipation	0.352
dietary	дыетычны	anticipation	0.352
closure	закрыццё	anticipation	0.352
store	крама	anticipation	0.352
localize	лакалізаваць	anticipation	0.352
cramp	сутарга	anticipation	0.352
daily	штодня	anticipation	0.352
kindred	роднасны	anticipation	0.352
farm	ферма	anticipation	0.352
edition	выданне	anticipation	0.352
consecration	асвячэнне	anticipation	0.352
archaeology	археалогія	anticipation	0.344
mobile	мабільны	anticipation	0.344
errand	даручэнне	anticipation	0.344
wireless	бесправадной	anticipation	0.344
mutable	зменлівы	anticipation	0.344
meditate	абдумваць	anticipation	0.344
stripped	распрануты	anticipation	0.344
lessen	памяншаць	anticipation	0.336
unaccountable	невытлумачальны	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	братэрскі	anticipation	0.336
buddy	дружа	anticipation	0.336
unbeaten	непераўзыдзены	anticipation	0.336
germ	мікроб	anticipation	0.336
dove	голуб	anticipation	0.328
digress	адступаць	anticipation	0.328
ribbon	стужка	anticipation	0.328
olfactory	нюхальны	anticipation	0.328
patient	пацыент	anticipation	0.328
council	савет	anticipation	0.328
possess	валодаць	anticipation	0.328
secular	свецкі	anticipation	0.328
chastity	цнатлівасць	anticipation	0.328
disposed	размешчаны	anticipation	0.320
regularity	рэгулярнасць	anticipation	0.320
mediator	медыятар	anticipation	0.320
scrutinize	старанна даследаваць	anticipation	0.320
fancy	маскарадны	anticipation	0.320
immature	няспелы	anticipation	0.320
infanticide	дзетазабойства	anticipation	0.320
heft	прыўздымаць	anticipation	0.320
preservative	кансервант	anticipation	0.320
paddle	вясло	anticipation	0.320
cove	бухточка	anticipation	0.320
denying	які адмаўляе	anticipation	0.312
bugle	горн	anticipation	0.312
unpublished	неапублікаваны	anticipation	0.312
analyst	аналітык	anticipation	0.312
grim	змрочны	anticipation	0.312
church	царква	anticipation	0.312
priesthood	сьвятарства	anticipation	0.305
mill	млын	anticipation	0.305
judicial	судовая	anticipation	0.305
broadside	бартавы залп	anticipation	0.305
tributary	даннікаў	anticipation	0.297
cap	вечка	anticipation	0.297
thermocouple	тэрмапара	anticipation	0.297
dismay	спалох	anticipation	0.297
instructor	інструктар	anticipation	0.297
saliva	сліна	anticipation	0.297
exhaustion	знясіленне	anticipation	0.297
bruise	сіняк	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	бяздомны	anticipation	0.289
visor	казырок	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	сетка	anticipation	0.289
shackle	дужка	anticipation	0.289
addresses	адрасы	anticipation	0.289
noncompliance	няўзгодненасць	anticipation	0.289
cataract	катаракта	anticipation	0.289
skewed	перакос	anticipation	0.281
astronomer	астраном	anticipation	0.281
neighbor	сусед	anticipation	0.281
holiness	пабожнасьць	anticipation	0.273
devil	д'ябал	anticipation	0.273
cream	крэм	anticipation	0.273
picket	пікет	anticipation	0.273
latent	латэнтны	anticipation	0.273
immaturity	няспеласць	anticipation	0.273
sentence	прапанова	anticipation	0.273
neighborhood	наваколлі	anticipation	0.266
morals	норавы	anticipation	0.266
lull	зацішша	anticipation	0.266
habitual	звыклы	anticipation	0.266
weight	вага	anticipation	0.258
bye	да пабачэння	anticipation	0.258
forearm	перадплечча	anticipation	0.250
clown	клоўн	anticipation	0.250
organ	орган	anticipation	0.250
quote	каціроўка	anticipation	0.242
commonplace	банальнасьць	anticipation	0.242
dictatorship	дыктатура	anticipation	0.234
board	дошка	anticipation	0.234
white	белы	anticipation	0.234
treadmill	бягучы дарожка	anticipation	0.234
rail	рэек	anticipation	0.234
sundial	сонечны гадзіннік	anticipation	0.227
tree	дрэва	anticipation	0.227
paralysis	параліч	anticipation	0.211
worm	чарвяк	anticipation	0.203
organization	арганізацыя	anticipation	0.203
cement	цэмент	anticipation	0.203
lagging	адсталы	anticipation	0.180
neutral	нейтральны	anticipation	0.148
cannibalism	людаедства	disgust	0.953
mutilation	калецтва	disgust	0.930
molestation	назойлівасць	disgust	0.914
incest	кровазмяшэння	disgust	0.914
gonorrhea	ганарэя	disgust	0.906
rape	згвалтаванне	disgust	0.906
cannibal	канібал	disgust	0.898
rot	гнілата	disgust	0.891
corpse	труп	disgust	0.883
massacre	бойня	disgust	0.883
excrement	экскрыменты	disgust	0.883
slaughter	забой жывёлы	disgust	0.875
barf	ванітаваць	disgust	0.875
slaughterhouse	скотобойню	disgust	0.867
rancid	прагорклым	disgust	0.859
sewerage	каналізацыя	disgust	0.859
incestuous	кровазмяшальны	disgust	0.859
filth	гадасць	disgust	0.859
bigot	фанатык	disgust	0.859
infestation	інвазія	disgust	0.852
plague	чума	disgust	0.852
bloodthirsty	крыважэрны	disgust	0.852
holocaust	вынішчэньне	disgust	0.852
rotting	гнілых	disgust	0.844
maggot	лічынка	disgust	0.844
feces	фекаліі	disgust	0.844
fecal	фекальная	disgust	0.844
murder	забойства	disgust	0.839
infanticide	дзетазабойства	disgust	0.836
homicide	забойства	disgust	0.836
asshole	мудак	disgust	0.836
enslaved	паняволеных	disgust	0.836
gore	ластовица	disgust	0.828
perverted	перакручаны	disgust	0.828
torture	катаванні	disgust	0.828
slaughtering	забой	disgust	0.828
excretion	экскрэцыя	disgust	0.828
contaminate	забруджваць	disgust	0.821
murderer	забойца	disgust	0.820
gory	скрываўлены	disgust	0.820
repugnant	агідны	disgust	0.820
desecration	апаганьванне	disgust	0.820
grotesque	гратэскавы	disgust	0.820
revolting	агідны	disgust	0.820
diarrhoea	панос	disgust	0.820
manure	гной	disgust	0.820
terrorist	тэрарыст	disgust	0.820
shit	дзярмо	disgust	0.820
pervert	перакрут	disgust	0.820
slavery	рабства	disgust	0.812
faeces	фекаліі	disgust	0.812
sewer	сцёкавая труба	disgust	0.812
vomit	ірвотнае	disgust	0.812
manslaughter	ненаўмысным забойстве	disgust	0.812
dismemberment	расчляненне	disgust	0.812
cadaver	труп	disgust	0.812
hemorrhage	кровазліццё	disgust	0.805
repulsive	адштурхвае	disgust	0.805
perverse	перакручаны	disgust	0.805
filthy	агідны	disgust	0.797
sewage	сцёкавая вада	disgust	0.797
depravity	разбэшчанага	disgust	0.797
diseased	хворы	disgust	0.797
carcass	туша	disgust	0.795
decompose	раскладацца	disgust	0.789
vermin	шкоднікі	disgust	0.789
puke	ванітаваць	disgust	0.789
parasite	паразіт	disgust	0.789
horrific	жахлівы	disgust	0.789
gruesome	агідны	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	знявечаны	disgust	0.789
murderous	забойны	disgust	0.789
decayed	гнілы	disgust	0.789
herpes	герпес	disgust	0.789
slime	ціна	disgust	0.781
flatulence	метэарызм	disgust	0.781
monstrosity	пачварнасць	disgust	0.781
carnage	разня	disgust	0.781
pestilence	мор	disgust	0.781
malaria	малярыя	disgust	0.781
crap	дзярмо	disgust	0.781
toxic	таксічны	disgust	0.773
loathsome	агідны	disgust	0.773
insidious	падступны	disgust	0.773
leprosy	праказа	disgust	0.773
morgue	морг	disgust	0.773
pus	гной	disgust	0.773
herpesvirus	герпесвірусов	disgust	0.773
whore	шлюха	disgust	0.766
cruel	жорсткі	disgust	0.766
repugnance	непрыхільнасць	disgust	0.766
revulsion	адліў	disgust	0.766
xenophobia	ксенафобія	disgust	0.766
regurgitation	регургитация	disgust	0.766
anthrax	сібірская язва	disgust	0.766
lynch	лінчавалі	disgust	0.766
dissection	рассяканне	disgust	0.759
canker	стаматыт	disgust	0.758
cruelty	жорсткасць	disgust	0.758
perversion	вычварэнства	disgust	0.758
evil	зло	disgust	0.758
slum	трушчобы	disgust	0.758
infectious	інфекцыйны	disgust	0.758
mucous	слізісты	disgust	0.758
phlegm	мокрота	disgust	0.758
leeches	п'яўкі	disgust	0.750
decomposition	раскладанне	disgust	0.750
sinister	злавесны	disgust	0.750
corrupting	разбэшчваць	disgust	0.750
demon	дэман	disgust	0.742
stinking	смуродны	disgust	0.742
septic	сэптычных	disgust	0.742
deranged	ненармальны	disgust	0.742
bile	жоўць	disgust	0.742
soiled	запэцканы	disgust	0.742
mucus	слізь	disgust	0.742
abhorrence	агіда	disgust	0.742
abomination	мярзота	disgust	0.742
sickening	ванітны	disgust	0.742
demonic	дэманічны	disgust	0.742
foul	фол	disgust	0.734
obese	які пакутуе атлусценнем	disgust	0.734
sicken	перасыціцца	disgust	0.734
degeneracy	звод	disgust	0.734
crucifixion	распяцце на крыжы	disgust	0.734
despicable	пагарджаны	disgust	0.734
cancer	рак	disgust	0.734
atrocity	зверства	disgust	0.734
terrorism	тэрарызм	disgust	0.734
dirty	брудны	disgust	0.727
dysentery	дызентэрыя	disgust	0.727
adultery	пералюб	disgust	0.727
contamination	забруджванне	disgust	0.727
bacterium	бактэрыя	disgust	0.727
diabolical	д'ябальскі	disgust	0.727
morbidity	захворванне	disgust	0.727
grisly	кепскі	disgust	0.727
repulsion	адштурхванне	disgust	0.727
enema	клізма	disgust	0.727
contagion	зараза	disgust	0.719
disfigured	знявечаны	disgust	0.719
muck	дрэнь	disgust	0.719
lewd	непрыстойны	disgust	0.719
garbage	смецце	disgust	0.719
autopsy	ускрыццё трупа	disgust	0.719
bowels	кішачнік	disgust	0.719
gross	брута	disgust	0.719
vulgar	вульгарны	disgust	0.719
barbaric	варварскі	disgust	0.719
disgust	гідлівасць	disgust	0.719
vicious	заганны	disgust	0.719
entrails	вантробы	disgust	0.719
deterioration	пагаршэнне	disgust	0.719
pungent	з'едлівы	disgust	0.719
bloodshed	кровапраліцце	disgust	0.714
violent	гвалтоўны	disgust	0.711
tyrant	тыран	disgust	0.711
poisoned	атручаны	disgust	0.711
pollute	забруджваць	disgust	0.711
wretched	няшчасны	disgust	0.711
nausea	млоснасць	disgust	0.711
mortification	змярцвенне	disgust	0.711
gag	кляп	disgust	0.711
vulgarity	вульгарнасць	disgust	0.703
disgusting	агідны	disgust	0.703
grope	намацваць	disgust	0.703
slut	шлюха	disgust	0.703
poisoning	атручванне	disgust	0.703
depraved	разбэшчаны	disgust	0.703
noxious	шкодны	disgust	0.703
porn	порна	disgust	0.703
nasty	адваротны	disgust	0.703
slimy	слізісты	disgust	0.703
despotism	дэспатызм	disgust	0.703
nauseate	выклікаць агіду	disgust	0.703
secretion	сэкрэцыя	disgust	0.703
constipation	завала	disgust	0.703
hateful	ненавісны	disgust	0.703
grime	бруднымі	disgust	0.703
measles	адзёр	disgust	0.696
contagious	інфекцыйны	disgust	0.695
hellish	пякельны	disgust	0.695
waste	адходы	disgust	0.695
suicidal	самагубчы	disgust	0.695
abuse	злоўжыванне	disgust	0.695
hate	ненавідзець	disgust	0.695
wretch	нягоднік	disgust	0.695
intestinal	кішачны	disgust	0.695
wart	бародаўка	disgust	0.695
obesity	атлусценне	disgust	0.695
scum	сволач	disgust	0.695
contaminated	забруджаны	disgust	0.688
disease	хвароба	disgust	0.688
rabid	шалёны	disgust	0.688
ooze	ціна	disgust	0.688
treason	здрада	disgust	0.688
heartworm	глістоў	disgust	0.688
smut	галавешка	disgust	0.688
cholera	халера	disgust	0.680
deformed	пачварны	disgust	0.680
detest	ненавідзець	disgust	0.680
bestial	распусныя	disgust	0.680
sickness	хвароба	disgust	0.680
antichrist	антыхрыст	disgust	0.680
abhorrent	агідны	disgust	0.680
soulless	бяздушны	disgust	0.680
freakish	капрызны	disgust	0.680
grimy	мурзаты	disgust	0.680
hatred	нянавісць	disgust	0.680
pollution	забруджванне	disgust	0.680
germ	мікроб	disgust	0.680
abominate	сілкаваць агіду	disgust	0.680
hell	пекла	disgust	0.680
dilapidated	паўразбураны	disgust	0.672
dictatorship	дыктатура	disgust	0.672
inhuman	нечалавечы	disgust	0.672
greasy	сальны	disgust	0.672
hideous	агідны	disgust	0.672
loathful	агідны	disgust	0.672
obscene	непрыстойны	disgust	0.672
loathing	агіда	disgust	0.672
cess	падатак	disgust	0.670
devil	д'ябал	disgust	0.664
heretic	ерэтык	disgust	0.664
nauseous	ванітны	disgust	0.664
abominable	агідны	disgust	0.664
deformity	пачварнасць	disgust	0.664
deadly	смяротны	disgust	0.664
swine	свіння	disgust	0.664
discrimination	дыскрымінацыя	disgust	0.664
masochism	мазахізм	disgust	0.664
poisonous	атрутны	disgust	0.656
prejudiced	прадузяты	disgust	0.656
bacteria	бактэрыі	disgust	0.656
death	смерць	disgust	0.656
poison	яд	disgust	0.656
trash	смецце	disgust	0.656
abortion	аборт	disgust	0.656
corruption	карупцыя	disgust	0.656
victimized	виктимизации	disgust	0.656
oppression	прыгнёт	disgust	0.656
goo	ліпкая	disgust	0.656
latrines	прыбіральні	disgust	0.656
horror	жах	disgust	0.656
horrible	жудасны	disgust	0.656
nefarious	ганебны	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	помсны	disgust	0.648
outhouse	флігель	disgust	0.648
horrid	адваротны	disgust	0.648
detestation	агіда	disgust	0.648
sludge	адстой	disgust	0.648
ugly	пачварны	disgust	0.648
trashy	кепскай	disgust	0.648
bitch	сука	disgust	0.648
immoral	амаральны	disgust	0.648
malfeasance	злачынства	disgust	0.641
spew	ванітаваць	disgust	0.641
pimple	вугор	disgust	0.641
indecency	непрыстойнасць	disgust	0.641
unsightly	непрывабны	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	злачынны	disgust	0.641
cystic	Кістозны	disgust	0.641
horrifying	жахлівы	disgust	0.641
derogatory	прыніжальны	disgust	0.641
laxative	слабільнае	disgust	0.641
criminality	злачыннасць	disgust	0.641
oppressive	гнятлівы	disgust	0.633
sinful	грэшны	disgust	0.633
bigoted	нецярпімы	disgust	0.633
doomsday	канец святла	disgust	0.633
prostitution	прастытуцыя	disgust	0.633
ulcer	язва	disgust	0.633
secrete	выдзяляць	disgust	0.633
perpetrator	парушальнік	disgust	0.633
rat	пацук	disgust	0.633
queasy	пераборлівы	disgust	0.633
mildew	милдью	disgust	0.633
dastardly	подлы	disgust	0.625
disgraceful	ганебны	disgust	0.625
ghastly	жудасны	disgust	0.625
persecution	пераслед	disgust	0.625
devilish	д'ябальскі	disgust	0.625
degrading	прыніжаюць	disgust	0.625
obscenity	непрыстойнасць	disgust	0.625
fungus	грыбок	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	пражэрлівасць	disgust	0.625
stools	спаражнення	disgust	0.625
suffering	які пакутуе	disgust	0.625
contemptible	пагарджаны	disgust	0.625
cuckold	раганосец	disgust	0.625
bloated	разадзьмуты	disgust	0.625
aghast	ашаломлены	disgust	0.625
betrayal	здрада	disgust	0.617
guillotine	гільяціна	disgust	0.617
infect	заражаць	disgust	0.617
spoil	псаваць	disgust	0.617
tetanus	слупняк	disgust	0.617
fat	тлушч	disgust	0.617
louse	вош	disgust	0.617
malicious	зламысны	disgust	0.617
polygamy	палігамія	disgust	0.617
crusty	раздражняльны	disgust	0.617
atrocious	агідны	disgust	0.617
deceit	падман	disgust	0.617
termite	тэрміт	disgust	0.617
loathe	ненавідзець	disgust	0.617
wench	дзеўка	disgust	0.617
dying	паміраючы	disgust	0.617
sickly	ванітны	disgust	0.617
diaper	падгузнік	disgust	0.617
strangle	прыдушыць	disgust	0.617
drool	працякаць	disgust	0.609
slander	паклёп	disgust	0.609
abhor	сілкаваць агіду	disgust	0.609
venomous	атрутны	disgust	0.609
brothel	бардэль	disgust	0.609
ghetto	гета	disgust	0.609
violently	моцна	disgust	0.609
hostile	варожы	disgust	0.609
sabotage	сабатаж	disgust	0.609
deform	дэфармаваць	disgust	0.609
bleeding	крывацёк	disgust	0.609
unwashed	нямыты	disgust	0.602
lunacy	непрытомнасць	disgust	0.602
imprisonment	турэмнае зняволенне	disgust	0.602
infidel	хто ня верыць,	disgust	0.602
deprivation	пазбаўленне	disgust	0.602
traitor	здраднік	disgust	0.602
ugliness	пачварнасць	disgust	0.602
musty	затхлы	disgust	0.602
illicit	незаконны	disgust	0.602
swampy	багністы	disgust	0.602
poaching	браканьерства	disgust	0.602
hag	карга	disgust	0.602
butcher	мяснік	disgust	0.594
lunatic	памяшаны	disgust	0.594
venom	яд	disgust	0.594
repelling	адштурхвае	disgust	0.594
thug	галаварэз	disgust	0.594
misery	пакута	disgust	0.594
toilet	туалет	disgust	0.594
slug	Смоўж	disgust	0.594
catastrophe	катастрофа	disgust	0.594
epidemic	эпідэмія	disgust	0.594
gut	патрашыць	disgust	0.594
intoxicated	ап'янелы	disgust	0.594
blister	пухіры	disgust	0.594
deceitful	хлуслівы	disgust	0.594
hostility	варожасць	disgust	0.594
