word	Xhosa-xh	emotion	emotion-intensity-score
rabid	ku xhaphaza	anticipation	0.438
reconstruct	kwakhona	anticipation	0.438
recombination	ukuhlaziywa	anticipation	0.438
devout	mhlonela	anticipation	0.438
goodness	ukulunga	anticipation	0.438
angel	ngelosi	anticipation	0.438
ferment	u kuvumba	anticipation	0.438
plea	sicelo	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	i serial	anticipation	0.438
conservation	ulondolozo	anticipation	0.438
serenity	uzinzo	anticipation	0.430
tabulate	sichaze	anticipation	0.430
install	fakela	anticipation	0.430
labyrinth	labyrinth	anticipation	0.430
venerable	uzukileyo	anticipation	0.430
perpetuate	qhubeka	anticipation	0.430
strategist	cwangciso	anticipation	0.430
unverified	nga qi niseki	anticipation	0.430
tribunal	inkundla	anticipation	0.430
charitable	uncedo	anticipation	0.430
luscious	kuthanda	anticipation	0.430
spa	spa	anticipation	0.430
peace	uxolo	anticipation	0.430
clap	ukubetha	anticipation	0.430
conspirator	umqambi	anticipation	0.422
forestall	kuhlutha	anticipation	0.422
patience	nomonde	anticipation	0.422
oasis	oasis	anticipation	0.422
grin	igrin	anticipation	0.422
revere	ku hlonela	anticipation	0.422
worship	unqulo	anticipation	0.422
vista	vista	anticipation	0.422
laughter	ukuhleka	anticipation	0.422
volatility	ukungazinzi	anticipation	0.422
adrift	i-adrift	anticipation	0.422
candid	efanelekileyo	anticipation	0.422
edification	yokwakha	anticipation	0.422
unresolved	nga lungiswa	anticipation	0.422
peaceful	uxolo	anticipation	0.422
recognizable	ziyabonakala	anticipation	0.422
calls	iifowuni	anticipation	0.414
weigh	u bunzima	anticipation	0.414
probation	uvavanyo	anticipation	0.414
proficiency	u buchule	anticipation	0.414
morn	kusasa	anticipation	0.414
craps	i-craps	anticipation	0.414
detainee	u valelwe	anticipation	0.414
mediate	ukudibanisa	anticipation	0.414
continue	qhubeka	anticipation	0.414
astrologer	ngeenkwenkwezi	anticipation	0.414
punctual	ixesha	anticipation	0.414
ordination	ulungelelaniso	anticipation	0.414
pretty	intle	anticipation	0.414
thought	cinga	anticipation	0.414
grant	nelelo	anticipation	0.414
withstand	ukumelana	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	eqhubekayo	anticipation	0.414
sing	ukucula	anticipation	0.411
long	elide	anticipation	0.406
confession	ukuvuma	anticipation	0.406
headlight	ukukhanya	anticipation	0.406
prophylactic	prophylactic	anticipation	0.406
mother	umama	anticipation	0.406
debenture	ukuxolelwa	anticipation	0.406
wizard	wizard	anticipation	0.406
university	yunivesithi	anticipation	0.406
proud	nekratshi	anticipation	0.406
midwife	umbeleki	anticipation	0.406
banquet	isidlo	anticipation	0.406
continuation	qhubela phambili	anticipation	0.406
navigable	ihambo	anticipation	0.406
punished	uhlwaywe	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	thu thuzela	anticipation	0.406
opponent	umchasi	anticipation	0.406
subscribe	bhalise	anticipation	0.406
outdo	ngaphandle	anticipation	0.406
nurture	ku khusela	anticipation	0.406
twinkle	ziphosa	anticipation	0.406
deal	ukujongana	anticipation	0.402
efficient	ngempumelelo	anticipation	0.398
representing	emele	anticipation	0.398
simmer	mva	anticipation	0.398
symphony	symphony	anticipation	0.398
judiciary	magqwetha	anticipation	0.398
obliging	nya nze lekile	anticipation	0.398
saintly	ngcwele	anticipation	0.398
vigil	qaphela	anticipation	0.398
death	ukufa	anticipation	0.398
distracting	pha zamisa	anticipation	0.398
mortification	ukuxhatshazwa	anticipation	0.398
balm	balm	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	phezulu	anticipation	0.398
lettered	ku thunyelwa	anticipation	0.398
reliance	ku thembela	anticipation	0.398
poke	ukuphosa	anticipation	0.391
unfulfilled	engagqibekanga	anticipation	0.391
assurance	siqinisekiso	anticipation	0.391
condemnation	kugwetywa	anticipation	0.391
undoubted	ngathandabuzeki	anticipation	0.391
diplomacy	diplomacy	anticipation	0.391
familiarity	nolwazi	anticipation	0.391
antidote	antidote	anticipation	0.391
chuckle	kuhlutha	anticipation	0.391
objective	injongo	anticipation	0.391
maternal	umama	anticipation	0.391
abeyance	ukunyanzela	anticipation	0.391
art	ubugcisa	anticipation	0.391
linger	lixesha	anticipation	0.391
trust	themba	anticipation	0.391
depraved	ephosakeleyo	anticipation	0.391
sanctify	ngcwalisa	anticipation	0.391
inoculation	inoculation	anticipation	0.384
chant	ngoma	anticipation	0.383
banger	banger	anticipation	0.383
playground	indawo yokudlala	anticipation	0.383
failing	phu meleli	anticipation	0.383
ship	nqanawa	anticipation	0.383
hymn	ingoma	anticipation	0.383
simplify	lula	anticipation	0.383
ram	i-ram	anticipation	0.383
labor	sebenzi	anticipation	0.383
discretion	ingqiqo	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	kulungile	anticipation	0.383
scientist	nzu lulwazi	anticipation	0.383
undecided	engacacisiwe	anticipation	0.383
humanitarian	yoluntu	anticipation	0.383
depend	xho mekeka	anticipation	0.383
dutiful	efanelekileyo	anticipation	0.383
clock	iwashi	anticipation	0.375
sterling	oluhle	anticipation	0.375
mountain	entabeni	anticipation	0.375
savor	ncam	anticipation	0.375
recurrent	rhoqo	anticipation	0.375
interim	thutyana	anticipation	0.375
navigator	umqhubi	anticipation	0.375
gradual	ngokugqithiseleyo	anticipation	0.375
interminable	ku nga pheliyo	anticipation	0.375
track	ukulandelela	anticipation	0.375
public	loluntu	anticipation	0.375
cradle	yokulala	anticipation	0.375
concealed	zifihliwe	anticipation	0.367
lesson	sifundo	anticipation	0.367
instructions	imiyalelo	anticipation	0.367
shiver	thu thuzela	anticipation	0.367
musical	zomculo	anticipation	0.367
towering	kakhulu	anticipation	0.367
whim	ngethuba	anticipation	0.367
spear	umkhonto	anticipation	0.367
convince	ku kholisa	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	kuhlala	anticipation	0.367
biennial	i-biennial	anticipation	0.367
theology	ye teyoloji	anticipation	0.359
offset	ukucinywa	anticipation	0.359
atone	ku bonisa	anticipation	0.359
timidity	utywaba	anticipation	0.359
theory	ngcamango	anticipation	0.359
undying	ukuphazamiseka	anticipation	0.359
plump	ukubola	anticipation	0.359
audience	abaphulaphuli	anticipation	0.357
nobility	uzuko	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	zokutya	anticipation	0.352
closure	kuvalwa	anticipation	0.352
store	ivenkile	anticipation	0.352
localize	bafumane indawo	anticipation	0.352
cramp	ikhefu	anticipation	0.352
daily	imihla ngemihla	anticipation	0.352
kindred	zalwana	anticipation	0.352
farm	kwifama	anticipation	0.352
edition	lohlobo	anticipation	0.352
consecration	ku ngcwalisa	anticipation	0.352
archaeology	yokuchonga	anticipation	0.344
mobile	ehambayo	anticipation	0.344
errand	ngenye indlela	anticipation	0.344
wireless	wireless	anticipation	0.344
mutable	ziguqule	anticipation	0.344
meditate	kucamngca	anticipation	0.344
stripped	zihlulwe	anticipation	0.344
lessen	nciphise	anticipation	0.336
unaccountable	ezingenakubalwa	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	zalwana	anticipation	0.336
buddy	ngumhlobo	anticipation	0.336
unbeaten	nga zi	anticipation	0.336
germ	intsholongwane	anticipation	0.336
dove	ihobe	anticipation	0.328
digress	i-digress	anticipation	0.328
ribbon	ibhendi	anticipation	0.328
olfactory	olwenziweyo	anticipation	0.328
patient	isigulane	anticipation	0.328
council	kwibhunga	anticipation	0.328
possess	ukuba nelifa	anticipation	0.328
secular	yelizwe	anticipation	0.328
chastity	ubumsulwa	anticipation	0.328
disposed	kulahlwa	anticipation	0.320
regularity	rhoqo	anticipation	0.320
mediator	mlamli	anticipation	0.320
scrutinize	uhlolisise	anticipation	0.320
fancy	ezintle	anticipation	0.320
immature	ukukhulelwa	anticipation	0.320
infanticide	i-infanticide	anticipation	0.320
heft	i heft	anticipation	0.320
preservative	lo ndolozo	anticipation	0.320
paddle	umgca	anticipation	0.320
cove	cove	anticipation	0.320
denying	khanyela	anticipation	0.312
bugle	ngxaki	anticipation	0.312
unpublished	engashicilelwa	anticipation	0.312
analyst	uhlalutyi	anticipation	0.312
grim	buhlungu	anticipation	0.312
church	icawa	anticipation	0.312
priesthood	ngeleli	anticipation	0.305
mill	ilitye	anticipation	0.305
judicial	i sigwebo	anticipation	0.305
broadside	ukubanzi	anticipation	0.305
tributary	zizintlu	anticipation	0.297
cap	cap	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	qhayisa	anticipation	0.297
instructor	mfundisi	anticipation	0.297
saliva	mathe	anticipation	0.297
exhaustion	ukudinwa	anticipation	0.297
bruise	kutyumza	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	bengenamakhaya	anticipation	0.289
visor	velor	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	umnatha	anticipation	0.289
shackle	i-shackle	anticipation	0.289
addresses	dilesi	anticipation	0.289
noncompliance	ukungathobeli	anticipation	0.289
cataract	cataract	anticipation	0.289
skewed	zihluthwe	anticipation	0.281
astronomer	ngeenkwenkwezi	anticipation	0.281
neighbor	mmelwane	anticipation	0.281
holiness	ubungcwele	anticipation	0.273
devil	mtyholi	anticipation	0.273
cream	ukhilimu	anticipation	0.273
picket	picket	anticipation	0.273
latent	efihliweyo	anticipation	0.273
immaturity	ukungakhulelwa	anticipation	0.273
sentence	isivakalisi	anticipation	0.273
neighborhood	Ebumelwaneni	anticipation	0.266
morals	ukuziphatha	anticipation	0.266
lull	ukukhawuleza	anticipation	0.266
habitual	ziqhelo	anticipation	0.266
weight	bunzima	anticipation	0.258
bye	uhambe	anticipation	0.258
forearm	phambili	anticipation	0.250
clown	clown	anticipation	0.250
organ	iqumrhu	anticipation	0.250
quote	catshulwa	anticipation	0.242
commonplace	kwindawo eqhelekileyo	anticipation	0.242
dictatorship	ulawulo lolawulo	anticipation	0.234
board	ibhodi	anticipation	0.234
white	mhlophe	anticipation	0.234
treadmill	yokunyathela	anticipation	0.234
rail	loliwe	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	umthi	anticipation	0.227
paralysis	ukukhubazeka	anticipation	0.211
worm	imbungu	anticipation	0.203
organization	ntlangano	anticipation	0.203
cement	samente	anticipation	0.203
lagging	ukuyeka	anticipation	0.180
neutral	engathathi hlangothi	anticipation	0.148
cannibalism	utywala	disgust	0.953
mutilation	kutyumba	disgust	0.930
molestation	ukuxhatshazwa	disgust	0.914
incest	ku tshatana	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	dlwengulo	disgust	0.906
cannibal	cannibal	disgust	0.898
rot	ukubola	disgust	0.891
corpse	isidumbu	disgust	0.883
massacre	ku bulala	disgust	0.883
excrement	indle	disgust	0.883
slaughter	bulawa	disgust	0.875
barf	NO TRANSLATION	disgust	0.875
slaughterhouse	ukuxhela	disgust	0.867
rancid	i-rancid	disgust	0.859
sewerage	ukuthuthwa kwamanzi	disgust	0.859
incestuous	incestuous	disgust	0.859
filth	u kucoca	disgust	0.859
bigot	bigot	disgust	0.859
infestation	ukutshatyalaliswa	disgust	0.852
plague	sibetho	disgust	0.852
bloodthirsty	igazi	disgust	0.852
holocaust	yokuqhumisela	disgust	0.852
rotting	ukubola	disgust	0.844
maggot	maggot	disgust	0.844
feces	umxube	disgust	0.844
fecal	fecal	disgust	0.844
murder	ku bulala	disgust	0.839
infanticide	i-infanticide	disgust	0.836
homicide	bulala	disgust	0.836
asshole	Umgqobho wempundu	disgust	0.836
enslaved	khoboka	disgust	0.836
gore	ukuqala	disgust	0.828
perverted	ijika	disgust	0.828
torture	ukuhlushwa	disgust	0.828
slaughtering	ukuxhela	disgust	0.828
excretion	ngaphandle	disgust	0.828
contaminate	ngcolisa	disgust	0.821
murderer	umbulali	disgust	0.820
gory	gory	disgust	0.820
repugnant	ihlazo	disgust	0.820
desecration	ukutshutshiswa	disgust	0.820
grotesque	buhlungu	disgust	0.820
revolting	ukuvukela	disgust	0.820
diarrhoea	isifo sohudo	disgust	0.820
manure	umquba	disgust	0.820
terrorist	ugorha	disgust	0.820
shit	shit	disgust	0.820
pervert	guqula	disgust	0.820
slavery	ebukhoboka	disgust	0.812
faeces	iifama	disgust	0.812
sewer	umkhumbi	disgust	0.812
vomit	uhlanza	disgust	0.812
manslaughter	bulala	disgust	0.812
dismemberment	ukukhutshwa	disgust	0.812
cadaver	cadaver	disgust	0.812
hemorrhage	ukubola	disgust	0.805
repulsive	zihlazo	disgust	0.805
perverse	ngendawo	disgust	0.805
filthy	ngcolile	disgust	0.797
sewage	ukuthuthwa kwamanzi	disgust	0.797
depravity	ukungcola	disgust	0.797
diseased	ugule	disgust	0.797
carcass	isidumbu	disgust	0.795
decompose	ukubola	disgust	0.789
vermin	vermin	disgust	0.789
puke	puke	disgust	0.789
parasite	i parasite	disgust	0.789
horrific	yingozi	disgust	0.789
gruesome	ezibuhlungu	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	yenziwe	disgust	0.789
murderous	bulala	disgust	0.789
decayed	zonakalise	disgust	0.789
herpes	herpes	disgust	0.789
slime	slide	disgust	0.781
flatulence	ukuguquka	disgust	0.781
monstrosity	ukugquma	disgust	0.781
carnage	ukubulala	disgust	0.781
pestilence	indyikitya yokufa	disgust	0.781
malaria	malariya	disgust	0.781
crap	ukuphanga	disgust	0.781
toxic	inetyhefu	disgust	0.773
loathsome	lihlazo	disgust	0.773
insidious	ekhohlakeleyo	disgust	0.773
leprosy	neqhenqa	disgust	0.773
morgue	ngxabano	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	ihenyukazi	disgust	0.766
cruel	ngendawo	disgust	0.766
repugnance	ukuxeka	disgust	0.766
revulsion	ukuvukela	disgust	0.766
xenophobia	xenophobia	disgust	0.766
regurgitation	ukubuyiswa kwakhona	disgust	0.766
anthrax	i-anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	ukudibanisa	disgust	0.759
canker	umgcini	disgust	0.758
cruelty	bukhohlakele	disgust	0.758
perversion	ukuguquka	disgust	0.758
evil	bubi	disgust	0.758
slum	slum	disgust	0.758
infectious	sulela	disgust	0.758
mucous	i-mucous	disgust	0.758
phlegm	i-phlegm	disgust	0.758
leeches	izihlamba	disgust	0.750
decomposition	ukubola	disgust	0.750
sinister	siyingozi	disgust	0.750
corrupting	ku konakalisa	disgust	0.750
demon	idemoni	disgust	0.742
stinking	kunuka	disgust	0.742
septic	septic	disgust	0.742
deranged	ehlekisa	disgust	0.742
bile	bhile	disgust	0.742
soiled	lisiwe	disgust	0.742
mucus	i-mucus	disgust	0.742
abhorrence	ukunyanyeka	disgust	0.742
abomination	sikizi	disgust	0.742
sickening	ukugula	disgust	0.742
demonic	iidemon	disgust	0.742
foul	ngcolisa	disgust	0.734
obese	ogqithiseleyo	disgust	0.734
sicken	kugula	disgust	0.734
degeneracy	ukubola	disgust	0.734
crucifixion	bebethelwe	disgust	0.734
despicable	u ku daniswa	disgust	0.734
cancer	nomhlaza	disgust	0.734
atrocity	kuhlaselwa	disgust	0.734
terrorism	ulwabilo	disgust	0.734
dirty	engcolileyo	disgust	0.727
dysentery	isifo somhlaza	disgust	0.727
adultery	krexeza	disgust	0.727
contamination	ngco liseko	disgust	0.727
bacterium	bhakteri	disgust	0.727
diabolical	diabolical	disgust	0.727
morbidity	ukuxhatshazwa	disgust	0.727
grisly	grisly	disgust	0.727
repulsion	ukugxeka	disgust	0.727
enema	enema	disgust	0.727
contagion	sulela	disgust	0.719
disfigured	zitshintshile	disgust	0.719
muck	bhinqa	disgust	0.719
lewd	u kuhlamba	disgust	0.719
garbage	udoti	disgust	0.719
autopsy	autopsy	disgust	0.719
bowels	mabilini	disgust	0.719
gross	epheleleyo	disgust	0.719
vulgar	ihlazo	disgust	0.719
barbaric	i-barbaric	disgust	0.719
disgust	ukunyaniseka	disgust	0.719
vicious	ezintle	disgust	0.719
entrails	zithintela	disgust	0.719
deterioration	ukutshabalalisa	disgust	0.719
pungent	ephosakeleyo	disgust	0.719
bloodshed	igazi	disgust	0.714
violent	nyamelo	disgust	0.711
tyrant	umtyholi	disgust	0.711
poisoned	utyhefu	disgust	0.711
pollute	ngcolisa	disgust	0.711
wretched	ngxakini	disgust	0.711
nausea	isicaphulelo	disgust	0.711
mortification	ukuxhatshazwa	disgust	0.711
gag	gag	disgust	0.711
vulgarity	uhlazo	disgust	0.703
disgusting	zizothe	disgust	0.703
grope	ukuphosa	disgust	0.703
slut	slut	disgust	0.703
poisoning	utyhefu	disgust	0.703
depraved	ephosakeleyo	disgust	0.703
noxious	zixhala	disgust	0.703
porn	nekiso	disgust	0.703
nasty	ezimbi	disgust	0.703
slimy	slimy	disgust	0.703
despotism	ukuxolisa	disgust	0.703
nauseate	ukukhwabanisa	disgust	0.703
secretion	mfihlelo	disgust	0.703
constipation	ukuqothulwa	disgust	0.703
hateful	thiyile	disgust	0.703
grime	ulunge	disgust	0.703
measles	imasisi	disgust	0.696
contagious	sulela	disgust	0.695
hellish	isihogo	disgust	0.695
waste	inkunkuma	disgust	0.695
suicidal	ukuzibulala	disgust	0.695
abuse	xhatshazwa	disgust	0.695
hate	thiyile	disgust	0.695
wretch	ludaka	disgust	0.695
intestinal	emathunjini	disgust	0.695
wart	wart	disgust	0.695
obesity	ukunyanya	disgust	0.695
scum	isiqu	disgust	0.695
contaminated	ngcoliswe	disgust	0.688
disease	isifo	disgust	0.688
rabid	ku xhaphaza	disgust	0.688
ooze	ukugquma	disgust	0.688
treason	uhlanga	disgust	0.688
heartworm	entliziyweni	disgust	0.688
smut	smut	disgust	0.688
cholera	kholera	disgust	0.680
deformed	ephosakeleyo	disgust	0.680
detest	uyamthiya	disgust	0.680
bestial	sithandwa	disgust	0.680
sickness	kugula	disgust	0.680
antichrist	mchasana	disgust	0.680
abhorrent	ku nyelisa	disgust	0.680
soulless	buhlungu	disgust	0.680
freakish	lukhulu	disgust	0.680
grimy	buhlungu	disgust	0.680
hatred	inzondo	disgust	0.680
pollution	ngco liseko	disgust	0.680
germ	intsholongwane	disgust	0.680
abominate	sikizi	disgust	0.680
hell	esihogweni	disgust	0.680
dilapidated	ilahlekile	disgust	0.672
dictatorship	ulawulo lolawulo	disgust	0.672
inhuman	ngendawo	disgust	0.672
greasy	ezigcobileyo	disgust	0.672
hideous	zifihle	disgust	0.672
loathful	zihlazo	disgust	0.672
obscene	zihlazo	disgust	0.672
loathing	ukunyanyeka	disgust	0.672
cess	cess	disgust	0.670
devil	mtyholi	disgust	0.664
heretic	ukunyaniseka	disgust	0.664
nauseous	nexhala	disgust	0.664
abominable	sikizi	disgust	0.664
deformity	ukukhubazeka	disgust	0.664
deadly	bulala	disgust	0.664
swine	ngulube	disgust	0.664
discrimination	calulo	disgust	0.664
masochism	masochism	disgust	0.664
poisonous	utyhefu	disgust	0.656
prejudiced	zikhethe	disgust	0.656
bacteria	ibhaktheriya	disgust	0.656
death	ukufa	disgust	0.656
poison	utyhefu	disgust	0.656
trash	udoti	disgust	0.656
abortion	isisu	disgust	0.656
corruption	rhwaphilizo	disgust	0.656
victimized	xhatshazwa	disgust	0.656
oppression	ngcinezelo	disgust	0.656
goo	goo	disgust	0.656
latrines	iitriti	disgust	0.656
horror	kutyhafa	disgust	0.656
horrible	ezibi	disgust	0.656
nefarious	nexhala	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	ukunyanzelisa	disgust	0.648
outhouse	ngendlu	disgust	0.648
horrid	zixakeke	disgust	0.648
detestation	zizothe	disgust	0.648
sludge	sludge	disgust	0.648
ugly	bubi	disgust	0.648
trashy	i-trashy	disgust	0.648
bitch	i-bitch	disgust	0.648
immoral	kakubi	disgust	0.648
malfeasance	ukuxhatshazwa	disgust	0.641
spew	kuhlutha	disgust	0.641
pimple	i-pimple	disgust	0.641
indecency	ukungcola	disgust	0.641
unsightly	ngqalelo	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	ababi	disgust	0.641
cystic	cystic	disgust	0.641
horrifying	eyoyikisayo	disgust	0.641
derogatory	ukunyelisa	disgust	0.641
laxative	laxative	disgust	0.641
criminality	ubugebengu	disgust	0.641
oppressive	ngcinezelo	disgust	0.633
sinful	nesono	disgust	0.633
bigoted	lukhulu	disgust	0.633
doomsday	ukuphela kwexesha	disgust	0.633
prostitution	ubuhenyu	disgust	0.633
ulcer	isilonda	disgust	0.633
secrete	i-secrete	disgust	0.633
perpetrator	umenzi wobubi	disgust	0.633
rat	ireyiti	disgust	0.633
queasy	nxu lumene	disgust	0.633
mildew	isikhumba	disgust	0.633
dastardly	utywala	disgust	0.625
disgraceful	zihlazo	disgust	0.625
ghastly	buhlungu	disgust	0.625
persecution	ntshutshiso	disgust	0.625
devilish	umtyholi	disgust	0.625
degrading	zihlazo	disgust	0.625
obscenity	ukungcola	disgust	0.625
fungus	fungus	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	ukrakra	disgust	0.625
stools	izitulo	disgust	0.625
suffering	nde zeleka	disgust	0.625
contemptible	xha laselwa	disgust	0.625
cuckold	ngxakini	disgust	0.625
bloated	bhiweyo	disgust	0.625
aghast	ngxakini	disgust	0.625
betrayal	ku tshutshiswa	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	sulela	disgust	0.617
spoil	maxhoba	disgust	0.617
tetanus	tetanus	disgust	0.617
fat	amanqatha	disgust	0.617
louse	ikhefu	disgust	0.617
malicious	ezimbi	disgust	0.617
polygamy	isithembu	disgust	0.617
crusty	i-crusty	disgust	0.617
atrocious	buhlungu	disgust	0.617
deceit	nkohliso	disgust	0.617
termite	ukuphela	disgust	0.617
loathe	kuthotywa	disgust	0.617
wench	wench	disgust	0.617
dying	bafa	disgust	0.617
sickly	gulayo	disgust	0.617
diaper	diaper	disgust	0.617
strangle	ukukhawuleza	disgust	0.617
drool	drool	disgust	0.609
slander	ukunyelisa	disgust	0.609
abhor	uyanyanyeka	disgust	0.609
venomous	buhlungu	disgust	0.609
brothel	i-brothel	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	ngokukhawuleza	disgust	0.609
hostile	ngendawo	disgust	0.609
sabotage	isabatha	disgust	0.609
deform	ukubola	disgust	0.609
bleeding	kuphuma	disgust	0.609
unwashed	ngahlanjululwa	disgust	0.602
lunacy	sondla	disgust	0.602
imprisonment	valelwe entolongweni	disgust	0.602
infidel	ukungakholwa	disgust	0.602
deprivation	ukungabikho	disgust	0.602
traitor	umrhwebi	disgust	0.602
ugliness	ukungalungi	disgust	0.602
musty	kufuneka	disgust	0.602
illicit	mthethweni	disgust	0.602
swampy	zinyuka	disgust	0.602
poaching	ukuzingela	disgust	0.602
hag	hag	disgust	0.602
butcher	umxheli	disgust	0.594
lunatic	lunatic	disgust	0.594
venom	utyumbo	disgust	0.594
repelling	phendule	disgust	0.594
thug	thug	disgust	0.594
misery	buhlungu	disgust	0.594
toilet	ngasese	disgust	0.594
slug	slug	disgust	0.594
catastrophe	ntlekele	disgust	0.594
epidemic	bhubhane	disgust	0.594
gut	emathunjini	disgust	0.594
intoxicated	utywala	disgust	0.594
blister	blister	disgust	0.594
deceitful	nkohliso	disgust	0.594
hostility	ubundlobongela	disgust	0.594
queasiness	u bunzima	disgust	0.594
lurid	lulule	disgust	0.594
sinner	ngumoni	disgust	0.594
incubus	incubus	disgust	0.586
lavatory	zokucoca	disgust	0.586
harass	ukuhlukumeza	disgust	0.586
unclean	yinqambi	disgust	0.586
prostitute	nyukazi	disgust	0.586
pornography	zoonografi	disgust	0.586
dreadful	yoyikekayo	disgust	0.586
deteriorated	zonyuka	disgust	0.586
appalling	eyoyikisayo	disgust	0.586
unfaithful	nga thembeki	disgust	0.578
rash	ukukhawuleza	disgust	0.578
humiliating	hlazisa	disgust	0.578
ruinous	ntsha balala	disgust	0.578
squeamish	squeamish	disgust	0.578
offensive	ehlaselayo	disgust	0.578
conspirator	umqambi	disgust	0.578
larceny	larceny	disgust	0.578
debauchery	ukunyaniseka	disgust	0.578
mangle	NO TRANSLATION	disgust	0.578
flea	i flea	disgust	0.578
hypocrite	nxu lumene	disgust	0.578
retard	libale	disgust	0.578
fiend	fiend	disgust	0.578
sick	kugula	disgust	0.578
quagmire	i quagmire	disgust	0.578
expulsion	ukuxothwa	disgust	0.578
treacherous	buqhetseba	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	tshala	disgust	0.570
devastating	eziphazamisayo	disgust	0.570
bastard	Inja	disgust	0.570
messy	zihlazo	disgust	0.570
flog	fukelwa	disgust	0.570
egregious	ezibuhlungu	disgust	0.570
swamp	imvula	disgust	0.570
oppress	ukucinezela	disgust	0.570
despise	zidela	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	inyoka	disgust	0.570
snake	inyoka	disgust	0.562
terrible	yoyikekayo	disgust	0.562
awful	buhlungu	disgust	0.562
harmful	yingozi	disgust	0.562
insanity	ukungena	disgust	0.562
indecent	ngongcolileyo	disgust	0.562
sordid	buhlungu	disgust	0.562
loo	loo	disgust	0.562
scoundrel	umqhafazo	disgust	0.562
enemy	lutshaba	disgust	0.562
stealing	kuba	disgust	0.562
alcoholism	utywala	disgust	0.562
humiliation	ukuthotywa	disgust	0.562
ruthless	onobubi	disgust	0.562
sloppy	i-sloppy	disgust	0.562
tyrannical	tyandeni	disgust	0.562
harlot	henyuza	disgust	0.562
sinning	sonile	disgust	0.562
robbery	ukuphanga	disgust	0.555
insufferable	azinakulungeleki	disgust	0.555
arsenic	arsenic	disgust	0.555
bloody	igazi	disgust	0.555
odious	ehlekisayo	disgust	0.555
ridicule	ngcikivo	disgust	0.555
atrophy	i-atrophy	disgust	0.555
beastly	ezilwanyana	disgust	0.555
collusion	ukuhlanganiswa	disgust	0.555
distaste	ukuphazamiseka	disgust	0.555
segregate	hlukana	disgust	0.555
discriminating	calulo	disgust	0.555
coward	ikrele	disgust	0.555
wickedness	ngendawo	disgust	0.555
threatening	esongelayo	disgust	0.555
unattractive	ngathandeki	disgust	0.555
slayer	mbulali	disgust	0.555
flabby	ikhefu	disgust	0.555
varicella	varicella	disgust	0.555
miserable	lusizi	disgust	0.547
sty	ucinga	disgust	0.547
ogre	ogre	disgust	0.547
coercion	nya nzeliswa	disgust	0.547
thief	isela	disgust	0.547
slur	slur	disgust	0.547
suffocating	ukuxhamla	disgust	0.547
anathema	ukuphazamiseka	disgust	0.547
purgatory	i purgatory	disgust	0.547
malevolent	ezinobundlobongela	disgust	0.547
bitterly	buhlungu	disgust	0.547
burglar	ibhegi	disgust	0.547
attacking	hlasela	disgust	0.547
vesicular	vesicular	disgust	0.547
condemnation	kugwetywa	disgust	0.547
pillage	ukuphanga	disgust	0.547
deleterious	ngendawo	disgust	0.547
thrash	thrash	disgust	0.539
repellant	ukuxhamla	disgust	0.539
repudiation	ukuchasa	disgust	0.539
infidelity	ukungathembeki	disgust	0.539
liar	buxoki	disgust	0.539
fatty	amanqatha	disgust	0.539
gob	gob	disgust	0.539
sneer	sneer	disgust	0.539
drunken	udakwa	disgust	0.539
disgrace	ihlazo	disgust	0.539
shame	lihlazo	disgust	0.539
jealous	nomona	disgust	0.539
imprisoned	valelwe entolongweni	disgust	0.539
pig	ihagu	disgust	0.539
greedy	ukukrakra	disgust	0.539
sloth	sloth	disgust	0.539
lethal	ezibulalayo	disgust	0.536
burnt	tshiswayo	disgust	0.531
aberration	ukuhlutha	disgust	0.531
condescension	ukudibanisa	disgust	0.531
hydrocephalus	i-hydrocephalus	disgust	0.531
hanging	ku xhoma	disgust	0.531
destructive	kutshabalalisa	disgust	0.531
smuggler	ngumthubi	disgust	0.531
intolerant	engavumiyo	disgust	0.531
travesty	ukuhamba	disgust	0.531
intrusive	ngxamele	disgust	0.531
