word	Czech-cs	emotion	emotion-intensity-score
cess	cess	disgust	0.670
devil	ďábel	disgust	0.664
heretic	heretik	disgust	0.664
nauseous	nevolno	disgust	0.664
abominable	odporný	disgust	0.664
deformity	deformita	disgust	0.664
deadly	smrtící	disgust	0.664
swine	svině	disgust	0.664
discrimination	diskriminace	disgust	0.664
masochism	masochismus	disgust	0.664
poisonous	jedovatý	disgust	0.656
prejudiced	předvídané	disgust	0.656
bacteria	bakterie	disgust	0.656
death	smrt	disgust	0.656
poison	jed	disgust	0.656
trash	odpadky	disgust	0.656
abortion	potrat	disgust	0.656
corruption	korupce	disgust	0.656
victimized	oběť	disgust	0.656
oppression	útlak	disgust	0.656
goo	goo	disgust	0.656
latrines	latríny	disgust	0.656
horror	hrůza	disgust	0.656
horrible	hrozný	disgust	0.656
nefarious	zločinný	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	mstivý	disgust	0.648
outhouse	kůlna	disgust	0.648
horrid	hrozný	disgust	0.648
detestation	ošklivost	disgust	0.648
sludge	kal	disgust	0.648
ugly	škaredý	disgust	0.648
trashy	kýčovitý	disgust	0.648
bitch	fena	disgust	0.648
immoral	nemorální	disgust	0.648
malfeasance	zneužití	disgust	0.641
spew	spew	disgust	0.641
pimple	pupínek	disgust	0.641
indecency	neslušnost	disgust	0.641
unsightly	nevzhledný	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	darebný	disgust	0.641
cystic	cystická	disgust	0.641
horrifying	hrůzný	disgust	0.641
derogatory	hanlivý	disgust	0.641
laxative	projímadlo	disgust	0.641
criminality	kriminalita	disgust	0.641
oppressive	represivní	disgust	0.633
sinful	hříšný	disgust	0.633
bigoted	bigotní	disgust	0.633
doomsday	soudný den	disgust	0.633
prostitution	prostituce	disgust	0.633
ulcer	vřed	disgust	0.633
secrete	vylučovat	disgust	0.633
perpetrator	pachatel	disgust	0.633
rat	krysa	disgust	0.633
queasy	hezké	disgust	0.633
mildew	plíseň	disgust	0.633
dastardly	podrážděně	disgust	0.625
disgraceful	hanebný	disgust	0.625
ghastly	příšerný	disgust	0.625
persecution	pronásledování	disgust	0.625
devilish	ďábelský	disgust	0.625
degrading	ponižující	disgust	0.625
obscenity	oplzlost	disgust	0.625
fungus	houba	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	žravost	disgust	0.625
stools	stolice	disgust	0.625
suffering	utrpení	disgust	0.625
contemptible	opovrženíhodný	disgust	0.625
cuckold	paroháč	disgust	0.625
bloated	nafouklý	disgust	0.625
aghast	aghast	disgust	0.625
betrayal	zrada	disgust	0.617
guillotine	gilotina	disgust	0.617
infect	infikovat	disgust	0.617
spoil	zkazit	disgust	0.617
tetanus	tetanus	disgust	0.617
fat	Tlustý	disgust	0.617
louse	veš	disgust	0.617
malicious	škodlivý	disgust	0.617
polygamy	mnohoženství	disgust	0.617
crusty	křupavý	disgust	0.617
atrocious	krutý	disgust	0.617
deceit	podvod	disgust	0.617
termite	termit	disgust	0.617
loathe	nesnášet	disgust	0.617
wench	děvče	disgust	0.617
dying	umírající	disgust	0.617
sickly	neduživý	disgust	0.617
diaper	plena	disgust	0.617
strangle	uškrtit	disgust	0.617
drool	slintat	disgust	0.609
slander	pomlouvat	disgust	0.609
abhor	hnusit si	disgust	0.609
venomous	jedovatý	disgust	0.609
brothel	bordel	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	násilně	disgust	0.609
hostile	nepřátelský	disgust	0.609
sabotage	sabotovat	disgust	0.609
deform	deformovat	disgust	0.609
bleeding	krvácející	disgust	0.609
unwashed	nemytý	disgust	0.602
lunacy	šílenství	disgust	0.602
imprisonment	odnětí svobody	disgust	0.602
infidel	nevěřící	disgust	0.602
deprivation	deprivace	disgust	0.602
traitor	zrádce	disgust	0.602
ugliness	ošklivost	disgust	0.602
musty	houští	disgust	0.602
illicit	nedovolený	disgust	0.602
swampy	bažinatý	disgust	0.602
poaching	pytláctví	disgust	0.602
hag	čarodějnice	disgust	0.602
butcher	řezník	disgust	0.594
lunatic	blázen	disgust	0.594
venom	jed	disgust	0.594
repelling	odpuzující	disgust	0.594
thug	thug	disgust	0.594
misery	bída	disgust	0.594
toilet	toaleta	disgust	0.594
slug	slimák	disgust	0.594
catastrophe	katastrofa	disgust	0.594
epidemic	epidemie	disgust	0.594
gut	střevo	disgust	0.594
intoxicated	intoxikován	disgust	0.594
blister	blistr	disgust	0.594
deceitful	lstivý	disgust	0.594
hostility	nepřátelství	disgust	0.594
queasiness	choulostivost	disgust	0.594
lurid	rozzlobený	disgust	0.594
sinner	hříšník	disgust	0.594
incubus	upír	disgust	0.586
lavatory	záchod	disgust	0.586
harass	obtěžovat	disgust	0.586
unclean	nečistý	disgust	0.586
prostitute	prostitutka	disgust	0.586
pornography	pornografie	disgust	0.586
dreadful	strašlivý	disgust	0.586
deteriorated	poškozen	disgust	0.586
appalling	děsivé	disgust	0.586
unfaithful	nevěrný	disgust	0.578
rash	vyrážka	disgust	0.578
humiliating	ponižující	disgust	0.578
ruinous	zničující	disgust	0.578
squeamish	squeamish	disgust	0.578
offensive	urážlivý	disgust	0.578
conspirator	spiklenec	disgust	0.578
larceny	krádež	disgust	0.578
debauchery	zhýralost	disgust	0.578
mangle	mandl	disgust	0.578
flea	blecha	disgust	0.578
hypocrite	pokrytec	disgust	0.578
retard	zpomalit	disgust	0.578
fiend	zloduch	disgust	0.578
sick	nemocný	disgust	0.578
quagmire	bažina	disgust	0.578
expulsion	vyhoštění	disgust	0.578
treacherous	zrádný	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	plivat	disgust	0.570
devastating	zničující	disgust	0.570
bastard	bastard	disgust	0.570
messy	chaotický	disgust	0.570
flog	bičovat	disgust	0.570
egregious	obrovský	disgust	0.570
swamp	bažina	disgust	0.570
oppress	utlačovat	disgust	0.570
despise	opovrhovat	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	had	disgust	0.570
snake	had	disgust	0.562
terrible	hrozný	disgust	0.562
awful	hrozný	disgust	0.562
harmful	škodlivý	disgust	0.562
insanity	šílenství	disgust	0.562
indecent	sprostý	disgust	0.562
sordid	sordidní	disgust	0.562
loo	loo	disgust	0.562
scoundrel	ničema	disgust	0.562
enemy	nepřítel	disgust	0.562
stealing	kradení	disgust	0.562
alcoholism	alkoholismus	disgust	0.562
humiliation	ponížení	disgust	0.562
ruthless	nemilosrdný	disgust	0.562
sloppy	nedbalý	disgust	0.562
tyrannical	tyranský	disgust	0.562
harlot	nevěstka	disgust	0.562
sinning	hřích	disgust	0.562
robbery	loupež	disgust	0.555
insufferable	nesnesitelný	disgust	0.555
arsenic	arsen	disgust	0.555
bloody	krvavý	disgust	0.555
odious	odporný	disgust	0.555
ridicule	výsměch	disgust	0.555
atrophy	atrofie	disgust	0.555
beastly	brutální	disgust	0.555
collusion	koluze	disgust	0.555
distaste	nechuť	disgust	0.555
segregate	oddělit	disgust	0.555
discriminating	diskriminující	disgust	0.555
coward	zbabělec	disgust	0.555
wickedness	bezbožnost	disgust	0.555
threatening	hrozivý	disgust	0.555
unattractive	neatraktivní	disgust	0.555
slayer	vrah	disgust	0.555
flabby	ochablý	disgust	0.555
varicella	plané neštovice	disgust	0.555
miserable	bídný	disgust	0.547
sty	stylu	disgust	0.547
ogre	ogre	disgust	0.547
coercion	donucování	disgust	0.547
thief	zloděj	disgust	0.547
slur	slur	disgust	0.547
suffocating	dusivý	disgust	0.547
anathema	anathema	disgust	0.547
purgatory	očistec	disgust	0.547
malevolent	zlovolný	disgust	0.547
bitterly	hořce	disgust	0.547
burglar	zloděj	disgust	0.547
attacking	útočí	disgust	0.547
vesicular	vezikulární	disgust	0.547
condemnation	odsouzení	disgust	0.547
pillage	drancování	disgust	0.547
deleterious	škodlivé	disgust	0.547
thrash	mlátit	disgust	0.539
repellant	odpuzující	disgust	0.539
repudiation	odmítnutí	disgust	0.539
infidelity	nevěra	disgust	0.539
liar	lhář	disgust	0.539
fatty	tukové	disgust	0.539
gob	gob	disgust	0.539
sneer	úšklebek	disgust	0.539
drunken	opilý	disgust	0.539
disgrace	ostuda	disgust	0.539
shame	ostuda	disgust	0.539
jealous	žárlivý	disgust	0.539
imprisoned	uvězněn	disgust	0.539
pig	prase	disgust	0.539
greedy	chamtivý	disgust	0.539
sloth	lenochod	disgust	0.539
lethal	smrtící	disgust	0.536
burnt	Spálený	disgust	0.531
aberration	aberace	disgust	0.531
condescension	blahosklonnost	disgust	0.531
hydrocephalus	hydrocefalus	disgust	0.531
hanging	závěsný	disgust	0.531
destructive	destruktivní	disgust	0.531
smuggler	pašerák	disgust	0.531
intolerant	intolerantní	disgust	0.531
travesty	travestie	disgust	0.531
intrusive	rušivé	disgust	0.531
ruined	zničený	disgust	0.531
withered	zvadlý	disgust	0.531
disintegrate	rozpadat	disgust	0.531
brawl	hádka	disgust	0.531
blemish	vada	disgust	0.531
neurotic	neurotický	disgust	0.531
blasphemous	rouhavé	disgust	0.531
lying	ležící	disgust	0.531
painful	bolestivý	disgust	0.531
avarice	lakota	disgust	0.523
disgraced	znechucen	disgust	0.523
mistress	paní	disgust	0.523
disparaging	znepokojující	disgust	0.523
rubbish	odpadky	disgust	0.523
derogation	odchylky	disgust	0.523
accusation	obvinění	disgust	0.523
intolerance	intolerance	disgust	0.523
incarceration	uvěznění	disgust	0.523
blighted	bledě	disgust	0.523
sump	jímka	disgust	0.516
deplorable	žalostný	disgust	0.516
daemon	démon	disgust	0.516
cringe	krčit se	disgust	0.516
degrade	degradovat	disgust	0.516
gutter	žlab	disgust	0.516
rob	okrást	disgust	0.516
grim	chmurně	disgust	0.516
defraud	podvést	disgust	0.516
tortious	pátrání	disgust	0.516
eradication	eradikace	disgust	0.516
stink	smrad	disgust	0.516
convict	odsoudit	disgust	0.516
dishonor	hanba	disgust	0.516
vulture	sup	disgust	0.516
remains	zbytky	disgust	0.516
mite	roztoč	disgust	0.516
betray	zradit	disgust	0.516
sham	falešný	disgust	0.509
endemic	endemický	disgust	0.508
bombed	bombardován	disgust	0.508
distress	nouze	disgust	0.508
pest	škůdce	disgust	0.508
incurable	nevyléčitelné	disgust	0.508
worthless	bezcenný	disgust	0.508
rejection	odmítnutí	disgust	0.508
distasteful	odporný	disgust	0.508
schizophrenia	schizofrenie	disgust	0.508
belittle	snižovat	disgust	0.508
smelling	vonící	disgust	0.508
cheat	ošidit	disgust	0.508
blob	kapka	disgust	0.508
prisoner	vězeň	disgust	0.508
idiocy	idiotství	disgust	0.508
delirium	delirium	disgust	0.508
disaster	katastrofa	disgust	0.508
crude	surový	disgust	0.508
resentment	odpor	disgust	0.508
dreadfully	strašně	disgust	0.508
glut	nadbytek	disgust	0.508
polemic	polemika	disgust	0.500
derision	výsměch	disgust	0.500
idolatry	modlářství	disgust	0.500
taboo	tabu	disgust	0.500
screaming	ječící	disgust	0.500
banish	vyhánět	disgust	0.500
dirt	špína	disgust	0.500
goblin	šotek	disgust	0.500
shackle	zavěšení	disgust	0.500
bribery	podplácení	disgust	0.500
flagrant	flagrantní	disgust	0.500
jealousy	žárlivost	disgust	0.500
impurity	nečistota	disgust	0.500
theft	krádež	disgust	0.500
bitterness	hořkost	disgust	0.500
offense	útok	disgust	0.500
impeach	obvinit	disgust	0.500
blight	plíseň	disgust	0.500
duress	nátlak	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	chamtivost	disgust	0.500
tirade	tiráda	disgust	0.500
squirm	kroutit se	disgust	0.492
robber	lupič	disgust	0.492
ill	nemocný	disgust	0.492
unconscionable	neporozumitelný	disgust	0.492
recession	recese	disgust	0.492
gorge	rokle	disgust	0.492
wreck	vrak	disgust	0.492
malign	pomlouvat	disgust	0.492
boil	vaříme	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	idiot	disgust	0.492
disreputable	pochybný	disgust	0.492
wasteful	plýtvání	disgust	0.484
affliction	utrpení	disgust	0.484
stain	skvrna	disgust	0.484
contempt	opovržení	disgust	0.484
nappy	plína	disgust	0.484
mutiny	vzpoura	disgust	0.484
occult	okultní	disgust	0.484
tramp	tramp	disgust	0.484
unbearable	nesnesitelný	disgust	0.484
offender	pachatel	disgust	0.484
servile	servilní	disgust	0.484
contraband	kontraband	disgust	0.484
raging	zuřivost	disgust	0.484
snarl	vrčet	disgust	0.484
mad	šílený	disgust	0.484
subjugation	podřízení	disgust	0.484
possessed	posedlý	disgust	0.484
animosity	nepřátelství	disgust	0.484
aversation	aversace	disgust	0.484
defamation	hanobení	disgust	0.484
disrespectful	neuctivý	disgust	0.484
mess	nepořádek	disgust	0.484
nepotism	nepotismu	disgust	0.484
inexcusable	nevyslovitelný	disgust	0.484
pathetic	patetický	disgust	0.477
unpleasant	nepříjemný	disgust	0.477
suppression	potlačení	disgust	0.477
mockery	výsměch	disgust	0.477
palsy	paralýza	disgust	0.477
criminal	zločinec	disgust	0.477
illegality	nezákonnost	disgust	0.477
uncaring	uncaring	disgust	0.477
antagonistic	antagonistický	disgust	0.477
immorality	nemorálnost	disgust	0.477
dismal	tristní	disgust	0.477
angry	rozzlobený	disgust	0.469
repellent	repelent	disgust	0.469
cough	kašel	disgust	0.469
arrogant	arogantní	disgust	0.469
grating	mřížka	disgust	0.469
aggravation	zhoršení	disgust	0.469
livid	livid	disgust	0.469
banishment	vyhnanství	disgust	0.469
shoddy	chatrný	disgust	0.469
banshee	banshee	disgust	0.469
poverty	chudoba	disgust	0.469
wallow	válec	disgust	0.469
outrage	rozhořčení	disgust	0.469
mocking	uštěpačný	disgust	0.469
furious	zuřivý	disgust	0.469
perspiration	pocení	disgust	0.469
prick	bodnutí	disgust	0.461
recklessness	bezohlednost	disgust	0.461
distorted	zkreslené	disgust	0.461
fraudulent	podvodné	disgust	0.461
spider	pavouk	disgust	0.461
quack	šarlatán	disgust	0.461
perdition	zatracení	disgust	0.461
muddy	zablácený	disgust	0.461
spurious	falešné	disgust	0.461
insulting	urážející	disgust	0.461
scar	jizva	disgust	0.461
deceive	oklamat	disgust	0.461
unjustifiable	neospravedlnitelné	disgust	0.461
fool	blázen	disgust	0.461
deplore	lituji	disgust	0.461
plunder	kořist	disgust	0.461
aphid	mšice	disgust	0.453
bane	prokletí	disgust	0.453
indignation	rozhořčení	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	sobecký	disgust	0.453
disparage	znevažovat	disgust	0.453
cur	voříšek	disgust	0.453
dishonest	nečestný	disgust	0.453
stigma	stigma	disgust	0.453
eschew	vyhýbat se	disgust	0.453
antipathy	antipatie	disgust	0.453
alienate	odcizit	disgust	0.453
disingenuous	neústupný	disgust	0.453
elimination	odstranění	disgust	0.453
unthinkable	nemyslitelné	disgust	0.453
wasted	zbytečné	disgust	0.445
recalcitrant	nepoctivý	disgust	0.445
iniquity	neprávosti	disgust	0.445
mosquito	komár	disgust	0.445
caries	kazu	disgust	0.445
bankruptcy	bankrot	disgust	0.445
egotistical	egoistické	disgust	0.445
piles	piloty	disgust	0.445
smell	čich	disgust	0.445
vacuous	prázdný	disgust	0.445
despair	zoufalství	disgust	0.445
opium	opium	disgust	0.445
garish	výstřední	disgust	0.445
lie	lhát	disgust	0.445
pious	zbožný	disgust	0.445
aversion	averze	disgust	0.438
sticky	lepkavý	disgust	0.438
scream	výkřik	disgust	0.438
alien	mimozemšťan	disgust	0.438
shun	shun	disgust	0.438
abnormal	abnormální	disgust	0.438
ashamed	zahanbený	disgust	0.438
inmate	chovanec	disgust	0.438
abject	abject	disgust	0.438
hog	prase	disgust	0.438
hopelessness	beznadějnost	disgust	0.438
homeless	bez domova	disgust	0.438
obnoxious	Protivný	disgust	0.438
curse	kletba	disgust	0.430
creature	stvoření	disgust	0.430
cursing	prokletí	disgust	0.430
illegal	ilegální	disgust	0.430
lusty	chtivý	disgust	0.430
shameless	nestydatý	disgust	0.430
debris	trosky	disgust	0.430
defiance	vzdor	disgust	0.430
pall	pall	disgust	0.430
falsity	faleš	disgust	0.430
reflux	reflux	disgust	0.430
incredulous	nevěřící	disgust	0.430
adverse	nepříznivý	disgust	0.430
trickery	podvod	disgust	0.430
callous	otrlý	disgust	0.430
separatist	separatista	disgust	0.430
undesirable	nežádoucí	disgust	0.430
denounce	vypovědět	disgust	0.430
witch	čarodějnice	disgust	0.430
bum	zadek	disgust	0.422
bovine	hovězí	disgust	0.422
denunciation	vypovězení	disgust	0.422
untidy	nešťastný	disgust	0.422
impure	nečistý	disgust	0.422
mistrust	nedůvěra	disgust	0.422
tarnish	zakalit	disgust	0.422
ferocious	divoký	disgust	0.422
gush	příval	disgust	0.422
infantile	infantilní	disgust	0.422
ammonia	amoniak	disgust	0.422
offend	urazit	disgust	0.422
idiotic	idiotský	disgust	0.422
hypertrophy	hypertrofii	disgust	0.422
nicotine	nikotin	disgust	0.422
tasteless	bez chuti	disgust	0.422
pompous	pompézní	disgust	0.422
socialist	socialista	disgust	0.422
delinquent	delikvent	disgust	0.422
swarm	roj	disgust	0.422
contentious	diskutabilní	disgust	0.422
carelessness	neopatrnost	disgust	0.422
hairy	chlupatý	disgust	0.422
wasting	plýtvání	disgust	0.422
slush	rozbředlý sníh	disgust	0.422
affront	urážka	disgust	0.422
collapse	kolaps	disgust	0.422
badness	špatnost	disgust	0.422
dishonesty	nepoctivost	disgust	0.414
vegetative	vegetativní	disgust	0.414
displacency	znepokojení	disgust	0.414
unfavorable	nepříznivý	disgust	0.414
disobey	neuposlechnout	disgust	0.414
sour	kyselý	disgust	0.414
socialism	socialismus	disgust	0.414
murky	temný	disgust	0.414
neglected	zanedbané	disgust	0.414
drivel	blábol	disgust	0.414
vampire	upír	disgust	0.414
litigious	sporný	disgust	0.414
illegitimate	nelegitimní	disgust	0.414
disgruntled	nespokojený	disgust	0.406
ignorant	neznalý	disgust	0.406
outcast	vyvrženec	disgust	0.406
unkind	bezbožný	disgust	0.406
repel	odrazit	disgust	0.406
displeasure	nelibost	disgust	0.406
phony	falešný	disgust	0.406
shoplifting	shoplifting	disgust	0.406
dislike	nemít rád	disgust	0.406
unlawful	protiprávní	disgust	0.406
bogus	falešný	disgust	0.406
discontinuity	diskontinuita	disgust	0.406
recidivism	opakování	disgust	0.406
ungrateful	nevděčný	disgust	0.406
wrongdoing	provinění	disgust	0.406
falsify	falšovat	disgust	0.406
prosecution	stíhání	disgust	0.406
failure	selhání	disgust	0.398
loon	cvok	disgust	0.398
lick	lízat	disgust	0.398
subvert	subvert	disgust	0.398
rigor	přísnost	disgust	0.398
unruly	nepoctivý	disgust	0.398
paucity	slabost	disgust	0.398
unnatural	nepřirozený	disgust	0.398
averse	odmítavý	disgust	0.398
senseless	nesmyslný	disgust	0.398
worsening	zhoršení	disgust	0.398
disdain	pohrdání	disgust	0.398
woe	běda	disgust	0.398
woefully	žalostně	disgust	0.398
amphetamines	amfetaminy	disgust	0.398
stingy	lakomý	disgust	0.398
crushing	zdrcující	disgust	0.398
insult	urazit	disgust	0.393
damage	poškození	disgust	0.391
hardened	kalené	disgust	0.391
diatribe	invektiva	disgust	0.391
averseness	averseness	disgust	0.391
critter	critter	disgust	0.391
muff	rukávník	disgust	0.391
antisocial	antisociální	disgust	0.391
punishment	trest	disgust	0.391
bad	špatný	disgust	0.391
punished	potrestáno	disgust	0.391
disrelish	nemít rád	disgust	0.391
expel	vyloučit	disgust	0.391
farcical	fraškovitý	disgust	0.391
scorpion	Štír	disgust	0.391
sacrifices	oběti	disgust	0.383
plagiarism	plagiátorství	disgust	0.383
hypocritical	pokrytecký	disgust	0.383
divorce	rozvod	disgust	0.383
presumptuous	odporný	disgust	0.383
discord	svár	disgust	0.383
fugitive	uprchlík	disgust	0.383
fulsome	fulsome	disgust	0.383
shabby	ošouchaný	disgust	0.383
orc	orc	disgust	0.383
adder	zmije	disgust	0.383
anaconda	anakonda	disgust	0.383
surly	nevrlý	disgust	0.383
irrational	iracionální	disgust	0.383
disappoint	zklamat	disgust	0.383
illiterate	negramotný	disgust	0.383
lament	nářek	disgust	0.383
eviction	vystěhování	disgust	0.383
teeming	teeming	disgust	0.383
guilt	vina	disgust	0.383
misconduct	pochybení	disgust	0.375
blame	obviňovat	disgust	0.375
alienation	odcizení	disgust	0.375
depressing	depresivní	disgust	0.375
irritating	dráždivý	disgust	0.375
plight	vážná situace	disgust	0.375
unworthy	nehodný	disgust	0.375
dislocated	dislokováno	disgust	0.375
scoff	posměch	disgust	0.375
irritation	podráždění	disgust	0.375
defective	vadný	disgust	0.375
shock	šokovat	disgust	0.375
hoax	podvod	disgust	0.367
coerce	donutit	disgust	0.367
revoke	zrušit	disgust	0.367
stripped	zbavený	disgust	0.367
exclusion	vyloučení	disgust	0.367
blatant	bláznivý	disgust	0.367
disillusionment	rozčarování	disgust	0.367
squelch	squelch	disgust	0.367
unhealthy	nezdravý	disgust	0.367
toad	ropucha	disgust	0.367
wimpy	wimpy	disgust	0.367
pitfall	past	disgust	0.367
vainly	marně	disgust	0.367
powerless	bezmocný	disgust	0.367
cad	CAD	disgust	0.367
hurtful	bolestný	disgust	0.367
shuddering	otřáslo se	disgust	0.367
wimp	wimp	disgust	0.367
oddity	zvláštnost	disgust	0.359
rebellion	povstání	disgust	0.359
incompatible	nekompatibilní	disgust	0.359
ineptitude	ineptitude	disgust	0.359
dispose	likvidovat	disgust	0.359
disobedience	neposlušnost	disgust	0.359
damn	sakra	disgust	0.359
bug	Chyba	disgust	0.359
deserted	opuštěný	disgust	0.359
litigate	soudní spor	disgust	0.352
ridiculous	směšný	disgust	0.352
compost	kompost	disgust	0.352
obi	obi	disgust	0.352
untoward	nežádoucí	disgust	0.352
censor	cenzurovat	disgust	0.352
uncertain	nejistý	disgust	0.352
lawyer	právník	disgust	0.352
flinch	flinch	disgust	0.352
flesh	maso	disgust	0.352
crushed	rozdrcený	disgust	0.352
displeased	nespokojen	disgust	0.352
inept	nešikovný	disgust	0.352
wrongful	špatné	disgust	0.352
cutting	řezání	disgust	0.352
fierce	divoký	disgust	0.352
misbehavior	špatné chování	disgust	0.352
frustrate	zmařit	disgust	0.352
dismissal	propuštění	disgust	0.352
disapprove	neschválit	disgust	0.344
depreciate	znehodnotit	disgust	0.344
tearful	slzný	disgust	0.344
thoughtless	bezohledný	disgust	0.336
unsettled	nevyrovnaný	disgust	0.336
lumpy	hrudkovitý	disgust	0.336
discoloration	odbarvení	disgust	0.336
blunder	chyba	disgust	0.336
disinclination	nechuť	disgust	0.336
distrust	nedůvěra	disgust	0.336
annoy	otravovat	disgust	0.336
lawsuit	soudní řízení	disgust	0.336
discontent	nespokojenost	disgust	0.336
grumble	reptat	disgust	0.336
exigent	NO TRANSLATION	disgust	0.336
daft	Daft	disgust	0.336
heartsick	srdce	disgust	0.336
disliked	neměl rád	disgust	0.336
bickering	házení	disgust	0.336
disallowed	zakázáno	disgust	0.336
unmanageable	nezvládnutelné	disgust	0.328
hydrophobia	hydrofobie	disgust	0.328
unsatisfactory	neuspokojivé	disgust	0.328
whine	kňučet	disgust	0.328
exasperation	podráždění	disgust	0.328
instability	nestabilita	disgust	0.328
provoking	provokační	disgust	0.328
disappointed	zklamaný	disgust	0.328
inhibit	inhibovat	disgust	0.328
sly	mazaný	disgust	0.328
grievance	stížnost	disgust	0.328
materialist	materialista	disgust	0.328
excluded	vyloučeno	disgust	0.328
cacophony	kakofonie	disgust	0.328
misleading	zavádějící	disgust	0.321
disclaim	odmítnout	disgust	0.320
rags	hadry	disgust	0.320
soot	saze	disgust	0.320
disservice	slabost	disgust	0.320
unequal	nerovné	disgust	0.320
humbug	švindl	disgust	0.320
reproach	vyčítat	disgust	0.320
confined	stísněný	disgust	0.320
disapproving	nesouhlasí	disgust	0.320
annoyance	nepříjemnost	disgust	0.320
mishap	nehoda	disgust	0.320
groan	zasténání	disgust	0.320
soil	půda	disgust	0.312
depreciated	znehodnoceno	disgust	0.312
disincline	být neochotný	disgust	0.312
inappropriate	nevhodný	disgust	0.312
inconsiderate	bezohledný	disgust	0.312
burke	burke	disgust	0.312
overpriced	nadhodnocené	disgust	0.312
sneeze	kýchnutí	disgust	0.312
stomach	žaludek	disgust	0.312
criticize	kritizovat	disgust	0.312
theism	teismus	disgust	0.312
disparity	disparita	disgust	0.305
gall	žluč	disgust	0.305
latent	latentní	disgust	0.305
grumpy	nevrlý	disgust	0.305
bang	bang	disgust	0.305
inadmissible	nepřípustný	disgust	0.305
unfriendly	nepřátelský	disgust	0.305
shack	chatrč	disgust	0.305
disliking	nelíbí se	disgust	0.305
unaccountable	nevysvětlitelný	disgust	0.305
coop	coop	disgust	0.304
scold	nadávat	disgust	0.297
growling	vrčení	disgust	0.297
lonely	osamělý	disgust	0.297
delay	zpoždění	disgust	0.297
congress	kongres	disgust	0.297
disregarded	ignorováno	disgust	0.297
disappointment	zklamání	disgust	0.297
backwards	dozadu	disgust	0.297
soreness	bolestivost	disgust	0.297
rogue	darebák	disgust	0.297
infamous	neslavné	disgust	0.289
lesbian	lesby	disgust	0.289
notoriety	proslulost	disgust	0.289
catechism	katechismus	disgust	0.289
flop	flop	disgust	0.289
nettle	kopřiva	disgust	0.289
janitor	vrátný	disgust	0.289
saturated	nasycený	disgust	0.281
gaby	gaby	disgust	0.281
prohibited	zakázáno	disgust	0.281
remiss	remiss	disgust	0.281
unfair	nespravedlivé	disgust	0.281
desist	přestat	disgust	0.281
wince	wince	disgust	0.281
aftermath	následky	disgust	0.281
huff	zlost	disgust	0.273
discolored	vybledlé	disgust	0.273
uneasy	nepříjemný	disgust	0.273
wrangling	hádka	disgust	0.273
tribunal	tribunál	disgust	0.273
weird	podivný	disgust	0.266
bureaucrat	byrokrat	disgust	0.266
coldness	chlad	disgust	0.266
impolite	nezdvořilý	disgust	0.266
politic	rozvážný	disgust	0.266
unsatisfied	nespokojený	disgust	0.266
swig	lok	disgust	0.266
inefficiency	neefektivnost	disgust	0.266
frantic	zběsile	disgust	0.266
crawl	plazit se	disgust	0.266
instinctive	instinktivní	disgust	0.258
barrow	kolečko	disgust	0.258
incase	v případě	disgust	0.258
octopus	chobotnice	disgust	0.258
chagrin	zármutek	disgust	0.258
copycat	imitátor	disgust	0.258
rascal	rošťák	disgust	0.258
sarcasm	sarkasmus	disgust	0.258
gruff	drsný	disgust	0.258
misconception	mylná koncepce	disgust	0.250
hulk	vrak	disgust	0.250
shanghai	šanghaj	disgust	0.250
baboon	pavián	disgust	0.250
disinclined	neochotně	disgust	0.250
lose	prohrát	disgust	0.250
john	John	disgust	0.250
cupping	skládání	disgust	0.250
rook	havran	disgust	0.242
gratuitous	zdarma	disgust	0.242
entangled	zamotaný	disgust	0.242
opponent	oponent	disgust	0.242
tariff	tarif	disgust	0.242
scrub	drhnout	disgust	0.242
resign	odstoupit	disgust	0.234
prolong	prodloužit	disgust	0.234
backwardness	zaostalost	disgust	0.234
reluctance	neochota	disgust	0.234
questionable	sporný	disgust	0.234
lagging	zaostávání	disgust	0.234
unlucky	nešťastný	disgust	0.234
misstatement	nesprávnost	disgust	0.234
reversal	obrácení	disgust	0.227
disqualified	diskvalifikovaný	disgust	0.227
subsidy	dotace	disgust	0.227
ineffectual	neúčinné	disgust	0.227
fussy	úzkostlivý	disgust	0.227
unpopular	nepopulární	disgust	0.227
default	výchozí	disgust	0.227
intense	intenzivní	disgust	0.219
dame	dáma	disgust	0.219
evade	vyhnout se	disgust	0.219
petroleum	ropa	disgust	0.219
weight	hmotnost	disgust	0.219
frowning	zamračil se	disgust	0.219
actionable	akční	disgust	0.211
tawny	tawny	disgust	0.211
donkey	osel	disgust	0.211
unhappy	nešťastný	disgust	0.211
indifference	lhostejnost	disgust	0.203
rave	vztekat se	disgust	0.203
birch	bříza	disgust	0.203
hood	kapuce	disgust	0.203
desert	poušť	disgust	0.203
owing	díky	disgust	0.203
