word	Arabic-ar	emotion	emotion-intensity-score
roulette	روليت	anticipation	0.680
crescendo	اوجها	anticipation	0.672
holiday	يوم الاجازة	anticipation	0.672
wishful	تواق	anticipation	0.672
celebrating	الاحتفال	anticipation	0.672
waiting	انتظار	anticipation	0.664
winnings	المكاسب	anticipation	0.664
orgasm	رعشة الجماع	anticipation	0.664
winning	فوز	anticipation	0.664
impending	وشيك الحدوث	anticipation	0.664
invitation	رسالة دعوة	anticipation	0.664
rescue	إنقاذ	anticipation	0.664
craving	حنين	anticipation	0.664
triumph	انتصار	anticipation	0.664
celebration	احتفال	anticipation	0.656
victory	فوز	anticipation	0.656
aspiring	تطمح	anticipation	0.656
gain	ربح	anticipation	0.656
jackpot	الفوز بالجائزة الكبرى	anticipation	0.656
marriage	زواج	anticipation	0.656
strive	السعي	anticipation	0.656
bridegroom	العريس	anticipation	0.656
reward	جائزة او مكافاة	anticipation	0.656
fortune	ثروة	anticipation	0.656
bridal	زفافي	anticipation	0.656
courtship	تودد	anticipation	0.656
treasure	كنز	anticipation	0.648
opportunity	فرصة	anticipation	0.648
intrigue	دسيسة	anticipation	0.648
delivery	توصيل	anticipation	0.648
alertness	تأهب	anticipation	0.648
aspiration	الدخول الى الجسم	anticipation	0.648
inheritance	ميراث	anticipation	0.648
rising	ارتفاع	anticipation	0.648
tomorrow	غدا	anticipation	0.648
prescient	عالم الغيب	anticipation	0.648
crowning	تتويج	anticipation	0.648
revolution	ثورة	anticipation	0.641
erotic	شهواني	anticipation	0.641
spectacular	مذهل	anticipation	0.641
anxious	قلق	anticipation	0.641
expedition	البعثة	anticipation	0.641
possibility	إمكانية	anticipation	0.641
launch	إطلاق	anticipation	0.641
bride	عروس	anticipation	0.641
celebrated	مشهور	anticipation	0.641
prognosis	المراجع	anticipation	0.641
engaged	مخطوب	anticipation	0.641
reckoning	حساب	anticipation	0.641
award	جائزة	anticipation	0.641
happiness	سعادة	anticipation	0.641
hype	الضجيج	anticipation	0.641
receiving	يستلم	anticipation	0.641
curious	فضولي	anticipation	0.633
succeed	ينجح	anticipation	0.633
birthday	عيد الميلاد	anticipation	0.633
graduation	تخرج	anticipation	0.633
beware	احترس	anticipation	0.633
vision	رؤية	anticipation	0.633
passionate	عاطفي	anticipation	0.633
delight	بهجة	anticipation	0.633
destiny	مصير	anticipation	0.633
ominous	مشؤوم	anticipation	0.633
coming	آت	anticipation	0.633
await	ترقب	anticipation	0.633
passion	شغف	anticipation	0.633
firstborn	بكر	anticipation	0.633
captivate	أسر	anticipation	0.633
prepare	إعداد	anticipation	0.633
miracle	معجزة	anticipation	0.633
triumphant	منتصر	anticipation	0.625
lust	شهوة	anticipation	0.625
retirement	تقاعد	anticipation	0.625
escape	هرب	anticipation	0.625
gift	هدية مجانية	anticipation	0.625
inspiration	وحي	anticipation	0.625
optimism	التفاؤل	anticipation	0.625
foresee	توقع	anticipation	0.625
ripen	استوى	anticipation	0.625
revival	إحياء	anticipation	0.625
embrace	تعانق	anticipation	0.617
risky	محفوف بالمخاطر	anticipation	0.617
ambition	طموح	anticipation	0.617
simmering	يجيش	anticipation	0.617
surprisingly	بشكل مفاجئ	anticipation	0.617
verge	حافة	anticipation	0.617
enchanting	ساحر	anticipation	0.617
bloom	إزهار	anticipation	0.617
foresight	بصيرة	anticipation	0.617
foreboding	نذير	anticipation	0.617
destined	معد	anticipation	0.617
succeeding	النجاح	anticipation	0.609
magical	سحري	anticipation	0.609
bonus	علاوة	anticipation	0.609
lookout	انتبه احذر خذ بالك	anticipation	0.609
matrimony	نكاح	anticipation	0.609
alerts	التنبيهات	anticipation	0.609
anxiety	القلق	anticipation	0.609
seductive	الإغراء	anticipation	0.609
forecast	توقعات	anticipation	0.609
intended	معد	anticipation	0.602
inspire	ألهم	anticipation	0.602
diagnosis	التشخيص	anticipation	0.602
visionary	حالم	anticipation	0.602
nervous	متوتر	anticipation	0.602
deserve	استحق	anticipation	0.602
fulfillment	تحقيق	anticipation	0.602
picnic	النزهة	anticipation	0.602
applicant	طالب وظيفة	anticipation	0.602
foreseen	متوقعة	anticipation	0.602
entertaining	مسلي	anticipation	0.602
revenge	انتقام	anticipation	0.602
success	نجاح	anticipation	0.602
prophetic	نبوي	anticipation	0.602
winner	الفائز	anticipation	0.602
longing	شوق	anticipation	0.602
boomerang	الكيد المرتد	anticipation	0.602
result	نتيجة	anticipation	0.594
accelerate	تسارع	anticipation	0.594
buzz	شرب حتى الثمالة	anticipation	0.594
acquiring	كسب	anticipation	0.594
marry	تزوج	anticipation	0.594
illuminate	أنار	anticipation	0.594
romance	رومانسي	anticipation	0.594
rekindle	إحياء	anticipation	0.594
luck	حظ	anticipation	0.594
advent	القدوم	anticipation	0.594
preparedness	تأهب	anticipation	0.594
momentum	قوة الدفع	anticipation	0.594
arrive	يصل	anticipation	0.594
predict	تنبؤ	anticipation	0.589
sequel	تتمة	anticipation	0.586
money	مال	anticipation	0.586
endeavor	محاولة	anticipation	0.586
auspices	رعاية	anticipation	0.586
fiesta	العيد	anticipation	0.586
raffle	السحب	anticipation	0.586
preparation	تجهيز	anticipation	0.586
uplift	رفع	anticipation	0.586
investigation	تحقيق	anticipation	0.586
gambling	لعب القمار	anticipation	0.586
delightful	لذيذ	anticipation	0.586
enjoying	تتمتع	anticipation	0.586
seek	طلب	anticipation	0.586
impatient	نافذ الصبر	anticipation	0.586
overdue	متأخر	anticipation	0.586
crave	حن	anticipation	0.586
flirt	يغازل	anticipation	0.586
enthusiast	متحمس	anticipation	0.586
presumption	افتراض	anticipation	0.586
immerse	غمر	anticipation	0.586
progression	تقدم	anticipation	0.586
experiment	تجربة	anticipation	0.580
inviting	جذاب	anticipation	0.578
precarious	خطورة	anticipation	0.578
blessing	بركة	anticipation	0.578
harvest	حصاد	anticipation	0.578
transcendence	تجاوز	anticipation	0.578
heavenly	سماوي	anticipation	0.578
attainable	سهل المنال	anticipation	0.578
enjoy	استمتع	anticipation	0.578
divination	عرافة	anticipation	0.578
excavation	حفيات	anticipation	0.578
healing	شفاء	anticipation	0.578
majestic	مهيب	anticipation	0.578
clamor	صخب	anticipation	0.578
thirst	عطش	anticipation	0.578
remedy	علاج	anticipation	0.578
prosper	تزدهر	anticipation	0.578
risk	خطر	anticipation	0.578
angling	الصيد	anticipation	0.578
completing	الانتهاء	anticipation	0.578
thriving	مزدهر	anticipation	0.578
zest	شهية	anticipation	0.570
tease	يغيظ	anticipation	0.570
matchmaker	صانع عيدان الثقاب	anticipation	0.570
prospectively	بأثر مستقبلي	anticipation	0.570
restlessness	الأرق	anticipation	0.570
sweetheart	حبيبة القلب	anticipation	0.570
emancipation	تحرير	anticipation	0.570
ultimate	أقصى	anticipation	0.570
invite	دعا	anticipation	0.570
gambler	مقامر	anticipation	0.570
dare	تجرؤ	anticipation	0.570
plan	خطة	anticipation	0.570
magnificence	روعة	anticipation	0.570
warned	حذر	anticipation	0.570
finally	أخيرا	anticipation	0.570
intimate	حميم	anticipation	0.570
omen	فأل	anticipation	0.570
attempt	محاولة	anticipation	0.562
forewarned	محذر	anticipation	0.562
fun	مرح	anticipation	0.562
festival	مهرجان	anticipation	0.562
trophy	غنيمة	anticipation	0.562
rejoice	نبتهج	anticipation	0.562
fanfare	جلبة	anticipation	0.562
predilection	ميل	anticipation	0.562
exalt	كثف	anticipation	0.562
parade	موكب	anticipation	0.562
enchant	يسحر	anticipation	0.562
independence	استقلال	anticipation	0.562
expose	تعرض	anticipation	0.562
immortality	خلود	anticipation	0.562
expected	متوقع	anticipation	0.562
mysterious	غامض	anticipation	0.562
hypothesis	فرضية	anticipation	0.562
accolade	احتضان	anticipation	0.562
lover	حبيب	anticipation	0.562
quicken	سرع	anticipation	0.562
champion	بطل	anticipation	0.562
lovely	جميل	anticipation	0.555
rejoicing	ابتهاج	anticipation	0.555
grasping	استيعاب	anticipation	0.555
grow	تنمو	anticipation	0.555
curiosity	حب الاستطلاع	anticipation	0.555
splendor	روعة	anticipation	0.555
salvation	خلاص	anticipation	0.555
happy	السعيدة	anticipation	0.555
oracle	وحي	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	كشف	anticipation	0.555
boisterous	عاصف	anticipation	0.555
liberty	حرية	anticipation	0.555
heroism	بطولة	anticipation	0.555
feeling	شعور	anticipation	0.555
shopping	التسوق	anticipation	0.555
fate	مصير	anticipation	0.555
uneasiness	قلق	anticipation	0.555
speculative	تأملي	anticipation	0.555
changeable	قابل للتغيير	anticipation	0.547
recreational	ترفيهية	anticipation	0.547
pray	صلى	anticipation	0.547
warn	حذر	anticipation	0.547
suspicious	مشبوه	anticipation	0.547
convergence	التقاء	anticipation	0.547
incite	حرض	anticipation	0.547
agape	فاغر الفم	anticipation	0.547
morrow	الغد	anticipation	0.547
abundance	وفرة	anticipation	0.547
delighted	في منتهى السعادة	anticipation	0.547
resultant	ناتج	anticipation	0.547
hungry	جوعان	anticipation	0.547
monetary	نقدي	anticipation	0.547
vote	تصويت	anticipation	0.547
glory	مجد	anticipation	0.547
glimmer	وميض	anticipation	0.547
apprehensive	قلق	anticipation	0.547
sorcery	شعوذة	anticipation	0.547
bountiful	وافر	anticipation	0.547
leisure	راحة	anticipation	0.547
probability	احتمالا	anticipation	0.547
auction	مزاد علني	anticipation	0.539
hunting	الصيد	anticipation	0.539
contingent	مشروط	anticipation	0.539
hankering	لهفة	anticipation	0.539
sensual	حسي	anticipation	0.539
blessings	سلم	anticipation	0.539
ballot	تصويت	anticipation	0.539
grandchildren	أحفاد	anticipation	0.539
entertainment	وسائل الترفيه	anticipation	0.539
vindication	تبرئة	anticipation	0.539
worrying	مقلق	anticipation	0.539
tempest	عاصفة	anticipation	0.539
inquiry	تحقيق	anticipation	0.539
merge	دمج	anticipation	0.539
exceed	يتجاوز	anticipation	0.539
bounty	هبة	anticipation	0.539
glad	سعيد	anticipation	0.536
magnificent	رائع	anticipation	0.531
feat	عمل	anticipation	0.531
stealthy	مسترق	anticipation	0.531
cheer	يشجع	anticipation	0.531
spirits	معنويات	anticipation	0.531
visitor	زائر	anticipation	0.531
appeal	مناشدة	anticipation	0.531
forming	تشكيل	anticipation	0.531
hurried	متعجل	anticipation	0.531
responsive	متجاوب	anticipation	0.531
virginity	بتولية	anticipation	0.531
deliverance	خلاص	anticipation	0.531
betrothed	مخطوبة	anticipation	0.531
overthrow	سقوط	anticipation	0.531
harbinger	نذير	anticipation	0.531
raving	هذيان	anticipation	0.531
celestial	سماوي	anticipation	0.531
dread	فزع	anticipation	0.531
germination	إنبات	anticipation	0.523
preparatory	إعدادي	anticipation	0.523
pleasant	ممتع	anticipation	0.523
watch	راقب	anticipation	0.523
prophet	نبي	anticipation	0.523
prognostic	تكهن	anticipation	0.523
haste	تسرع	anticipation	0.523
planning	تخطيط	anticipation	0.523
importance	أهمية	anticipation	0.523
radiance	إشعاع	anticipation	0.523
prevail	ساد	anticipation	0.523
cheery	مبتهج	anticipation	0.523
competition	منافسة	anticipation	0.523
ultimately	في النهاية	anticipation	0.523
revive	اعادة احياء	anticipation	0.523
beaming	مشع	anticipation	0.523
wait	انتظر	anticipation	0.523
child	طفل	anticipation	0.523
notification	إعلام	anticipation	0.523
hunter	صياد	anticipation	0.523
explosive	مادة متفجرة	anticipation	0.523
endanger	يعرض للخطر	anticipation	0.516
time	زمن	anticipation	0.516
recreation	الترفيهية	anticipation	0.516
renovation	تجديد	anticipation	0.516
precious	ثمين	anticipation	0.516
begun	بدأت	anticipation	0.516
loom	نول	anticipation	0.516
compensate	تعويض	anticipation	0.516
treat	يعالج	anticipation	0.516
uncontrollable	متعذر ضبطه	anticipation	0.516
present	حاضر	anticipation	0.516
salary	راتب	anticipation	0.516
celebrity	نجاح كبير	anticipation	0.516
owing	مديون	anticipation	0.516
chocolate	شوكولاتة	anticipation	0.516
caution	الحذر	anticipation	0.516
fermentation	تخمير	anticipation	0.516
sensuality	شهوانية	anticipation	0.516
wilderness	برية	anticipation	0.508
signify	دلالة	anticipation	0.508
transitional	انتقالي	anticipation	0.508
intermission	انقطاع	anticipation	0.508
contemplation	تأمل	anticipation	0.508
vigilance	يقظة	anticipation	0.508
commemoration	إحياء ذكرى	anticipation	0.508
practise	ممارسة	anticipation	0.508
cue	جديلة	anticipation	0.508
infant	رضيع	anticipation	0.508
dreadful	مروع	anticipation	0.508
perfection	حد الكمال	anticipation	0.508
elevation	ارتفاع	anticipation	0.508
prerequisite	المتطلبات المسبقة	anticipation	0.508
cultivate	زرع	anticipation	0.508
horizon	الأفق	anticipation	0.508
develop	طور	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	سباحة	anticipation	0.500
attendance	الحضور	anticipation	0.500
nascent	ناشئ	anticipation	0.500
favorable	ملائم	anticipation	0.500
peril	خطر	anticipation	0.500
income	الإيرادات	anticipation	0.500
ardent	متحمس	anticipation	0.500
commemorate	إحياء ذكرى	anticipation	0.500
doomsday	يوم القيامة	anticipation	0.500
reconciliation	تصالح	anticipation	0.500
utopian	المدينة الفاضلة	anticipation	0.500
romantic	رومانسي	anticipation	0.500
unbridled	غير ملجم	anticipation	0.500
sunny	مشمس	anticipation	0.500
uphill	صعدا	anticipation	0.500
intuitively	حدسي	anticipation	0.500
depart	تغادر	anticipation	0.500
eventuality	احتمال	anticipation	0.500
puppy	جرو	anticipation	0.500
zeal	حماسة	anticipation	0.500
sneaking	يتسلل	anticipation	0.500
ready	جاهز	anticipation	0.500
advocacy	مرافعة	anticipation	0.500
airport	مطار	anticipation	0.500
litigate	قاضى	anticipation	0.500
blindfold	عصب العينين	anticipation	0.500
undisclosed	لم يكشف عنها	anticipation	0.500
young	شاب	anticipation	0.500
horoscope	خريطة البروج	anticipation	0.500
invocation	استدعاء	anticipation	0.500
calculation	عملية حسابية	anticipation	0.500
hero	بطل	anticipation	0.500
court	محكمة	anticipation	0.492
repay	رد	anticipation	0.492
improvise	ارتجل	anticipation	0.492
parole	إطلاق سراح مشروط	anticipation	0.492
worry	قلق	anticipation	0.492
inauguration	افتتاح	anticipation	0.492
gaping	محدق	anticipation	0.492
youth	شباب	anticipation	0.492
bless	بارك	anticipation	0.492
defense	دفاع	anticipation	0.492
heyday	ذروة	anticipation	0.492
consequent	يترتب على ذلك	anticipation	0.492
proceeding	دعوى	anticipation	0.492
eventual	نهائي	anticipation	0.492
perspective	إنطباع	anticipation	0.492
restorative	مجدد	anticipation	0.492
undertaking	تعهد	anticipation	0.492
highest	أعلى	anticipation	0.491
duel	مبارزة	anticipation	0.484
unexplained	غير المبررة	anticipation	0.484
tremor	رعشه	anticipation	0.484
sharpen	شحذ	anticipation	0.484
generosity	سخاء	anticipation	0.484
voluptuous	حسي	anticipation	0.484
shortly	قريبا	anticipation	0.484
vow	نذر	anticipation	0.484
contagion	مرض معد	anticipation	0.484
letter	رسالة	anticipation	0.484
happen	يحدث	anticipation	0.484
threaten	هدد	anticipation	0.484
conjure	استحضار	anticipation	0.484
sparkle	تألق	anticipation	0.484
engulf	بابتلاع	anticipation	0.484
god	الله	anticipation	0.484
correspondence	مراسلة	anticipation	0.484
auspicious	ميمون	anticipation	0.484
princely	أميري	anticipation	0.484
adore	أعشق	anticipation	0.477
enroll	يتسجل، يلتحق	anticipation	0.477
determinate	حاسم	anticipation	0.477
predispose	جعله عرضة ل	anticipation	0.477
clue	دليل	anticipation	0.477
onset	بداية	anticipation	0.477
powerful	قوي	anticipation	0.477
glorify	مجد	anticipation	0.477
glow	توهج	anticipation	0.477
arbitration	تحكم	anticipation	0.477
torture	تعذيب	anticipation	0.477
gravitate	انجذب	anticipation	0.477
cherish	نعتز به	anticipation	0.477
contemplate	تفكر	anticipation	0.477
submit	خضع	anticipation	0.477
perilous	محفوف بالمخاطر	anticipation	0.477
unification	توحيد	anticipation	0.477
score	أحرز هدفاً	anticipation	0.477
medal	ميدالية	anticipation	0.477
glide	زحلقة	anticipation	0.477
recipient	مستلم	anticipation	0.477
accompaniment	مرافقة	anticipation	0.477
praiseworthy	جدير بالاطراء والثناء	anticipation	0.473
providing	توفير	anticipation	0.469
motion	اقتراح	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	حذر	anticipation	0.469
cash	السيولة النقدية	anticipation	0.469
precursor	السلف	anticipation	0.469
opera	دار الأوبرا	anticipation	0.469
elite	نخبة	anticipation	0.469
pry	نقب	anticipation	0.469
hire	توظيف	anticipation	0.469
sweets	الحلويات	anticipation	0.469
star	نجمة	anticipation	0.469
unsurpassed	لا نظير لهما	anticipation	0.469
successful	ناجح	anticipation	0.469
unknown	غير معروف	anticipation	0.469
immediately	فورا	anticipation	0.469
starry	نجمي	anticipation	0.469
production	إنتاج	anticipation	0.469
football	كرة القدم	anticipation	0.469
completion	إكمال	anticipation	0.469
scare	فزع	anticipation	0.469
invoke	يتوسل	anticipation	0.469
shaky	متزعزع	anticipation	0.469
dawn	فجر	anticipation	0.469
creeping	زحف	anticipation	0.469
cheerfulness	مرح	anticipation	0.461
soundness	صحة	anticipation	0.461
mail	بريد	anticipation	0.461
draft	مشروع	anticipation	0.461
preliminary	أولية	anticipation	0.461
friendly	ودود	anticipation	0.461
commemorative	تذكاري	anticipation	0.461
extricate	تخليص	anticipation	0.461
alive	على قيد الحياة	anticipation	0.461
untold	لا يعد ولا يحصى	anticipation	0.461
overture	مفاتحة	anticipation	0.461
excel	تفوق	anticipation	0.461
plight	مأزق	anticipation	0.461
synchronize	تزامن	anticipation	0.461
punt	قارب البنط	anticipation	0.461
sanctuary	الملاذ الآمن	anticipation	0.461
brilliant	متألق	anticipation	0.461
pay	دفع	anticipation	0.461
shining	ساطع	anticipation	0.461
regatta	سباق زوارق	anticipation	0.461
testament	وصية	anticipation	0.461
jeopardy	خطر	anticipation	0.461
perpetuity	أبدية	anticipation	0.453
elegance	أناقة	anticipation	0.453
career	مهنة	anticipation	0.453
basketball	كرة سلة	anticipation	0.453
intimately	متصل عاطفيا	anticipation	0.453
renovate	ترميم	anticipation	0.453
supremacy	سيادة	anticipation	0.453
infinity	ما لا نهاية	anticipation	0.453
unexpected	غير متوقع	anticipation	0.453
flinch	جفل	anticipation	0.453
complement	تكملة	anticipation	0.453
prologue	فاتحة	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	منع	anticipation	0.453
improve	تحسن	anticipation	0.453
sunset	غروب الشمس	anticipation	0.453
inaugural	افتتاحي	anticipation	0.453
rehabilitation	إعادة تأهيل	anticipation	0.453
fitting	مناسب	anticipation	0.445
surround	طوق	anticipation	0.445
share	شارك	anticipation	0.445
epidemic	وباء	anticipation	0.445
sweet	حلو	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	إخفاء	anticipation	0.445
confidence	الثقة	anticipation	0.445
perfect	في احسن الاحوال	anticipation	0.445
sun	شمس	anticipation	0.445
veracity	الإيذائية	anticipation	0.445
volunteer	تطوع	anticipation	0.445
conjecture	تخمين	anticipation	0.445
medical	طبي	anticipation	0.438
prepared	أعدت	anticipation	0.438
superstitious	خرافي	anticipation	0.438
reconstruction	إعادة الإعمار	anticipation	0.438
tickle	دغدغة	anticipation	0.438
faith	إيمان	anticipation	0.438
passenger	راكب	anticipation	0.438
saint	قديس	anticipation	0.438
respect	احترام	anticipation	0.438
rabid	مصاب بداء الكلب	anticipation	0.438
reconstruct	إعادة	anticipation	0.438
recombination	إعادة التركيب	anticipation	0.438
devout	ورع	anticipation	0.438
goodness	صلاح	anticipation	0.438
angel	ملاك	anticipation	0.438
ferment	تخمر	anticipation	0.438
plea	حجة	anticipation	0.438
aloha	الوها	anticipation	0.438
serial	مسلسل	anticipation	0.438
conservation	صيانة	anticipation	0.438
serenity	راحة نفسية	anticipation	0.430
tabulate	جدولة	anticipation	0.430
install	التثبت	anticipation	0.430
labyrinth	متاهة	anticipation	0.430
venerable	مبجل	anticipation	0.430
perpetuate	تخليد	anticipation	0.430
strategist	الاستراتيجيين	anticipation	0.430
unverified	غير مثبت عليه	anticipation	0.430
tribunal	محكمة	anticipation	0.430
charitable	خيري	anticipation	0.430
luscious	فاتنة	anticipation	0.430
spa	منتجع صحي	anticipation	0.430
peace	سلام	anticipation	0.430
clap	صفق	anticipation	0.430
conspirator	متآمر	anticipation	0.422
forestall	إحباط	anticipation	0.422
patience	صبر	anticipation	0.422
oasis	واحه	anticipation	0.422
grin	ابتسامة	anticipation	0.422
revere	وقر	anticipation	0.422
worship	عبادة	anticipation	0.422
vista	مشهد من خلال	anticipation	0.422
laughter	ضحك	anticipation	0.422
volatility	التقلب	anticipation	0.422
adrift	بلا هدف	anticipation	0.422
candid	صريح	anticipation	0.422
edification	تهذيب	anticipation	0.422
unresolved	لم تحل	anticipation	0.422
peaceful	امن	anticipation	0.422
recognizable	التعرف	anticipation	0.422
calls	المكالمات	anticipation	0.414
weigh	وزن	anticipation	0.414
probation	فترة التجربة	anticipation	0.414
proficiency	مهارة	anticipation	0.414
morn	الضحى	anticipation	0.414
craps	الفضلات	anticipation	0.414
detainee	المعتقل	anticipation	0.414
mediate	توسط	anticipation	0.414
continue	استمر	anticipation	0.414
astrologer	منجم	anticipation	0.414
punctual	دقيق	anticipation	0.414
ordination	التنسيق	anticipation	0.414
pretty	جميلة	anticipation	0.414
thought	فكر	anticipation	0.414
grant	منحة	anticipation	0.414
withstand	الصمود	anticipation	0.414
frisky	لعوب	anticipation	0.414
ongoing	جاري التنفيذ	anticipation	0.414
sing	يغنى	anticipation	0.411
long	طويل	anticipation	0.406
confession	اعتراف	anticipation	0.406
headlight	مصباح أمامي	anticipation	0.406
prophylactic	وقائي	anticipation	0.406
mother	أم	anticipation	0.406
debenture	سند مالي	anticipation	0.406
wizard	ساحر	anticipation	0.406
university	جامعة	anticipation	0.406
proud	فخور	anticipation	0.406
midwife	قابلة	anticipation	0.406
banquet	مأدبة	anticipation	0.406
continuation	استمرار	anticipation	0.406
navigable	صالح للملاحة	anticipation	0.406
punished	يعاقب	anticipation	0.406
chicane	غالط	anticipation	0.406
comfort	راحة	anticipation	0.406
opponent	الخصم	anticipation	0.406
subscribe	الاشتراك	anticipation	0.406
outdo	تغلب	anticipation	0.406
nurture	تغذية	anticipation	0.406
twinkle	وميض	anticipation	0.406
deal	صفقة	anticipation	0.402
efficient	فعالة	anticipation	0.398
representing	تمثل	anticipation	0.398
simmer	طبخ بنار هادئة	anticipation	0.398
symphony	سمفونية	anticipation	0.398
judiciary	السلطة القضائية	anticipation	0.398
obliging	ظريف	anticipation	0.398
saintly	طاهر	anticipation	0.398
vigil	يقظة	anticipation	0.398
death	الموت	anticipation	0.398
distracting	تشتيت	anticipation	0.398
mortification	عار	anticipation	0.398
balm	البلسم	anticipation	0.398
guillotine	مقصلة	anticipation	0.398
top	أعلى	anticipation	0.398
lettered	مكتوب بنقش	anticipation	0.398
reliance	اعتماد	anticipation	0.398
poke	نكز	anticipation	0.391
unfulfilled	لم تتحقق	anticipation	0.391
assurance	توكيد	anticipation	0.391
condemnation	إدانة	anticipation	0.391
undoubted	لا شك فيه	anticipation	0.391
diplomacy	دبلوماسية	anticipation	0.391
familiarity	معرفة	anticipation	0.391
antidote	مضاد سمي	anticipation	0.391
chuckle	ضحكة مكتومة	anticipation	0.391
objective	موضوعي	anticipation	0.391
maternal	أمومية	anticipation	0.391
abeyance	تعليق	anticipation	0.391
art	فن	anticipation	0.391
linger	بقي	anticipation	0.391
trust	ثقة	anticipation	0.391
depraved	لئيم	anticipation	0.391
sanctify	قدس	anticipation	0.391
inoculation	تلقيح	anticipation	0.384
chant	ترنيمة	anticipation	0.383
banger	السجق	anticipation	0.383
playground	ملعب	anticipation	0.383
failing	فشل	anticipation	0.383
ship	سفينة	anticipation	0.383
hymn	ترنيمة	anticipation	0.383
simplify	تبسيط	anticipation	0.383
ram	الرامات " الذاكرة العشوائية في الهواتف والحواسيب	anticipation	0.383
labor	العمل	anticipation	0.383
discretion	تقدير	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	جيد	anticipation	0.383
scientist	امن	anticipation	0.383
undecided	متردد	anticipation	0.383
humanitarian	إنساني	anticipation	0.383
depend	تعتمد	anticipation	0.383
dutiful	مطيع	anticipation	0.383
clock	ساعة حائط	anticipation	0.375
sterling	الجنيه الإسترليني	anticipation	0.375
mountain	جبل	anticipation	0.375
savor	تذوق	anticipation	0.375
recurrent	متكرر	anticipation	0.375
interim	مؤقت	anticipation	0.375
navigator	ملاح	anticipation	0.375
gradual	تدريجي	anticipation	0.375
interminable	متطاول	anticipation	0.375
track	مسار	anticipation	0.375
public	عامة	anticipation	0.375
cradle	مهد الحضارة	anticipation	0.375
concealed	مخفي	anticipation	0.367
lesson	درس	anticipation	0.367
instructions	تعليمات	anticipation	0.367
shiver	بقشعريرة	anticipation	0.367
musical	موسيقي	anticipation	0.367
towering	شاهق	anticipation	0.367
whim	نزوة	anticipation	0.367
spear	رمح	anticipation	0.367
convince	إقناع	anticipation	0.367
sonar	السونار	anticipation	0.367
abide	الالتزام	anticipation	0.367
biennial	مرة كل سنتين	anticipation	0.367
theology	لاهوت	anticipation	0.359
offset	الأوفست	anticipation	0.359
atone	كفر عن	anticipation	0.359
timidity	خجل	anticipation	0.359
theory	نظرية	anticipation	0.359
undying	لا يموت	anticipation	0.359
plump	سقط بقوة	anticipation	0.359
audience	جمهور	anticipation	0.357
nobility	نبل	anticipation	0.352
paragon	نموذج مثالي	anticipation	0.352
dietary	حمى ذو علاقة بالحمية	anticipation	0.352
closure	إغلاق	anticipation	0.352
store	متجر	anticipation	0.352
localize	تمركز	anticipation	0.352
cramp	تشنج	anticipation	0.352
daily	اليومي	anticipation	0.352
kindred	انسباء	anticipation	0.352
farm	مزرعة	anticipation	0.352
edition	الإصدار	anticipation	0.352
consecration	تكريس	anticipation	0.352
archaeology	علم الآثار	anticipation	0.344
mobile	التليفون المحمول	anticipation	0.344
errand	مأمورية	anticipation	0.344
wireless	لاسلكي	anticipation	0.344
mutable	متقلب	anticipation	0.344
meditate	تأمل	anticipation	0.344
stripped	جردت	anticipation	0.344
lessen	خفض	anticipation	0.336
unaccountable	غير قابل للتفسير	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	أخوي	anticipation	0.336
buddy	رفيق	anticipation	0.336
unbeaten	غير مهزوم	anticipation	0.336
germ	بذرة	anticipation	0.336
dove	حمامة	anticipation	0.328
digress	استطرد	anticipation	0.328
ribbon	شريط	anticipation	0.328
olfactory	شمي	anticipation	0.328
patient	صبور	anticipation	0.328
council	مجلس	anticipation	0.328
possess	تملك	anticipation	0.328
secular	علماني	anticipation	0.328
chastity	عفة	anticipation	0.328
disposed	استبعاده	anticipation	0.320
regularity	الانتظام	anticipation	0.320
mediator	وسيط	anticipation	0.320
scrutinize	يفحص، يدقق	anticipation	0.320
fancy	مولع ب	anticipation	0.320
immature	غير ناضج	anticipation	0.320
infanticide	وأد	anticipation	0.320
heft	الثقل	anticipation	0.320
preservative	حافظ	anticipation	0.320
paddle	مجداف	anticipation	0.320
cove	جون خليج صغير	anticipation	0.320
denying	نافيا	anticipation	0.312
bugle	بوق	anticipation	0.312
unpublished	غير منشورة	anticipation	0.312
analyst	المحلل	anticipation	0.312
grim	متجهم	anticipation	0.312
church	كنيسة	anticipation	0.312
priesthood	كهنوت	anticipation	0.305
mill	مطحنة	anticipation	0.305
judicial	قضائي	anticipation	0.305
broadside	هجوم مركز	anticipation	0.305
tributary	الرافد	anticipation	0.297
cap	قبعة	anticipation	0.297
thermocouple	المزدوجة الحرارية	anticipation	0.297
dismay	فزع	anticipation	0.297
instructor	مدرب	anticipation	0.297
saliva	لعاب	anticipation	0.297
exhaustion	إنهاك	anticipation	0.297
bruise	كدمة	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
