word	Chinese (Simplified)-zh-CN	emotion	emotion-intensity-score
degrading	降解	disgust	0.625
obscenity	意淫	disgust	0.625
fungus	菌	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	暴食	disgust	0.625
stools	凳子	disgust	0.625
suffering	痛苦	disgust	0.625
contemptible	可鄙	disgust	0.625
cuckold	乌龟	disgust	0.625
bloated	胀	disgust	0.625
aghast	骇然	disgust	0.625
betrayal	辜负	disgust	0.617
guillotine	断头台	disgust	0.617
infect	感染	disgust	0.617
spoil	溺爱	disgust	0.617
tetanus	破伤风	disgust	0.617
fat	脂肪	disgust	0.617
louse	虱	disgust	0.617
malicious	恶毒	disgust	0.617
polygamy	一夫多妻制	disgust	0.617
crusty	硬皮	disgust	0.617
atrocious	穷凶极恶	disgust	0.617
deceit	谎言	disgust	0.617
termite	白蚁	disgust	0.617
loathe	厌恶	disgust	0.617
wench	丫头	disgust	0.617
dying	垂死	disgust	0.617
sickly	病恹恹	disgust	0.617
diaper	尿布	disgust	0.617
strangle	扼杀	disgust	0.617
drool	流口水	disgust	0.609
slander	诽谤	disgust	0.609
abhor	痛恨	disgust	0.609
venomous	有毒	disgust	0.609
brothel	妓院	disgust	0.609
ghetto	贫民区	disgust	0.609
violently	猛烈	disgust	0.609
hostile	敌对	disgust	0.609
sabotage	破坏	disgust	0.609
deform	变形	disgust	0.609
bleeding	流血的	disgust	0.609
unwashed	没洗过	disgust	0.602
lunacy	疯狂行为	disgust	0.602
imprisonment	徒刑	disgust	0.602
infidel	异教徒	disgust	0.602
deprivation	剥夺	disgust	0.602
traitor	叛徒	disgust	0.602
ugliness	丑陋	disgust	0.602
musty	发霉的	disgust	0.602
illicit	非法的	disgust	0.602
swampy	沼泽的	disgust	0.602
poaching	偷猎	disgust	0.602
hag	魔女	disgust	0.602
butcher	屠夫	disgust	0.594
lunatic	疯子	disgust	0.594
venom	毒液	disgust	0.594
repelling	排斥	disgust	0.594
thug	暴徒	disgust	0.594
misery	苦难	disgust	0.594
toilet	厕所	disgust	0.594
slug	金属块	disgust	0.594
catastrophe	灾难	disgust	0.594
epidemic	疫情	disgust	0.594
gut	肠道	disgust	0.594
intoxicated	酣	disgust	0.594
blister	起泡	disgust	0.594
deceitful	狡诈	disgust	0.594
hostility	敌意	disgust	0.594
queasiness	恶心	disgust	0.594
lurid	爚	disgust	0.594
sinner	罪人	disgust	0.594
incubus	梦魇	disgust	0.586
lavatory	厕	disgust	0.586
harass	骚扰	disgust	0.586
unclean	肮脏	disgust	0.586
prostitute	妓女	disgust	0.586
pornography	色情	disgust	0.586
dreadful	可怕	disgust	0.586
deteriorated	恶化	disgust	0.586
appalling	骇人听闻的	disgust	0.586
unfaithful	不忠	disgust	0.578
rash	皮疹	disgust	0.578
humiliating	羞辱	disgust	0.578
ruinous	毁灭性的	disgust	0.578
squeamish	过于拘谨的	disgust	0.578
offensive	进攻	disgust	0.578
conspirator	同谋	disgust	0.578
larceny	盗窃罪	disgust	0.578
debauchery	放荡	disgust	0.578
mangle	撕裂	disgust	0.578
flea	跳蚤	disgust	0.578
hypocrite	伪君子	disgust	0.578
retard	减速	disgust	0.578
fiend	恶魔	disgust	0.578
sick	生病	disgust	0.578
quagmire	沼泽	disgust	0.578
expulsion	开除	disgust	0.578
treacherous	奸诈	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	吐	disgust	0.570
devastating	破坏性的	disgust	0.570
bastard	混蛋	disgust	0.570
messy	乱	disgust	0.570
flog	鞭打	disgust	0.570
egregious	过分的	disgust	0.570
swamp	沼泽	disgust	0.570
oppress	压迫	disgust	0.570
despise	讨厌	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	蛇	disgust	0.570
snake	蛇	disgust	0.562
terrible	可怕	disgust	0.562
awful	可怕	disgust	0.562
harmful	有害	disgust	0.562
insanity	疯狂	disgust	0.562
indecent	非礼	disgust	0.562
sordid	污秽	disgust	0.562
loo	厕所	disgust	0.562
scoundrel	恶棍	disgust	0.562
enemy	敌人	disgust	0.562
stealing	偷窃行为	disgust	0.562
alcoholism	酗酒	disgust	0.562
humiliation	屈辱	disgust	0.562
ruthless	无情	disgust	0.562
sloppy	稀松	disgust	0.562
tyrannical	强横	disgust	0.562
harlot	妓女	disgust	0.562
sinning	犯罪	disgust	0.562
robbery	抢劫	disgust	0.555
insufferable	不能忍受的	disgust	0.555
arsenic	砷	disgust	0.555
bloody	血腥	disgust	0.555
odious	可恶	disgust	0.555
ridicule	嘲笑	disgust	0.555
atrophy	痿	disgust	0.555
beastly	兽	disgust	0.555
collusion	共谋	disgust	0.555
distaste	厌恶	disgust	0.555
segregate	分离	disgust	0.555
discriminating	鉴别	disgust	0.555
coward	懦夫	disgust	0.555
wickedness	邪恶	disgust	0.555
threatening	危险的	disgust	0.555
unattractive	没有吸引力	disgust	0.555
slayer	杀手	disgust	0.555
flabby	松弛	disgust	0.555
varicella	水痘	disgust	0.555
miserable	惨	disgust	0.547
sty	针眼	disgust	0.547
ogre	怪物	disgust	0.547
coercion	强迫	disgust	0.547
thief	贼	disgust	0.547
slur	诽谤	disgust	0.547
suffocating	令人窒息	disgust	0.547
anathema	诅咒	disgust	0.547
purgatory	炼狱	disgust	0.547
malevolent	坏心肠的	disgust	0.547
bitterly	痛	disgust	0.547
burglar	窃贼	disgust	0.547
attacking	进攻	disgust	0.547
vesicular	水泡	disgust	0.547
condemnation	非难	disgust	0.547
pillage	掠	disgust	0.547
deleterious	有害	disgust	0.547
thrash	鞭打	disgust	0.539
repellant	防护剂	disgust	0.539
repudiation	拒绝	disgust	0.539
infidelity	不忠	disgust	0.539
liar	说谎者	disgust	0.539
fatty	脂肪	disgust	0.539
gob	凝块	disgust	0.539
sneer	冷笑	disgust	0.539
drunken	醉	disgust	0.539
disgrace	耻辱	disgust	0.539
shame	耻辱	disgust	0.539
jealous	妒	disgust	0.539
imprisoned	囚禁	disgust	0.539
pig	猪	disgust	0.539
greedy	贪婪	disgust	0.539
sloth	懒惰	disgust	0.539
lethal	致命	disgust	0.536
burnt	焦	disgust	0.531
aberration	像差	disgust	0.531
condescension	屈尊	disgust	0.531
hydrocephalus	脑积水	disgust	0.531
hanging	挂	disgust	0.531
destructive	有害	disgust	0.531
smuggler	走私者	disgust	0.531
intolerant	不可忍耐	disgust	0.531
travesty	滑稽戏	disgust	0.531
intrusive	侵入	disgust	0.531
ruined	毁了	disgust	0.531
withered	干枯	disgust	0.531
disintegrate	瓦解	disgust	0.531
brawl	争吵	disgust	0.531
blemish	缺陷	disgust	0.531
neurotic	神经质	disgust	0.531
blasphemous	亵渎神明	disgust	0.531
lying	说谎	disgust	0.531
painful	痛苦	disgust	0.531
avarice	贪婪	disgust	0.523
disgraced	灰头土脸	disgust	0.523
mistress	情妇	disgust	0.523
disparaging	蔑视	disgust	0.523
rubbish	垃圾	disgust	0.523
derogation	减损	disgust	0.523
accusation	指控	disgust	0.523
intolerance	不耐症	disgust	0.523
incarceration	监禁	disgust	0.523
blighted	秕	disgust	0.523
sump	油底壳	disgust	0.516
deplorable	可悲	disgust	0.516
daemon	守护进程	disgust	0.516
cringe	低三下四	disgust	0.516
degrade	降级	disgust	0.516
gutter	排水沟	disgust	0.516
rob	抢	disgust	0.516
grim	严峻	disgust	0.516
defraud	骗取	disgust	0.516
tortious	侵权	disgust	0.516
eradication	根除	disgust	0.516
stink	臭	disgust	0.516
convict	定罪	disgust	0.516
dishonor	羞辱	disgust	0.516
vulture	秃鹫	disgust	0.516
remains	遗迹	disgust	0.516
mite	螨	disgust	0.516
betray	背叛	disgust	0.516
sham	假	disgust	0.509
endemic	流行	disgust	0.508
bombed	轰炸	disgust	0.508
distress	苦难	disgust	0.508
pest	虫害	disgust	0.508
incurable	不可救药	disgust	0.508
worthless	无用	disgust	0.508
rejection	拒绝	disgust	0.508
distasteful	令人反感	disgust	0.508
schizophrenia	精神分裂症	disgust	0.508
belittle	贬低	disgust	0.508
smelling	闻	disgust	0.508
cheat	作弊	disgust	0.508
blob	BLOB	disgust	0.508
prisoner	囚犯	disgust	0.508
idiocy	白痴	disgust	0.508
delirium	谵妄	disgust	0.508
disaster	灾害	disgust	0.508
crude	原油	disgust	0.508
resentment	怨恨	disgust	0.508
dreadfully	可怕	disgust	0.508
glut	充斥	disgust	0.508
polemic	论战	disgust	0.500
derision	愚弄	disgust	0.500
idolatry	偶像崇拜	disgust	0.500
taboo	忌讳	disgust	0.500
screaming	尖叫	disgust	0.500
banish	放逐	disgust	0.500
dirt	污垢	disgust	0.500
goblin	小妖精	disgust	0.500
shackle	铁链	disgust	0.500
bribery	受贿	disgust	0.500
flagrant	明目张胆	disgust	0.500
jealousy	妒忌	disgust	0.500
impurity	不纯	disgust	0.500
theft	盗窃	disgust	0.500
bitterness	苦味	disgust	0.500
offense	罪行	disgust	0.500
impeach	劾	disgust	0.500
blight	枯萎病	disgust	0.500
duress	胁迫	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	贪心	disgust	0.500
tirade	长篇大论	disgust	0.500
squirm	蠕动	disgust	0.492
robber	强盗	disgust	0.492
ill	生病	disgust	0.492
unconscionable	过度的	disgust	0.492
recession	不景气	disgust	0.492
gorge	峡谷	disgust	0.492
wreck	破坏	disgust	0.492
malign	诽谤	disgust	0.492
boil	熬	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	白痴	disgust	0.492
disreputable	不名誉	disgust	0.492
wasteful	浪费	disgust	0.484
affliction	痛苦	disgust	0.484
stain	弄脏	disgust	0.484
contempt	鄙视	disgust	0.484
nappy	尿布	disgust	0.484
mutiny	兵变	disgust	0.484
occult	隐匿性	disgust	0.484
tramp	流浪汉	disgust	0.484
unbearable	不堪忍受	disgust	0.484
offender	犯罪分子	disgust	0.484
servile	低三下四	disgust	0.484
contraband	禁品	disgust	0.484
raging	愤怒	disgust	0.484
snarl	搞乱	disgust	0.484
mad	狂	disgust	0.484
subjugation	征服	disgust	0.484
possessed	拥有	disgust	0.484
animosity	敌意	disgust	0.484
aversation	嫌弃	disgust	0.484
defamation	诽谤	disgust	0.484
disrespectful	不恭	disgust	0.484
mess	食堂	disgust	0.484
nepotism	裙带关系	disgust	0.484
inexcusable	不可原谅	disgust	0.484
pathetic	可怜	disgust	0.477
unpleasant	不愉快	disgust	0.477
suppression	抑制	disgust	0.477
mockery	蔑视	disgust	0.477
palsy	麻痹	disgust	0.477
criminal	刑事	disgust	0.477
illegality	违法	disgust	0.477
uncaring	冷漠	disgust	0.477
antagonistic	对抗性的	disgust	0.477
immorality	放荡	disgust	0.477
dismal	惨淡	disgust	0.477
angry	愤怒	disgust	0.469
repellent	驱蚊	disgust	0.469
cough	咳嗽	disgust	0.469
arrogant	傲慢	disgust	0.469
grating	光栅	disgust	0.469
aggravation	加重	disgust	0.469
livid	铁青	disgust	0.469
banishment	流放	disgust	0.469
shoddy	以次充好	disgust	0.469
banshee	女妖	disgust	0.469
poverty	贫穷	disgust	0.469
wallow	泥坑	disgust	0.469
outrage	暴行	disgust	0.469
mocking	嘲讽	disgust	0.469
furious	狂怒	disgust	0.469
perspiration	汗	disgust	0.469
prick	刺	disgust	0.461
recklessness	鲁莽	disgust	0.461
distorted	扭曲	disgust	0.461
fraudulent	骗人的	disgust	0.461
spider	蜘蛛	disgust	0.461
quack	嘎嘎	disgust	0.461
perdition	殒命	disgust	0.461
muddy	浑	disgust	0.461
spurious	伪	disgust	0.461
insulting	侮辱	disgust	0.461
scar	瘢痕	disgust	0.461
deceive	欺骗	disgust	0.461
unjustifiable	无理	disgust	0.461
fool	傻子	disgust	0.461
deplore	痛惜	disgust	0.461
plunder	掠夺	disgust	0.461
aphid	蚜	disgust	0.453
bane	诛戮	disgust	0.453
indignation	愤慨	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	自私	disgust	0.453
disparage	贬损	disgust	0.453
cur	CUR	disgust	0.453
dishonest	不诚实	disgust	0.453
stigma	柱头	disgust	0.453
eschew	避	disgust	0.453
antipathy	反感	disgust	0.453
alienate	离间	disgust	0.453
disingenuous	不诚实的	disgust	0.453
elimination	消除	disgust	0.453
unthinkable	不可思议的	disgust	0.453
wasted	浪费	disgust	0.445
recalcitrant	婼	disgust	0.445
iniquity	罪孽	disgust	0.445
mosquito	蚊子	disgust	0.445
caries	龋齿	disgust	0.445
bankruptcy	破产	disgust	0.445
egotistical	自负	disgust	0.445
piles	痔	disgust	0.445
smell	闻	disgust	0.445
vacuous	空虚的	disgust	0.445
despair	绝望	disgust	0.445
opium	鸦片	disgust	0.445
garish	扎眼	disgust	0.445
lie	谎言	disgust	0.445
pious	虔	disgust	0.445
aversion	厌恶	disgust	0.438
sticky	黏	disgust	0.438
scream	惊叫	disgust	0.438
alien	外侨	disgust	0.438
shun	顺	disgust	0.438
abnormal	不正常	disgust	0.438
ashamed	羞愧	disgust	0.438
inmate	犯人	disgust	0.438
abject	卑劣	disgust	0.438
hog	豕	disgust	0.438
hopelessness	绝望	disgust	0.438
homeless	无家可归	disgust	0.438
obnoxious	厌恶	disgust	0.438
curse	诅咒	disgust	0.430
creature	生物	disgust	0.430
cursing	咒骂	disgust	0.430
illegal	非法	disgust	0.430
lusty	精力充沛	disgust	0.430
shameless	不要脸	disgust	0.430
debris	废墟	disgust	0.430
defiance	蔑视	disgust	0.430
pall	鲍尔	disgust	0.430
falsity	谎言	disgust	0.430
reflux	回流	disgust	0.430
incredulous	怀疑的	disgust	0.430
adverse	不利的	disgust	0.430
trickery	诡计	disgust	0.430
callous	冷酷	disgust	0.430
separatist	分裂	disgust	0.430
undesirable	不可取	disgust	0.430
denounce	声讨	disgust	0.430
witch	巫婆	disgust	0.430
bum	屁股	disgust	0.422
bovine	牛	disgust	0.422
denunciation	解约	disgust	0.422
untidy	襶	disgust	0.422
impure	不纯	disgust	0.422
mistrust	不信任	disgust	0.422
tarnish	玷污	disgust	0.422
ferocious	凶猛	disgust	0.422
gush	喷	disgust	0.422
infantile	婴儿	disgust	0.422
ammonia	氨	disgust	0.422
offend	得罪	disgust	0.422
idiotic	痴	disgust	0.422
hypertrophy	肥大	disgust	0.422
nicotine	尼古丁	disgust	0.422
tasteless	无味	disgust	0.422
pompous	自大的	disgust	0.422
socialist	社会主义的	disgust	0.422
delinquent	拖欠的	disgust	0.422
swarm	一群	disgust	0.422
contentious	争议	disgust	0.422
carelessness	疏忽	disgust	0.422
hairy	毛茸茸	disgust	0.422
wasting	浪费	disgust	0.422
slush	烂泥	disgust	0.422
affront	冒犯	disgust	0.422
collapse	坍方	disgust	0.422
badness	恶	disgust	0.422
dishonesty	不诚实	disgust	0.414
vegetative	营养	disgust	0.414
displacency	displacency	disgust	0.414
unfavorable	不利	disgust	0.414
disobey	违	disgust	0.414
sour	酸	disgust	0.414
socialism	社会主义	disgust	0.414
murky	模糊	disgust	0.414
neglected	被忽视的	disgust	0.414
drivel	胡说	disgust	0.414
vampire	吸血鬼	disgust	0.414
litigious	诉讼	disgust	0.414
illegitimate	非法的	disgust	0.414
disgruntled	不满	disgust	0.406
ignorant	愚昧	disgust	0.406
outcast	弃儿	disgust	0.406
unkind	刻薄	disgust	0.406
repel	击退	disgust	0.406
displeasure	不愉快	disgust	0.406
phony	假	disgust	0.406
shoplifting	行窃	disgust	0.406
dislike	反感	disgust	0.406
unlawful	非法的	disgust	0.406
bogus	虚假	disgust	0.406
discontinuity	中断	disgust	0.406
recidivism	累犯	disgust	0.406
ungrateful	忘恩负义	disgust	0.406
wrongdoing	坏事	disgust	0.406
falsify	伪造	disgust	0.406
prosecution	检察官	disgust	0.406
failure	失败	disgust	0.398
loon	懒人	disgust	0.398
lick	舔	disgust	0.398
subvert	颠覆	disgust	0.398
rigor	严格	disgust	0.398
unruly	不羁	disgust	0.398
paucity	缺乏	disgust	0.398
unnatural	不自然	disgust	0.398
averse	规避	disgust	0.398
senseless	无意义	disgust	0.398
worsening	恶化	disgust	0.398
disdain	蔑视	disgust	0.398
woe	荣辱与共	disgust	0.398
woefully	可悲	disgust	0.398
amphetamines	安非他明	disgust	0.398
stingy	小气	disgust	0.398
crushing	破碎	disgust	0.398
insult	侮辱	disgust	0.393
damage	损伤	disgust	0.391
hardened	硬化	disgust	0.391
diatribe	诽谤	disgust	0.391
averseness	厌恶	disgust	0.391
critter	小动物	disgust	0.391
muff	笨人	disgust	0.391
antisocial	反社会的	disgust	0.391
punishment	惩罚	disgust	0.391
bad	坏	disgust	0.391
punished	处罚	disgust	0.391
disrelish	嫌	disgust	0.391
expel	驱逐	disgust	0.391
farcical	滑稽的	disgust	0.391
scorpion	蝎	disgust	0.391
sacrifices	牺牲	disgust	0.383
plagiarism	抄袭	disgust	0.383
hypocritical	虚伪	disgust	0.383
divorce	离婚	disgust	0.383
presumptuous	放肆	disgust	0.383
discord	不和	disgust	0.383
fugitive	逃亡	disgust	0.383
fulsome	令人生厌的	disgust	0.383
shabby	破旧	disgust	0.383
orc	兽人	disgust	0.383
adder	加法器	disgust	0.383
anaconda	森蚺	disgust	0.383
surly	阴沉的	disgust	0.383
irrational	不合理的	disgust	0.383
disappoint	辜负	disgust	0.383
illiterate	文盲	disgust	0.383
lament	哀叹	disgust	0.383
eviction	赶出	disgust	0.383
teeming	丰富的	disgust	0.383
guilt	有罪	disgust	0.383
misconduct	处理不当	disgust	0.375
blame	怪	disgust	0.375
alienation	异化	disgust	0.375
depressing	压抑	disgust	0.375
irritating	刺激性	disgust	0.375
plight	困境	disgust	0.375
unworthy	不值得	disgust	0.375
dislocated	脱臼	disgust	0.375
scoff	嘲笑	disgust	0.375
irritation	刺激	disgust	0.375
defective	缺陷	disgust	0.375
shock	休克	disgust	0.375
hoax	恶作剧	disgust	0.367
coerce	胁迫	disgust	0.367
revoke	撤消	disgust	0.367
stripped	剥离	disgust	0.367
exclusion	排除	disgust	0.367
blatant	明显的	disgust	0.367
disillusionment	幻灭	disgust	0.367
squelch	哗啦哗啦地	disgust	0.367
unhealthy	不良	disgust	0.367
toad	蟾蜍	disgust	0.367
wimpy	懦弱	disgust	0.367
pitfall	陷阱	disgust	0.367
vainly	徒劳的	disgust	0.367
powerless	无力	disgust	0.367
cad	CAD	disgust	0.367
hurtful	伤人	disgust	0.367
shuddering	发抖的	disgust	0.367
wimp	窝囊废	disgust	0.367
oddity	怪人	disgust	0.359
rebellion	暴动	disgust	0.359
incompatible	不相容	disgust	0.359
ineptitude	无能	disgust	0.359
dispose	部署	disgust	0.359
disobedience	不服从	disgust	0.359
damn	该死的	disgust	0.359
bug	窃听器	disgust	0.359
deserted	废弃的	disgust	0.359
litigate	诉讼	disgust	0.352
ridiculous	荒谬	disgust	0.352
compost	堆肥	disgust	0.352
obi	OBI	disgust	0.352
untoward	不良	disgust	0.352
censor	审查	disgust	0.352
uncertain	不确定	disgust	0.352
lawyer	律师	disgust	0.352
flinch	退缩	disgust	0.352
flesh	肉	disgust	0.352
crushed	碎	disgust	0.352
displeased	不快	disgust	0.352
inept	无能	disgust	0.352
wrongful	非法的	disgust	0.352
cutting	切割	disgust	0.352
fierce	激烈	disgust	0.352
misbehavior	不当行为	disgust	0.352
frustrate	阻挠	disgust	0.352
dismissal	解雇	disgust	0.352
disapprove	不赞成	disgust	0.344
depreciate	贬值	disgust	0.344
tearful	内牛满面	disgust	0.344
thoughtless	粗心	disgust	0.336
unsettled	憧	disgust	0.336
lumpy	磊	disgust	0.336
discoloration	变色	disgust	0.336
blunder	错误	disgust	0.336
disinclination	不愿	disgust	0.336
distrust	怀疑	disgust	0.336
annoy	搅扰	disgust	0.336
lawsuit	诉讼	disgust	0.336
discontent	牢骚	disgust	0.336
grumble	叽	disgust	0.336
exigent	NO TRANSLATION	disgust	0.336
daft	愚蠢的	disgust	0.336
heartsick	沮丧的	disgust	0.336
disliked	不喜欢的	disgust	0.336
bickering	争吵	disgust	0.336
disallowed	不允许	disgust	0.336
unmanageable	不可收拾	disgust	0.328
hydrophobia	恐水病	disgust	0.328
unsatisfactory	不满意	disgust	0.328
whine	抱怨	disgust	0.328
exasperation	恼怒	disgust	0.328
instability	不稳定	disgust	0.328
provoking	发人深省	disgust	0.328
disappointed	失望	disgust	0.328
inhibit	抑制	disgust	0.328
sly	狡猾	disgust	0.328
grievance	不平	disgust	0.328
materialist	唯物主义者	disgust	0.328
excluded	排除	disgust	0.328
cacophony	杂音	disgust	0.328
misleading	误导	disgust	0.321
disclaim	放弃	disgust	0.320
rags	碎布	disgust	0.320
soot	煤烟	disgust	0.320
disservice	帮倒忙	disgust	0.320
unequal	不等	disgust	0.320
humbug	哄骗	disgust	0.320
reproach	责备	disgust	0.320
confined	受限	disgust	0.320
disapproving	不赞成	disgust	0.320
annoyance	烦恼	disgust	0.320
mishap	不测	disgust	0.320
groan	呻吟	disgust	0.320
soil	泥	disgust	0.312
depreciated	贬值	disgust	0.312
disincline	几个不愿意	disgust	0.312
inappropriate	不当	disgust	0.312
inconsiderate	轻率	disgust	0.312
burke	伯克	disgust	0.312
overpriced	高估	disgust	0.312
sneeze	喷嚏	disgust	0.312
stomach	胃	disgust	0.312
criticize	批评	disgust	0.312
theism	有神论	disgust	0.312
disparity	差距	disgust	0.305
gall	瘿	disgust	0.305
latent	潜	disgust	0.305
grumpy	性情乖戾的	disgust	0.305
bang	砰	disgust	0.305
inadmissible	不予受理	disgust	0.305
unfriendly	不友好	disgust	0.305
shack	窝棚	disgust	0.305
disliking	不喜欢	disgust	0.305
unaccountable	莫名其妙	disgust	0.305
coop	鸡舍	disgust	0.304
scold	骂	disgust	0.297
growling	咆哮	disgust	0.297
lonely	孤独	disgust	0.297
delay	延迟	disgust	0.297
congress	国会	disgust	0.297
disregarded	忽视	disgust	0.297
disappointment	失望	disgust	0.297
backwards	向后	disgust	0.297
soreness	疼痛	disgust	0.297
rogue	流氓	disgust	0.297
infamous	臭名昭著	disgust	0.289
lesbian	女同性恋	disgust	0.289
notoriety	臭名	disgust	0.289
catechism	教义问答	disgust	0.289
flop	拍击声	disgust	0.289
nettle	荨麻	disgust	0.289
janitor	门警	disgust	0.289
saturated	饱和的	disgust	0.281
gaby	加比	disgust	0.281
prohibited	被禁止	disgust	0.281
remiss	失职	disgust	0.281
unfair	不公平	disgust	0.281
desist	断念	disgust	0.281
wince	WINCE	disgust	0.281
aftermath	后果	disgust	0.281
huff	愤怒	disgust	0.273
discolored	脱色的	disgust	0.273
uneasy	不安	disgust	0.273
wrangling	扯皮	disgust	0.273
tribunal	法庭	disgust	0.273
weird	奇怪的	disgust	0.266
bureaucrat	僚	disgust	0.266
coldness	寒冷	disgust	0.266
impolite	不客气	disgust	0.266
politic	政治	disgust	0.266
unsatisfied	不满意	disgust	0.266
swig	痛饮	disgust	0.266
inefficiency	低效	disgust	0.266
frantic	疯狂的	disgust	0.266
crawl	爬行	disgust	0.266
instinctive	直觉的	disgust	0.258
barrow	独轮车	disgust	0.258
incase	以防万一	disgust	0.258
octopus	章鱼	disgust	0.258
chagrin	懊恼	disgust	0.258
copycat	山寨	disgust	0.258
rascal	坏蛋	disgust	0.258
sarcasm	讽刺	disgust	0.258
gruff	粗暴	disgust	0.258
misconception	误解	disgust	0.250
hulk	废船	disgust	0.250
shanghai	上海	disgust	0.250
baboon	狒狒	disgust	0.250
disinclined	懒得	disgust	0.250
lose	失去	disgust	0.250
john	约翰	disgust	0.250
cupping	拔罐	disgust	0.250
rook	车	disgust	0.242
gratuitous	免费的	disgust	0.242
entangled	纠缠	disgust	0.242
opponent	对手	disgust	0.242
tariff	关税	disgust	0.242
scrub	擦洗	disgust	0.242
resign	辞职	disgust	0.234
prolong	延长	disgust	0.234
backwardness	落后	disgust	0.234
reluctance	不情愿	disgust	0.234
questionable	可疑的	disgust	0.234
lagging	滞后	disgust	0.234
unlucky	不幸的	disgust	0.234
misstatement	误报	disgust	0.234
reversal	翻转	disgust	0.227
disqualified	取消资格	disgust	0.227
subsidy	补贴	disgust	0.227
ineffectual	无效	disgust	0.227
fussy	挑剔	disgust	0.227
unpopular	不得人心	disgust	0.227
default	默认	disgust	0.227
intense	激烈	disgust	0.219
dame	贵妇人	disgust	0.219
evade	逃避	disgust	0.219
petroleum	石油	disgust	0.219
weight	重量	disgust	0.219
frowning	皱着眉头	disgust	0.219
actionable	诉	disgust	0.211
tawny	黄褐色	disgust	0.211
donkey	驴	disgust	0.211
unhappy	不快乐	disgust	0.211
indifference	漠不关心	disgust	0.203
rave	狂欢	disgust	0.203
birch	桦木	disgust	0.203
hood	引擎罩	disgust	0.203
desert	沙漠	disgust	0.203
owing	亏欠的	disgust	0.203
gnome	地精	disgust	0.203
awkwardness	重仓股	disgust	0.203
inconvenient	不方便	disgust	0.203
dandy	花花公子	disgust	0.203
speck	斑点	disgust	0.203
fleece	羊毛	disgust	0.195
howl	嗥	disgust	0.195
monochrome	单色	disgust	0.195
airs	摆架子	disgust	0.195
gelatin	明胶	disgust	0.195
misguided	误导	disgust	0.195
morals	德	disgust	0.195
dabbling	涉足	disgust	0.195
celebrity	名人	disgust	0.188
avoid	避免	disgust	0.188
stalemate	僵持	disgust	0.188
lush	青葱的	disgust	0.188
gent	绅士	disgust	0.188
lesser	较小	disgust	0.188
sunk	沉没	disgust	0.180
nose	鼻子	disgust	0.180
claimant	索赔	disgust	0.180
laughable	可笑	disgust	0.180
possession	所有权	disgust	0.180
larger	大	disgust	0.164
hoot	叱	disgust	0.164
mouthful	一口	disgust	0.164
thrift	节约	disgust	0.164
pregnancy	怀孕	disgust	0.164
undoubted	无疑的	disgust	0.164
clamor	叫嚣	disgust	0.156
misplace	错位	disgust	0.156
sentence	句子	disgust	0.156
parrot	鹦鹉	disgust	0.156
obliging	随和	disgust	0.156
nameless	无名	disgust	0.148
bummer	长号	disgust	0.148
feeling	感觉	disgust	0.141
elf	小精灵	disgust	0.141
excellence	卓越	disgust	0.141
turn	转	disgust	0.133
gray	灰色	disgust	0.133
asymmetry	不对称	disgust	0.133
clumsy	笨拙	disgust	0.133
stall	摊子	disgust	0.133
bran	麸	disgust	0.125
finally	最后	disgust	0.125
lord	主	disgust	0.125
boy	男孩	disgust	0.117
cove	拱	disgust	0.117
nurture	培育	disgust	0.117
savor	品尝	disgust	0.117
lemon	柠檬	disgust	0.109
winning	胜利	disgust	0.109
powerful	强大	disgust	0.102
glitter	闪光	disgust	0.094
interior	室内	disgust	0.086
mind	心神	disgust	0.086
treat	对待	disgust	0.078
interested	有兴趣	disgust	0.078
abundance	丰富	disgust	0.078
honest	诚实	disgust	0.055
kite	风筝	disgust	0.055
humble	谦卑	disgust	0.047
tree	树	disgust	0.039
torture	拷打	fear	0.984
terrorist	恐怖分子	fear	0.972
horrific	可怕的	fear	0.969
terrorism	恐怖主义	fear	0.969
terrorists	恐怖分子	fear	0.969
suicidebombing	NO TRANSLATION	fear	0.967
kill	杀	fear	0.962
homicidal	杀人	fear	0.959
annihilate	歼灭	fear	0.953
terror	恐怖	fear	0.953
murderer	凶手	fear	0.953
catastrophe	灾难	fear	0.953
dying	垂死	fear	0.948
war	战争	fear	0.942
bombing	轰炸	fear	0.938
bomb	炸弹	fear	0.935
missiles	导弹	fear	0.934
horror	恐怖	fear	0.923
brutality	残酷	fear	0.922
bloodthirsty	嗜血	fear	0.922
terrorize	威慑	fear	0.922
horrified	吓坏了	fear	0.922
murderous	杀	fear	0.920
massacre	屠杀	fear	0.911
assassinate	暗杀	fear	0.906
horrifying	可怕的	fear	0.906
fatality	病死率	fear	0.906
murder	谋杀	fear	0.906
mutilation	断肢	fear	0.906
terrifying	可怕的	fear	0.906
devastation	毁坏	fear	0.906
holocaust	大屠杀	fear	0.906
horrors	恐怖	fear	0.906
killing	谋杀	fear	0.906
demon	恶魔	fear	0.906
terrified	怔	fear	0.906
suicidal	自杀	fear	0.898
