word	Shona-sn	emotion	emotion-intensity-score
delivery	delivery	anticipation	0.648
alertness	kuchenjerera	anticipation	0.648
aspiration	aspiration	anticipation	0.648
inheritance	nhaka	anticipation	0.648
rising	kuwedzera	anticipation	0.648
tomorrow	mangwana	anticipation	0.648
prescient	achiziva	anticipation	0.648
crowning	korona	anticipation	0.648
revolution	revolution	anticipation	0.641
erotic	kukanganisa	anticipation	0.641
spectacular	zvinoshamisa	anticipation	0.641
anxious	kuzvidya mwoyo	anticipation	0.641
expedition	expedition	anticipation	0.641
possibility	mukana	anticipation	0.641
launch	launch	anticipation	0.641
bride	mwenga	anticipation	0.641
celebrated	kupembererwa	anticipation	0.641
prognosis	prognosis	anticipation	0.641
engaged	akabatanidzwa	anticipation	0.641
reckoning	kuverenga	anticipation	0.641
award	award	anticipation	0.641
happiness	mufaro	anticipation	0.641
hype	hype	anticipation	0.641
receiving	kugamuchira	anticipation	0.641
curious	curious	anticipation	0.633
succeed	kubudirira	anticipation	0.633
birthday	bhavhdhe	anticipation	0.633
graduation	kupedza kudzidza	anticipation	0.633
beware	chenjerera	anticipation	0.633
vision	chiratidzo	anticipation	0.633
passionate	passionate	anticipation	0.633
delight	kufara	anticipation	0.633
destiny	mugumo	anticipation	0.633
ominous	ominous	anticipation	0.633
coming	kuuya	anticipation	0.633
await	kumirira	anticipation	0.633
passion	passion	anticipation	0.633
firstborn	matangwe	anticipation	0.633
captivate	captivate	anticipation	0.633
prepare	gadzirira	anticipation	0.633
miracle	chishamiso	anticipation	0.633
triumphant	kukunda	anticipation	0.625
lust	kuchiva	anticipation	0.625
retirement	kurega basa	anticipation	0.625
escape	pukunyuka	anticipation	0.625
gift	chipo	anticipation	0.625
inspiration	kufemerwa	anticipation	0.625
optimism	tariro	anticipation	0.625
foresee	foresee	anticipation	0.625
ripen	ripen	anticipation	0.625
revival	rumutsiriro	anticipation	0.625
embrace	embrace	anticipation	0.617
risky	ngozi	anticipation	0.617
ambition	chido	anticipation	0.617
simmering	simmering	anticipation	0.617
surprisingly	zvinoshamisa	anticipation	0.617
verge	verge	anticipation	0.617
enchanting	enchanting	anticipation	0.617
bloom	bloom	anticipation	0.617
foresight	foresight	anticipation	0.617
foreboding	foreboding	anticipation	0.617
destined	yakagadzirirwa	anticipation	0.617
succeeding	kubudirira	anticipation	0.609
magical	zvemashiripiti	anticipation	0.609
bonus	bhonasi	anticipation	0.609
lookout	chenjera	anticipation	0.609
matrimony	matrimoni	anticipation	0.609
alerts	alerts	anticipation	0.609
anxiety	kuzvidya mwoyo	anticipation	0.609
seductive	kunyengera	anticipation	0.609
forecast	forecast	anticipation	0.609
intended	chinangwa	anticipation	0.602
inspire	inspire	anticipation	0.602
diagnosis	kuongorora	anticipation	0.602
visionary	visionary	anticipation	0.602
nervous	kutya	anticipation	0.602
deserve	akakodzera	anticipation	0.602
fulfillment	kuzadzika	anticipation	0.602
picnic	picnic	anticipation	0.602
applicant	mudzidzisi	anticipation	0.602
foreseen	akafanoona	anticipation	0.602
entertaining	kufara	anticipation	0.602
revenge	kutsiva	anticipation	0.602
success	kubudirira	anticipation	0.602
prophetic	uprofita	anticipation	0.602
winner	winner	anticipation	0.602
longing	kuchiva	anticipation	0.602
boomerang	boomerang	anticipation	0.602
result	result	anticipation	0.594
accelerate	accelerate	anticipation	0.594
buzz	buzz	anticipation	0.594
acquiring	kuwana	anticipation	0.594
marry	kuroora	anticipation	0.594
illuminate	kujekesa	anticipation	0.594
romance	romance	anticipation	0.594
rekindle	dzokazve	anticipation	0.594
luck	lucky	anticipation	0.594
advent	kuuya	anticipation	0.594
preparedness	kugadzirira	anticipation	0.594
momentum	nguva	anticipation	0.594
arrive	arri	anticipation	0.594
predict	inofanotaura	anticipation	0.589
sequel	sequel	anticipation	0.586
money	mari	anticipation	0.586
endeavor	endeavor	anticipation	0.586
auspices	auspices	anticipation	0.586
fiesta	fiesta	anticipation	0.586
raffle	raffle	anticipation	0.586
preparation	Kugadzirira	anticipation	0.586
uplift	kukwidziridzwa	anticipation	0.586
investigation	kuongorora	anticipation	0.586
gambling	kubhejera	anticipation	0.586
delightful	anofadza	anticipation	0.586
enjoying	kunakidzwa	anticipation	0.586
seek	tsvaka	anticipation	0.586
impatient	kushivirira	anticipation	0.586
overdue	kudarika	anticipation	0.586
crave	chido	anticipation	0.586
flirt	flirt	anticipation	0.586
enthusiast	anofarira	anticipation	0.586
presumption	kuzvikudza	anticipation	0.586
immerse	immerse	anticipation	0.586
progression	kufambira mberi	anticipation	0.586
experiment	kuedza	anticipation	0.580
inviting	kukoka	anticipation	0.578
precarious	zvinotyisa	anticipation	0.578
blessing	chikomborero	anticipation	0.578
harvest	kukohwa	anticipation	0.578
transcendence	transcendence	anticipation	0.578
heavenly	kudenga	anticipation	0.578
attainable	inogoneka	anticipation	0.578
enjoy	kunakidzwa	anticipation	0.578
divination	kuuka	anticipation	0.578
excavation	kufemwa	anticipation	0.578
healing	kuporesa	anticipation	0.578
majestic	majestic	anticipation	0.578
clamor	kupopota	anticipation	0.578
thirst	nyota	anticipation	0.578
remedy	remedy	anticipation	0.578
prosper	kubudirira	anticipation	0.578
risk	ngozi	anticipation	0.578
angling	angling	anticipation	0.578
completing	kugumisa	anticipation	0.578
thriving	thriving	anticipation	0.578
zest	zest	anticipation	0.570
tease	tease	anticipation	0.570
matchmaker	matchmaker	anticipation	0.570
prospectively	zvakananga	anticipation	0.570
restlessness	kusagadzikana	anticipation	0.570
sweetheart	mudiwa	anticipation	0.570
emancipation	kusunungurwa	anticipation	0.570
ultimate	pakupedzisira	anticipation	0.570
invite	kumbira	anticipation	0.570
gambler	gambler	anticipation	0.570
dare	dare	anticipation	0.570
plan	ronga	anticipation	0.570
magnificence	magnificence	anticipation	0.570
warned	akanyeverwa	anticipation	0.570
finally	pakupedzisira	anticipation	0.570
intimate	hwepedyo	anticipation	0.570
omen	omeni	anticipation	0.570
attempt	edza	anticipation	0.562
forewarned	forewarned	anticipation	0.562
fun	zvinonakidza	anticipation	0.562
festival	mutambo	anticipation	0.562
trophy	kupamba	anticipation	0.562
rejoice	fara	anticipation	0.562
fanfare	fanfare	anticipation	0.562
predilection	predilection	anticipation	0.562
exalt	exalt	anticipation	0.562
parade	parade	anticipation	0.562
enchant	enchant	anticipation	0.562
independence	kuzvimirira	anticipation	0.562
expose	kubudisa pachena	anticipation	0.562
immortality	kusafa	anticipation	0.562
expected	inotarisirwa	anticipation	0.562
mysterious	mysterious	anticipation	0.562
hypothesis	hypothesis	anticipation	0.562
accolade	accolade	anticipation	0.562
lover	lover	anticipation	0.562
quicken	kurumidza	anticipation	0.562
champion	champion	anticipation	0.562
lovely	lovely	anticipation	0.555
rejoicing	kufara	anticipation	0.555
grasping	kubata	anticipation	0.555
grow	kukura	anticipation	0.555
curiosity	chido	anticipation	0.555
splendor	kubwinya	anticipation	0.555
salvation	ruponeso	anticipation	0.555
happy	anofara	anticipation	0.555
oracle	shoko	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	kubudiswa	anticipation	0.555
boisterous	kukakavara	anticipation	0.555
liberty	rusununguko	anticipation	0.555
heroism	heroin	anticipation	0.555
feeling	kunzwa	anticipation	0.555
shopping	shopping	anticipation	0.555
fate	fate	anticipation	0.555
uneasiness	unasiness	anticipation	0.555
speculative	kunyatsofungidzira	anticipation	0.555
changeable	chinogona kuchinja	anticipation	0.547
recreational	kunakidzwa	anticipation	0.547
pray	kunyengetera	anticipation	0.547
warn	inyevera	anticipation	0.547
suspicious	kunyunyuta	anticipation	0.547
convergence	convergence	anticipation	0.547
incite	kurudzira	anticipation	0.547
agape	agape	anticipation	0.547
morrow	mangwana	anticipation	0.547
abundance	zvakawanda	anticipation	0.547
delighted	vakafara	anticipation	0.547
resultant	resultant	anticipation	0.547
hungry	vane nzara	anticipation	0.547
monetary	mari	anticipation	0.547
vote	vhoti	anticipation	0.547
glory	kubwinya	anticipation	0.547
glimmer	glimmer	anticipation	0.547
apprehensive	kutya	anticipation	0.547
sorcery	uroyi	anticipation	0.547
bountiful	zvakawanda	anticipation	0.547
leisure	kusununguka	anticipation	0.547
probability	zvichida	anticipation	0.547
auction	auction	anticipation	0.539
hunting	hunting	anticipation	0.539
contingent	contingent	anticipation	0.539
hankering	hankering	anticipation	0.539
sensual	nyama	anticipation	0.539
blessings	maropafadzo	anticipation	0.539
ballot	ballot	anticipation	0.539
grandchildren	grandchildren	anticipation	0.539
entertainment	varaidzo	anticipation	0.539
vindication	kutsigira	anticipation	0.539
worrying	kunetseka	anticipation	0.539
tempest	dutu remhepo	anticipation	0.539
inquiry	kubvunza	anticipation	0.539
merge	batanidza	anticipation	0.539
exceed	kudarika	anticipation	0.539
bounty	bounty	anticipation	0.539
glad	anofara	anticipation	0.536
magnificent	zvinoshamisa	anticipation	0.531
feat	feat	anticipation	0.531
stealthy	chirema	anticipation	0.531
cheer	cheer	anticipation	0.531
spirits	mweya	anticipation	0.531
visitor	mushanyi	anticipation	0.531
appeal	kukwidza	anticipation	0.531
forming	kuumba	anticipation	0.531
hurried	akakurumidza	anticipation	0.531
responsive	responsive	anticipation	0.531
virginity	umhandara	anticipation	0.531
deliverance	kununurwa	anticipation	0.531
betrothed	betrothed	anticipation	0.531
overthrow	kuparadza	anticipation	0.531
harbinger	harbinger	anticipation	0.531
raving	raving	anticipation	0.531
celestial	kudenga	anticipation	0.531
dread	kutya	anticipation	0.531
germination	kumera	anticipation	0.523
preparatory	kugadzirira	anticipation	0.523
pleasant	inofadza	anticipation	0.523
watch	tarisa	anticipation	0.523
prophet	muporofita	anticipation	0.523
prognostic	prognostic	anticipation	0.523
haste	kukurumidza	anticipation	0.523
planning	kuronga	anticipation	0.523
importance	kukosha	anticipation	0.523
radiance	radiance	anticipation	0.523
prevail	inokunda	anticipation	0.523
cheery	cheery	anticipation	0.523
competition	makwikwi	anticipation	0.523
ultimately	pakupedzisira	anticipation	0.523
revive	rukazve	anticipation	0.523
beaming	kubwinya	anticipation	0.523
wait	wait	anticipation	0.523
child	mwana	anticipation	0.523
notification	notification	anticipation	0.523
hunter	muvhimi	anticipation	0.523
explosive	kuputika	anticipation	0.523
endanger	pangozi	anticipation	0.516
time	nguva	anticipation	0.516
recreation	kushamwaridzana	anticipation	0.516
renovation	kugadziridza	anticipation	0.516
precious	anokosha	anticipation	0.516
begun	kutanga	anticipation	0.516
loom	loom	anticipation	0.516
compensate	kuripa	anticipation	0.516
treat	kubata	anticipation	0.516
uncontrollable	kusadzora	anticipation	0.516
present	iripo	anticipation	0.516
salary	muhoro	anticipation	0.516
celebrity	celebrity	anticipation	0.516
owing	chikwereti	anticipation	0.516
chocolate	chocolate	anticipation	0.516
caution	chenjedzo	anticipation	0.516
fermentation	fermentation	anticipation	0.516
sensuality	manzwiro	anticipation	0.516
wilderness	murenje	anticipation	0.508
signify	zvinoratidza	anticipation	0.508
transitional	shanduko	anticipation	0.508
intermission	kupembera	anticipation	0.508
contemplation	kufungisisa	anticipation	0.508
vigilance	vakangwarira	anticipation	0.508
commemoration	chiyeuchidzo	anticipation	0.508
practise	tsika	anticipation	0.508
cue	cue	anticipation	0.508
infant	mwana	anticipation	0.508
dreadful	anotyisa	anticipation	0.508
perfection	kukwana	anticipation	0.508
elevation	elevation	anticipation	0.508
prerequisite	zvakakodzera	anticipation	0.508
cultivate	kukura	anticipation	0.508
horizon	horizon	anticipation	0.508
develop	kukura	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	kushambira	anticipation	0.500
attendance	kupinda	anticipation	0.500
nascent	nascent	anticipation	0.500
favorable	inofadza	anticipation	0.500
peril	njodzi	anticipation	0.500
income	mari	anticipation	0.500
ardent	ardent	anticipation	0.500
commemorate	chiyeuchidzo	anticipation	0.500
doomsday	doomsday	anticipation	0.500
reconciliation	kuyananiswa	anticipation	0.500
utopian	utopian	anticipation	0.500
romantic	romantic	anticipation	0.500
unbridled	asina kukodzera	anticipation	0.500
sunny	sunny	anticipation	0.500
uphill	uphill	anticipation	0.500
intuitively	intuitively	anticipation	0.500
depart	Ibva	anticipation	0.500
eventuality	enduality	anticipation	0.500
puppy	puppy	anticipation	0.500
zeal	kushingaira	anticipation	0.500
sneaking	sneaking	anticipation	0.500
ready	akagadzirira	anticipation	0.500
advocacy	kukurudzira	anticipation	0.500
airport	airport	anticipation	0.500
litigate	litigate	anticipation	0.500
blindfold	kuvharwa pakafuti	anticipation	0.500
undisclosed	zvisina kufanirwa	anticipation	0.500
young	vaduku	anticipation	0.500
horoscope	horoscope	anticipation	0.500
invocation	kukumbira	anticipation	0.500
calculation	kuverenga	anticipation	0.500
hero	hero	anticipation	0.500
court	dare	anticipation	0.492
repay	dzoserera	anticipation	0.492
improvise	improvise	anticipation	0.492
parole	parole	anticipation	0.492
worry	kunetseka	anticipation	0.492
inauguration	kuvhudzirwa	anticipation	0.492
gaping	gaping	anticipation	0.492
youth	udiki	anticipation	0.492
bless	ropafadza	anticipation	0.492
defense	kudzivirira	anticipation	0.492
heyday	heyday	anticipation	0.492
consequent	chikonzero	anticipation	0.492
proceeding	kupfuurira	anticipation	0.492
eventual	pakupedzisira	anticipation	0.492
perspective	maonero	anticipation	0.492
restorative	kudzorerazve	anticipation	0.492
undertaking	basa	anticipation	0.492
highest	akakwirira	anticipation	0.491
duel	duel	anticipation	0.484
unexplained	unxplained	anticipation	0.484
tremor	tremble	anticipation	0.484
sharpen	sharpen	anticipation	0.484
generosity	kupa	anticipation	0.484
voluptuous	voluptuous	anticipation	0.484
shortly	nguva pfupi	anticipation	0.484
vow	mhiko	anticipation	0.484
contagion	kuparadzirwa	anticipation	0.484
letter	tsamba	anticipation	0.484
happen	zvinoitika	anticipation	0.484
threaten	kutya	anticipation	0.484
conjure	conjure	anticipation	0.484
sparkle	sparkle	anticipation	0.484
engulf	engulf	anticipation	0.484
god	mwari	anticipation	0.484
correspondence	tsamba	anticipation	0.484
auspicious	auspicious	anticipation	0.484
princely	princely	anticipation	0.484
adore	adore	anticipation	0.477
enroll	nyora	anticipation	0.477
determinate	determinate	anticipation	0.477
predispose	predispose	anticipation	0.477
clue	clue	anticipation	0.477
onset	kutanga	anticipation	0.477
powerful	vane simba	anticipation	0.477
glorify	rumbidzai	anticipation	0.477
glow	kupenya	anticipation	0.477
arbitration	kubvumirana	anticipation	0.477
torture	kutambudzwa	anticipation	0.477
gravitate	gravitate	anticipation	0.477
cherish	cherish	anticipation	0.477
contemplate	fungisisa	anticipation	0.477
submit	submit	anticipation	0.477
perilous	zvinotyisa	anticipation	0.477
unification	kubatana	anticipation	0.477
score	pota	anticipation	0.477
medal	medal	anticipation	0.477
glide	glide	anticipation	0.477
recipient	mubatsiri	anticipation	0.477
accompaniment	accompaniment	anticipation	0.477
praiseworthy	kurumbidzwa	anticipation	0.473
providing	kupa	anticipation	0.469
motion	kufamba	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	chenjerera	anticipation	0.469
cash	mari	anticipation	0.469
precursor	mberi	anticipation	0.469
opera	opera	anticipation	0.469
elite	elite	anticipation	0.469
pry	pry	anticipation	0.469
hire	hire	anticipation	0.469
sweets	sweets	anticipation	0.469
star	nyeredzi	anticipation	0.469
unsurpassed	isina kukwana	anticipation	0.469
successful	kubudirira	anticipation	0.469
unknown	hazvizivikanwe	anticipation	0.469
immediately	pakarepo	anticipation	0.469
starry	starry	anticipation	0.469
production	kubudisa	anticipation	0.469
football	bhora	anticipation	0.469
completion	kuguma	anticipation	0.469
scare	kutyisa	anticipation	0.469
invoke	invoke	anticipation	0.469
shaky	shaky	anticipation	0.469
dawn	dawn	anticipation	0.469
creeping	creeping	anticipation	0.469
cheerfulness	kufara	anticipation	0.461
soundness	kuchena	anticipation	0.461
mail	mail	anticipation	0.461
draft	ronga	anticipation	0.461
preliminary	preliminary	anticipation	0.461
friendly	shamwari	anticipation	0.461
commemorative	chiyeuchidzo	anticipation	0.461
extricate	yakanyanyisa	anticipation	0.461
alive	mupenyu	anticipation	0.461
untold	untold	anticipation	0.461
overture	overture	anticipation	0.461
excel	zvakanakisisa	anticipation	0.461
plight	chinetso	anticipation	0.461
synchronize	synchronize	anticipation	0.461
punt	punt	anticipation	0.461
sanctuary	nzvimbo tsvene	anticipation	0.461
brilliant	brilliant	anticipation	0.461
pay	kuripa	anticipation	0.461
shining	shining	anticipation	0.461
regatta	regatta	anticipation	0.461
testament	testament	anticipation	0.461
jeopardy	njodzi	anticipation	0.461
perpetuity	perpettuity	anticipation	0.453
elegance	elegance	anticipation	0.453
career	basa	anticipation	0.453
basketball	basketball	anticipation	0.453
intimately	zvakananga	anticipation	0.453
renovate	renovate	anticipation	0.453
supremacy	ukuru	anticipation	0.453
infinity	infinity	anticipation	0.453
unexpected	unexpected	anticipation	0.453
flinch	flinch	anticipation	0.453
complement	kuwirirana	anticipation	0.453
prologue	prologue	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	kudzivirira	anticipation	0.453
improve	kuvandudza	anticipation	0.453
sunset	sunset	anticipation	0.453
inaugural	inaugural	anticipation	0.453
rehabilitation	kugadziriswa	anticipation	0.453
fitting	fitting	anticipation	0.445
surround	akapoteredza	anticipation	0.445
share	share	anticipation	0.445
epidemic	denda	anticipation	0.445
sweet	inotapira	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	kuvanza	anticipation	0.445
confidence	chivimbo	anticipation	0.445
perfect	akakwana	anticipation	0.445
sun	zuva	anticipation	0.445
veracity	veracity	anticipation	0.445
volunteer	kuzvipira	anticipation	0.445
conjecture	conjecture	anticipation	0.445
medical	kurapa	anticipation	0.438
prepared	akagadzirira	anticipation	0.438
superstitious	mashura	anticipation	0.438
reconstruction	kuvakazve	anticipation	0.438
tickle	shanduka	anticipation	0.438
faith	kutenda	anticipation	0.438
passenger	passenger	anticipation	0.438
saint	saint	anticipation	0.438
respect	kuremekedza	anticipation	0.438
rabid	rabid	anticipation	0.438
reconstruct	dzovakazve	anticipation	0.438
recombination	recombination	anticipation	0.438
devout	kuzvipira	anticipation	0.438
goodness	kunaka	anticipation	0.438
angel	ngirozi	anticipation	0.438
ferment	kunyorera	anticipation	0.438
plea	chikumbiro	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	serial	anticipation	0.438
conservation	kuchengetedza	anticipation	0.438
serenity	kunyarara	anticipation	0.430
tabulate	tabulate	anticipation	0.430
install	install	anticipation	0.430
labyrinth	labyrinth	anticipation	0.430
venerable	kunamata	anticipation	0.430
perpetuate	kupfuurira mberi	anticipation	0.430
strategist	strategist	anticipation	0.430
unverified	isina chokwadi	anticipation	0.430
tribunal	tribunal	anticipation	0.430
charitable	charitable	anticipation	0.430
luscious	kunakidza	anticipation	0.430
spa	spa	anticipation	0.430
peace	rugare	anticipation	0.430
clap	clap	anticipation	0.430
conspirator	conspirator	anticipation	0.422
forestall	kumira	anticipation	0.422
patience	kushivirira	anticipation	0.422
oasis	oasis	anticipation	0.422
grin	grin	anticipation	0.422
revere	kuremekedza	anticipation	0.422
worship	kunamata	anticipation	0.422
vista	vista	anticipation	0.422
laughter	kuseka	anticipation	0.422
volatility	kukanganisa	anticipation	0.422
adrift	adrift	anticipation	0.422
candid	candid	anticipation	0.422
edification	kuvaka	anticipation	0.422
unresolved	isina kugadziriswa	anticipation	0.422
peaceful	rugare	anticipation	0.422
recognizable	inozivikanwa	anticipation	0.422
calls	kudana	anticipation	0.414
weigh	kuyera	anticipation	0.414
probation	kuedzwa	anticipation	0.414
proficiency	unyanzvi	anticipation	0.414
morn	morn	anticipation	0.414
craps	craps	anticipation	0.414
detainee	detainee	anticipation	0.414
mediate	mubvumirane	anticipation	0.414
continue	pfuurira	anticipation	0.414
astrologer	nyanzvi	anticipation	0.414
punctual	nguva	anticipation	0.414
ordination	kugadziriswa	anticipation	0.414
pretty	runako	anticipation	0.414
thought	kufunga	anticipation	0.414
grant	kupa	anticipation	0.414
withstand	mira	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	inopfuurira	anticipation	0.414
sing	kuimba	anticipation	0.411
long	kureba	anticipation	0.406
confession	kureurura	anticipation	0.406
headlight	headlight	anticipation	0.406
prophylactic	prophylactic	anticipation	0.406
mother	amai	anticipation	0.406
debenture	kukanganisa	anticipation	0.406
wizard	wizard	anticipation	0.406
university	yunivhesiti	anticipation	0.406
proud	vanozvikudza	anticipation	0.406
midwife	midwife	anticipation	0.406
banquet	banquet	anticipation	0.406
continuation	kupfuurira	anticipation	0.406
navigable	nzara	anticipation	0.406
punished	kurangwa	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	nyaradzo	anticipation	0.406
opponent	muvengi	anticipation	0.406
subscribe	Subscribe	anticipation	0.406
outdo	outdo	anticipation	0.406
nurture	kurera	anticipation	0.406
twinkle	twinkle	anticipation	0.406
deal	kubata	anticipation	0.402
efficient	inoshanda	anticipation	0.398
representing	kumirira	anticipation	0.398
simmer	simmer	anticipation	0.398
symphony	symphony	anticipation	0.398
judiciary	judiciary	anticipation	0.398
obliging	kusunga	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	vigil	anticipation	0.398
death	rufu	anticipation	0.398
distracting	zvinokanganisa	anticipation	0.398
mortification	kukanganisa	anticipation	0.398
balm	balm	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	kumusoro	anticipation	0.398
lettered	lettered	anticipation	0.398
reliance	reliance	anticipation	0.398
poke	poke	anticipation	0.391
unfulfilled	kusina kuzadzika	anticipation	0.391
assurance	vimbiso	anticipation	0.391
condemnation	kupiwa mhosva	anticipation	0.391
undoubted	undoubted	anticipation	0.391
diplomacy	diplomacy	anticipation	0.391
familiarity	unoziva	anticipation	0.391
antidote	antidote	anticipation	0.391
chuckle	chuckle	anticipation	0.391
objective	chinangwa	anticipation	0.391
maternal	vanaamai	anticipation	0.391
abeyance	abeyance	anticipation	0.391
art	unyanzvi	anticipation	0.391
linger	nguva	anticipation	0.391
trust	kuvimba	anticipation	0.391
depraved	zvinonyangadza	anticipation	0.391
sanctify	tsvenesa	anticipation	0.391
inoculation	inoculation	anticipation	0.384
chant	chant	anticipation	0.383
banger	banger	anticipation	0.383
playground	nzvimbo yekutamba	anticipation	0.383
failing	kukundikana	anticipation	0.383
ship	ngarava	anticipation	0.383
hymn	rwiyo	anticipation	0.383
simplify	ita nyore	anticipation	0.383
ram	gondohwe	anticipation	0.383
labor	kushanda	anticipation	0.383
discretion	kungwara	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	kugona	anticipation	0.383
scientist	musayendisiti	anticipation	0.383
undecided	zvisina kufanira	anticipation	0.383
humanitarian	kubatsira vanhu	anticipation	0.383
depend	vanovimba	anticipation	0.383
dutiful	zvakashata	anticipation	0.383
clock	clock	anticipation	0.375
sterling	sterling	anticipation	0.375
mountain	gomo	anticipation	0.375
savor	kunhuwirira	anticipation	0.375
recurrent	zvinowanzoitika	anticipation	0.375
interim	nguva	anticipation	0.375
navigator	navigator	anticipation	0.375
gradual	zvishoma nezvishoma	anticipation	0.375
interminable	zvisingagoneki	anticipation	0.375
track	track	anticipation	0.375
public	vanhu vose	anticipation	0.375
cradle	chivako	anticipation	0.375
concealed	zvakavanzika	anticipation	0.367
lesson	chidzidzo	anticipation	0.367
instructions	mirayiridzo	anticipation	0.367
shiver	shiver	anticipation	0.367
musical	mimhanzi	anticipation	0.367
towering	towering	anticipation	0.367
whim	whim	anticipation	0.367
spear	pfumo	anticipation	0.367
convince	kugutsa	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	gara	anticipation	0.367
biennial	biennial	anticipation	0.367
theology	dzidzo yebhaibheri	anticipation	0.359
offset	offset	anticipation	0.359
atone	atone	anticipation	0.359
timidity	kunyara	anticipation	0.359
theory	dzidziso	anticipation	0.359
undying	undying	anticipation	0.359
plump	plump	anticipation	0.359
audience	vateereri	anticipation	0.357
nobility	vanokudzwa	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	dietary	anticipation	0.352
closure	kuvhara	anticipation	0.352
store	store	anticipation	0.352
localize	localize	anticipation	0.352
cramp	cramp	anticipation	0.352
daily	zuva nezuva	anticipation	0.352
kindred	hama	anticipation	0.352
farm	purazi	anticipation	0.352
edition	edition	anticipation	0.352
consecration	kuzvipira	anticipation	0.352
archaeology	archaeology	anticipation	0.344
mobile	mobile	anticipation	0.344
errand	errand	anticipation	0.344
wireless	wireless	anticipation	0.344
mutable	mutable	anticipation	0.344
meditate	fungisisa	anticipation	0.344
stripped	yakabviswa	anticipation	0.344
lessen	kuderedza	anticipation	0.336
unaccountable	unaccountable	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	hama	anticipation	0.336
buddy	shamwari	anticipation	0.336
unbeaten	unbeaten	anticipation	0.336
germ	mishonga	anticipation	0.336
dove	njiva	anticipation	0.328
digress	digress	anticipation	0.328
ribbon	ribhoni	anticipation	0.328
olfactory	olfactory	anticipation	0.328
patient	mwoyo murefu	anticipation	0.328
council	kereke	anticipation	0.328
possess	possess	anticipation	0.328
secular	zvenyika	anticipation	0.328
chastity	kuchena	anticipation	0.328
disposed	rakaraswa	anticipation	0.320
regularity	nguva dzose	anticipation	0.320
mediator	murevereri	anticipation	0.320
scrutinize	kuongorora	anticipation	0.320
fancy	fancy	anticipation	0.320
immature	immature	anticipation	0.320
infanticide	infanticide	anticipation	0.320
heft	heft	anticipation	0.320
preservative	kuchengetedza	anticipation	0.320
paddle	paddle	anticipation	0.320
cove	cove	anticipation	0.320
denying	kuramba	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	isina kunyorwa	anticipation	0.312
analyst	analyst	anticipation	0.312
grim	zvinotyisa	anticipation	0.312
church	chechi	anticipation	0.312
priesthood	upristi	anticipation	0.305
mill	mill	anticipation	0.305
judicial	magweta	anticipation	0.305
broadside	kupararira	anticipation	0.305
tributary	tributary	anticipation	0.297
cap	cap	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	dismay	anticipation	0.297
instructor	mudzidzisi	anticipation	0.297
saliva	saliva	anticipation	0.297
exhaustion	kuneta	anticipation	0.297
bruise	bruise	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	vasina pokugara	anticipation	0.289
visor	vhurori	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	network	anticipation	0.289
shackle	shackle	anticipation	0.289
addresses	aderesi	anticipation	0.289
noncompliance	kusateerera	anticipation	0.289
cataract	cataract	anticipation	0.289
skewed	skewed	anticipation	0.281
astronomer	nyanzvi dzenyeredzi	anticipation	0.281
neighbor	muvakidzani	anticipation	0.281
holiness	utsvene	anticipation	0.273
devil	dhimoni	anticipation	0.273
cream	kirimu	anticipation	0.273
picket	picket	anticipation	0.273
latent	latent	anticipation	0.273
immaturity	kusachena	anticipation	0.273
sentence	mutongo	anticipation	0.273
neighborhood	vavakidzani	anticipation	0.266
morals	tsika	anticipation	0.266
lull	lull	anticipation	0.266
habitual	tsika	anticipation	0.266
weight	kurema	anticipation	0.258
bye	chisarai	anticipation	0.258
forearm	forearm	anticipation	0.250
clown	clown	anticipation	0.250
organ	organ	anticipation	0.250
quote	quote	anticipation	0.242
commonplace	kazhinji	anticipation	0.242
dictatorship	kudzvinyirira	anticipation	0.234
board	bhodhi	anticipation	0.234
white	chena	anticipation	0.234
treadmill	treadmill	anticipation	0.234
rail	railway	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	muti	anticipation	0.227
paralysis	kuora mitezo	anticipation	0.211
worm	worm	anticipation	0.203
organization	sangano	anticipation	0.203
cement	simenti	anticipation	0.203
lagging	kumira	anticipation	0.180
neutral	kusarerekera	anticipation	0.148
cannibalism	kurwisa	disgust	0.953
mutilation	kumiswa	disgust	0.930
