word	Bulgarian-bg	emotion	emotion-intensity-score
owing	дължим	anticipation	0.516
chocolate	шоколад	anticipation	0.516
caution	Внимание	anticipation	0.516
fermentation	ферментация	anticipation	0.516
sensuality	чувственост	anticipation	0.516
wilderness	пустиня	anticipation	0.508
signify	означава	anticipation	0.508
transitional	преходен	anticipation	0.508
intermission	прекъсване	anticipation	0.508
contemplation	размишление	anticipation	0.508
vigilance	бдителност	anticipation	0.508
commemoration	възпоминание	anticipation	0.508
practise	практика	anticipation	0.508
cue	щека	anticipation	0.508
infant	бебе	anticipation	0.508
dreadful	страшен	anticipation	0.508
perfection	съвършенство	anticipation	0.508
elevation	височина	anticipation	0.508
prerequisite	предпоставка	anticipation	0.508
cultivate	култивирам	anticipation	0.508
horizon	хоризонт	anticipation	0.508
develop	развият	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	плуване	anticipation	0.500
attendance	посещаемост	anticipation	0.500
nascent	зараждащ се	anticipation	0.500
favorable	благоприятен	anticipation	0.500
peril	излагам на опасност	anticipation	0.500
income	доход	anticipation	0.500
ardent	пламенен	anticipation	0.500
commemorate	чест	anticipation	0.500
doomsday	страшният съд	anticipation	0.500
reconciliation	помирение	anticipation	0.500
utopian	утопична	anticipation	0.500
romantic	романтичен	anticipation	0.500
unbridled	необуздан	anticipation	0.500
sunny	слънчево	anticipation	0.500
uphill	нагоре	anticipation	0.500
intuitively	интуитивно	anticipation	0.500
depart	отклоняват	anticipation	0.500
eventuality	възможност	anticipation	0.500
puppy	кученце	anticipation	0.500
zeal	усърдие	anticipation	0.500
sneaking	подъл	anticipation	0.500
ready	готов	anticipation	0.500
advocacy	застъпничество	anticipation	0.500
airport	летище	anticipation	0.500
litigate	оспорвам	anticipation	0.500
blindfold	с вързани очи	anticipation	0.500
undisclosed	неразкрит	anticipation	0.500
young	млад	anticipation	0.500
horoscope	хороскоп	anticipation	0.500
invocation	призоваване	anticipation	0.500
calculation	изчисление	anticipation	0.500
hero	герой	anticipation	0.500
court	съдебна зала	anticipation	0.492
repay	погаси	anticipation	0.492
improvise	импровизирам	anticipation	0.492
parole	честна дума	anticipation	0.492
worry	тревожа	anticipation	0.492
inauguration	встъпване в длъжност	anticipation	0.492
gaping	зейналата	anticipation	0.492
youth	младежта	anticipation	0.492
bless	благославям	anticipation	0.492
defense	отбрана	anticipation	0.492
heyday	разцвет	anticipation	0.492
consequent	следствие	anticipation	0.492
proceeding	процедура	anticipation	0.492
eventual	евентуален	anticipation	0.492
perspective	перспектива	anticipation	0.492
restorative	възстановителен	anticipation	0.492
undertaking	начинание	anticipation	0.492
highest	най-висока	anticipation	0.491
duel	дуел	anticipation	0.484
unexplained	необяснима	anticipation	0.484
tremor	треперене	anticipation	0.484
sharpen	остря	anticipation	0.484
generosity	щедрост	anticipation	0.484
voluptuous	сладострастен	anticipation	0.484
shortly	скоро	anticipation	0.484
vow	обет	anticipation	0.484
contagion	зараза	anticipation	0.484
letter	писмо	anticipation	0.484
happen	става	anticipation	0.484
threaten	заплашвам	anticipation	0.484
conjure	апелирам към	anticipation	0.484
sparkle	блясък	anticipation	0.484
engulf	поглъщам	anticipation	0.484
god	Бог	anticipation	0.484
correspondence	кореспонденция	anticipation	0.484
auspicious	щастлив	anticipation	0.484
princely	разкошен	anticipation	0.484
adore	обожавам	anticipation	0.477
enroll	записвам се	anticipation	0.477
determinate	определен	anticipation	0.477
predispose	предразполагам	anticipation	0.477
clue	улика	anticipation	0.477
onset	начало	anticipation	0.477
powerful	мощен	anticipation	0.477
glorify	прославям	anticipation	0.477
glow	блестя	anticipation	0.477
arbitration	арбитраж	anticipation	0.477
torture	изтезание	anticipation	0.477
gravitate	гравитирам	anticipation	0.477
cherish	храня	anticipation	0.477
contemplate	съзерцавам	anticipation	0.477
submit	Изпращане	anticipation	0.477
perilous	опасен	anticipation	0.477
unification	уеднаквяване	anticipation	0.477
score	резултат	anticipation	0.477
medal	медал	anticipation	0.477
glide	плъзгане	anticipation	0.477
recipient	получател	anticipation	0.477
accompaniment	съпровод	anticipation	0.477
praiseworthy	достоен за похвала	anticipation	0.473
providing	осигуряване	anticipation	0.469
motion	движение	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	предпазлив	anticipation	0.469
cash	пари в брой	anticipation	0.469
precursor	предшественик	anticipation	0.469
opera	опера	anticipation	0.469
elite	елит	anticipation	0.469
pry	надничам	anticipation	0.469
hire	наем	anticipation	0.469
sweets	захарни изделия	anticipation	0.469
star	звезда	anticipation	0.469
unsurpassed	ненадминат	anticipation	0.469
successful	успешен	anticipation	0.469
unknown	неизвестен	anticipation	0.469
immediately	веднага	anticipation	0.469
starry	звезден	anticipation	0.469
production	производство	anticipation	0.469
football	футбол	anticipation	0.469
completion	завършване	anticipation	0.469
scare	плаша	anticipation	0.469
invoke	призовавам	anticipation	0.469
shaky	съмнителен	anticipation	0.469
dawn	разсъмване	anticipation	0.469
creeping	пълзящ	anticipation	0.469
cheerfulness	бодрост	anticipation	0.461
soundness	стабилност	anticipation	0.461
mail	поща	anticipation	0.461
draft	проект	anticipation	0.461
preliminary	предварителен	anticipation	0.461
friendly	приятелски	anticipation	0.461
commemorative	възпоменателен	anticipation	0.461
extricate	отделям	anticipation	0.461
alive	жив	anticipation	0.461
untold	несметен	anticipation	0.461
overture	увертюра	anticipation	0.461
excel	ексел	anticipation	0.461
plight	хал	anticipation	0.461
synchronize	синхронизирам	anticipation	0.461
punt	плоскодънна лодка	anticipation	0.461
sanctuary	светилище	anticipation	0.461
brilliant	блестящ	anticipation	0.461
pay	плащам	anticipation	0.461
shining	блестящ	anticipation	0.461
regatta	регата	anticipation	0.461
testament	завещание	anticipation	0.461
jeopardy	опасност	anticipation	0.461
perpetuity	вечност	anticipation	0.453
elegance	елегантност	anticipation	0.453
career	кариера	anticipation	0.453
basketball	баскетбол	anticipation	0.453
intimately	интимно	anticipation	0.453
renovate	обнови	anticipation	0.453
supremacy	надмощие	anticipation	0.453
infinity	безкрайност	anticipation	0.453
unexpected	неочакван	anticipation	0.453
flinch	плаша се	anticipation	0.453
complement	допълнение	anticipation	0.453
prologue	пролог	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	предотвратяване	anticipation	0.453
improve	подобряване на	anticipation	0.453
sunset	залез	anticipation	0.453
inaugural	встъпителен	anticipation	0.453
rehabilitation	рехабилитация	anticipation	0.453
fitting	сглобяване	anticipation	0.445
surround	обграждам	anticipation	0.445
share	дял	anticipation	0.445
epidemic	епидемия	anticipation	0.445
sweet	сладка	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	укриване	anticipation	0.445
confidence	увереност	anticipation	0.445
perfect	съвършен	anticipation	0.445
sun	слънце	anticipation	0.445
veracity	истинност	anticipation	0.445
volunteer	доброволец	anticipation	0.445
conjecture	предположение	anticipation	0.445
medical	медицински	anticipation	0.438
prepared	приготвен	anticipation	0.438
superstitious	суеверен	anticipation	0.438
reconstruction	реконструкция	anticipation	0.438
tickle	гъдел	anticipation	0.438
faith	вяра	anticipation	0.438
passenger	пътник	anticipation	0.438
saint	светец	anticipation	0.438
respect	отношение	anticipation	0.438
rabid	бесен	anticipation	0.438
reconstruct	реконструирам	anticipation	0.438
recombination	рекомбинация	anticipation	0.438
devout	благочестив	anticipation	0.438
goodness	доброта	anticipation	0.438
angel	ангел	anticipation	0.438
ferment	фермент	anticipation	0.438
plea	апел	anticipation	0.438
aloha	алоха	anticipation	0.438
serial	сериен	anticipation	0.438
conservation	запазване	anticipation	0.438
serenity	ведрина	anticipation	0.430
tabulate	придавам плоска повърхност на	anticipation	0.430
install	Инсталирай	anticipation	0.430
labyrinth	лабиринт	anticipation	0.430
venerable	почитан	anticipation	0.430
perpetuate	увековечавам	anticipation	0.430
strategist	стратег	anticipation	0.430
unverified	непроверен	anticipation	0.430
tribunal	трибунал	anticipation	0.430
charitable	благотворителен	anticipation	0.430
luscious	пищен	anticipation	0.430
spa	спа	anticipation	0.430
peace	мир	anticipation	0.430
clap	ръкопляскане	anticipation	0.430
conspirator	конспиратор	anticipation	0.422
forestall	предотвратявам	anticipation	0.422
patience	търпение	anticipation	0.422
oasis	оазис	anticipation	0.422
grin	хилене	anticipation	0.422
revere	тача	anticipation	0.422
worship	преклонение	anticipation	0.422
vista	перспектива	anticipation	0.422
laughter	смях	anticipation	0.422
volatility	летливост	anticipation	0.422
adrift	без посока	anticipation	0.422
candid	откровен	anticipation	0.422
edification	назидание	anticipation	0.422
unresolved	нерешен	anticipation	0.422
peaceful	спокоен	anticipation	0.422
recognizable	познаваем	anticipation	0.422
calls	повиквания	anticipation	0.414
weigh	тежа	anticipation	0.414
probation	изпитателен срок	anticipation	0.414
proficiency	опитност	anticipation	0.414
morn	утро	anticipation	0.414
craps	игра на зарове	anticipation	0.414
detainee	задържания	anticipation	0.414
mediate	посреднича	anticipation	0.414
continue	продължи	anticipation	0.414
astrologer	астролог	anticipation	0.414
punctual	точен	anticipation	0.414
ordination	ръкополагане	anticipation	0.414
pretty	красива	anticipation	0.414
thought	мисъл	anticipation	0.414
grant	даване	anticipation	0.414
withstand	издържат	anticipation	0.414
frisky	игрив	anticipation	0.414
ongoing	в процес	anticipation	0.414
sing	пея	anticipation	0.411
long	дълго	anticipation	0.406
confession	изповед	anticipation	0.406
headlight	фар	anticipation	0.406
prophylactic	профилактичен	anticipation	0.406
mother	майка	anticipation	0.406
debenture	дебентура	anticipation	0.406
wizard	магьосник	anticipation	0.406
university	университет	anticipation	0.406
proud	горд	anticipation	0.406
midwife	акушерка	anticipation	0.406
banquet	банкет	anticipation	0.406
continuation	продължаване	anticipation	0.406
navigable	плавателен	anticipation	0.406
punished	наказани	anticipation	0.406
chicane	шикан	anticipation	0.406
comfort	комфорт	anticipation	0.406
opponent	опонент	anticipation	0.406
subscribe	Абонирай се	anticipation	0.406
outdo	превъзхождам	anticipation	0.406
nurture	възпитаване	anticipation	0.406
twinkle	блестя	anticipation	0.406
deal	сделка	anticipation	0.402
efficient	ефикасен	anticipation	0.398
representing	представляващи	anticipation	0.398
simmer	едва се сдържам	anticipation	0.398
symphony	симфония	anticipation	0.398
judiciary	Съдебен	anticipation	0.398
obliging	услужлив	anticipation	0.398
saintly	като светец	anticipation	0.398
vigil	нощно бдение	anticipation	0.398
death	смърт	anticipation	0.398
distracting	подлудяващ	anticipation	0.398
mortification	усмиряване	anticipation	0.398
balm	балсам	anticipation	0.398
guillotine	гилотина	anticipation	0.398
top	връх	anticipation	0.398
lettered	начетен	anticipation	0.398
reliance	разчитане	anticipation	0.398
poke	мушкам	anticipation	0.391
unfulfilled	неизпълнен	anticipation	0.391
assurance	осигуряване	anticipation	0.391
condemnation	осъждане	anticipation	0.391
undoubted	безспорен	anticipation	0.391
diplomacy	дипломация	anticipation	0.391
familiarity	фамилиарност	anticipation	0.391
antidote	противоотрова	anticipation	0.391
chuckle	кудкудякане	anticipation	0.391
objective	обективен	anticipation	0.391
maternal	майчински	anticipation	0.391
abeyance	безстопанственост	anticipation	0.391
art	изкуство	anticipation	0.391
linger	бавя се	anticipation	0.391
trust	Доверие	anticipation	0.391
depraved	покварен	anticipation	0.391
sanctify	освещавам	anticipation	0.391
inoculation	ваксинация	anticipation	0.384
chant	песнопение	anticipation	0.383
banger	пушка	anticipation	0.383
playground	игрище	anticipation	0.383
failing	ако не	anticipation	0.383
ship	кораб	anticipation	0.383
hymn	химн	anticipation	0.383
simplify	опрости	anticipation	0.383
ram	овен	anticipation	0.383
labor	труд	anticipation	0.383
discretion	дискретност	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	добре	anticipation	0.383
scientist	учен	anticipation	0.383
undecided	нерешителен	anticipation	0.383
humanitarian	хуманитарен	anticipation	0.383
depend	зависи	anticipation	0.383
dutiful	предана	anticipation	0.383
clock	часовник	anticipation	0.375
sterling	солиден	anticipation	0.375
mountain	планина	anticipation	0.375
savor	дъх	anticipation	0.375
recurrent	повтарящ се	anticipation	0.375
interim	временен	anticipation	0.375
navigator	навигатор	anticipation	0.375
gradual	постепенен	anticipation	0.375
interminable	безконечен	anticipation	0.375
track	път	anticipation	0.375
public	обществен	anticipation	0.375
cradle	люлка	anticipation	0.375
concealed	скрит	anticipation	0.367
lesson	урок	anticipation	0.367
instructions	инструкции	anticipation	0.367
shiver	тръпка	anticipation	0.367
musical	музикален	anticipation	0.367
towering	извисяващ се	anticipation	0.367
whim	прищявка	anticipation	0.367
spear	копие	anticipation	0.367
convince	убеждавам	anticipation	0.367
sonar	хидролокатор	anticipation	0.367
abide	стоя	anticipation	0.367
biennial	двегодишен	anticipation	0.367
theology	теология	anticipation	0.359
offset	изместване	anticipation	0.359
atone	компенсирам	anticipation	0.359
timidity	плахост	anticipation	0.359
theory	теория	anticipation	0.359
undying	нестихващ	anticipation	0.359
plump	закръглен	anticipation	0.359
audience	публика	anticipation	0.357
nobility	благородство	anticipation	0.352
paragon	образец	anticipation	0.352
dietary	диетичен	anticipation	0.352
closure	закриване	anticipation	0.352
store	магазин	anticipation	0.352
localize	локализирам	anticipation	0.352
cramp	схващане	anticipation	0.352
daily	ежедневно	anticipation	0.352
kindred	род	anticipation	0.352
farm	ферма	anticipation	0.352
edition	издание	anticipation	0.352
consecration	освещаване	anticipation	0.352
archaeology	археология	anticipation	0.344
mobile	Подвижен	anticipation	0.344
errand	поръчение	anticipation	0.344
wireless	безжична	anticipation	0.344
mutable	непостоянен	anticipation	0.344
meditate	медитирам	anticipation	0.344
stripped	лишен	anticipation	0.344
lessen	намали	anticipation	0.336
unaccountable	непонятен	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	братски	anticipation	0.336
buddy	приятелю	anticipation	0.336
unbeaten	неизследван	anticipation	0.336
germ	зародиш	anticipation	0.336
dove	гълъб	anticipation	0.328
digress	отклонявам се	anticipation	0.328
ribbon	панделка	anticipation	0.328
olfactory	обонятелен	anticipation	0.328
patient	търпелив	anticipation	0.328
council	съвет	anticipation	0.328
possess	притежавам	anticipation	0.328
secular	светски	anticipation	0.328
chastity	целомъдрие	anticipation	0.328
disposed	разположени	anticipation	0.320
regularity	редовност	anticipation	0.320
mediator	посредник	anticipation	0.320
scrutinize	упражнява контрол	anticipation	0.320
fancy	фантазия	anticipation	0.320
immature	незрял	anticipation	0.320
infanticide	детеубиец	anticipation	0.320
heft	тежина	anticipation	0.320
preservative	консервиращ	anticipation	0.320
paddle	гребло	anticipation	0.320
cove	заливче	anticipation	0.320
denying	отричане	anticipation	0.312
bugle	ловджийски рог	anticipation	0.312
unpublished	непубликуван	anticipation	0.312
analyst	аналитик	anticipation	0.312
grim	мрачен	anticipation	0.312
church	църква	anticipation	0.312
priesthood	духовенство	anticipation	0.305
mill	мелница	anticipation	0.305
judicial	съдебен	anticipation	0.305
broadside	общи нападки	anticipation	0.305
tributary	приток	anticipation	0.297
cap	шапка с козирка	anticipation	0.297
thermocouple	термодвойка	anticipation	0.297
dismay	тревога	anticipation	0.297
instructor	инструктор	anticipation	0.297
saliva	слюнка	anticipation	0.297
exhaustion	изтощение	anticipation	0.297
bruise	натъртване	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	бездомен	anticipation	0.289
visor	козирка	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	мрежа	anticipation	0.289
shackle	скоба	anticipation	0.289
addresses	адреси	anticipation	0.289
noncompliance	несъответствие	anticipation	0.289
cataract	катаракт	anticipation	0.289
skewed	изкривена	anticipation	0.281
astronomer	астроном	anticipation	0.281
neighbor	съсед	anticipation	0.281
holiness	светост	anticipation	0.273
devil	дявол	anticipation	0.273
cream	сметана	anticipation	0.273
picket	стачен пост	anticipation	0.273
latent	латентен	anticipation	0.273
immaturity	недоразвитост	anticipation	0.273
sentence	изречение	anticipation	0.273
neighborhood	квартал	anticipation	0.266
morals	морал	anticipation	0.266
lull	затишие	anticipation	0.266
habitual	обичаен	anticipation	0.266
weight	тегло	anticipation	0.258
bye	чао	anticipation	0.258
forearm	ръка	anticipation	0.250
clown	клоун	anticipation	0.250
organ	орган	anticipation	0.250
quote	цитат	anticipation	0.242
commonplace	банален	anticipation	0.242
dictatorship	диктатура	anticipation	0.234
board	борд	anticipation	0.234
white	бял	anticipation	0.234
treadmill	неблагодарна работа	anticipation	0.234
rail	релса	anticipation	0.234
sundial	слънчев часовник	anticipation	0.227
tree	дърво	anticipation	0.227
paralysis	парализа	anticipation	0.211
worm	червей	anticipation	0.203
organization	организация	anticipation	0.203
cement	цимент	anticipation	0.203
lagging	изоставащ	anticipation	0.180
neutral	неутрален	anticipation	0.148
cannibalism	човекоядство	disgust	0.953
mutilation	осакатяване	disgust	0.930
molestation	безпокоене	disgust	0.914
incest	кръвосмешение	disgust	0.914
gonorrhea	гонорея	disgust	0.906
rape	изнасилване	disgust	0.906
cannibal	канибал	disgust	0.898
rot	гниене	disgust	0.891
corpse	труп	disgust	0.883
massacre	клане	disgust	0.883
excrement	екскременти	disgust	0.883
slaughter	клане	disgust	0.875
barf	Barf	disgust	0.875
slaughterhouse	кланица	disgust	0.867
rancid	гранясал	disgust	0.859
sewerage	канализация	disgust	0.859
incestuous	който е извършил кръвосмешение	disgust	0.859
filth	мръсотия	disgust	0.859
bigot	фанатик	disgust	0.859
infestation	заразяване	disgust	0.852
plague	чума	disgust	0.852
bloodthirsty	кръвожаден	disgust	0.852
holocaust	унищожение	disgust	0.852
rotting	гниене	disgust	0.844
maggot	личинка	disgust	0.844
feces	изпражнения	disgust	0.844
fecal	фекална	disgust	0.844
murder	убийство	disgust	0.839
infanticide	детеубиец	disgust	0.836
homicide	убийство	disgust	0.836
asshole	задник	disgust	0.836
enslaved	поробен	disgust	0.836
gore	кръв	disgust	0.828
perverted	извратен	disgust	0.828
torture	изтезание	disgust	0.828
slaughtering	клане	disgust	0.828
excretion	отделяне	disgust	0.828
contaminate	замърсявам	disgust	0.821
murderer	убиец	disgust	0.820
gory	кървав	disgust	0.820
repugnant	неприятен	disgust	0.820
desecration	оскверняване	disgust	0.820
grotesque	гротеска	disgust	0.820
revolting	отвратителен	disgust	0.820
diarrhoea	диария	disgust	0.820
manure	тор	disgust	0.820
terrorist	терорист	disgust	0.820
shit	лайна	disgust	0.820
pervert	вероотстъпник	disgust	0.820
slavery	робство	disgust	0.812
faeces	изпражнения	disgust	0.812
sewer	клоака	disgust	0.812
vomit	бълвоч	disgust	0.812
manslaughter	непредумишлено убийство	disgust	0.812
dismemberment	осакатяване	disgust	0.812
cadaver	труп	disgust	0.812
hemorrhage	кръвоизлив	disgust	0.805
repulsive	отблъскващ	disgust	0.805
perverse	извратен	disgust	0.805
filthy	мръсен	disgust	0.797
sewage	канализация	disgust	0.797
depravity	поквара	disgust	0.797
diseased	болен	disgust	0.797
carcass	каркас	disgust	0.795
decompose	разлагам	disgust	0.789
vermin	паразити	disgust	0.789
puke	повръщане	disgust	0.789
parasite	паразит	disgust	0.789
horrific	ужасяващ	disgust	0.789
gruesome	страшен	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	осакатени	disgust	0.789
murderous	убийствен	disgust	0.789
decayed	разложен	disgust	0.789
herpes	херпес	disgust	0.789
slime	слуз	disgust	0.781
flatulence	метеоризъм	disgust	0.781
monstrosity	чудовище	disgust	0.781
carnage	сеч	disgust	0.781
pestilence	мор	disgust	0.781
malaria	малария	disgust	0.781
crap	глупости	disgust	0.781
toxic	токсичен	disgust	0.773
loathsome	гнусен	disgust	0.773
insidious	коварен	disgust	0.773
leprosy	проказа	disgust	0.773
morgue	морга	disgust	0.773
pus	гной	disgust	0.773
herpesvirus	херпесен вирус	disgust	0.773
whore	курва	disgust	0.766
cruel	жесток	disgust	0.766
repugnance	отвращение	disgust	0.766
revulsion	погнуса	disgust	0.766
xenophobia	ксенофобия	disgust	0.766
regurgitation	регургитация	disgust	0.766
anthrax	антракс	disgust	0.766
lynch	линчуване	disgust	0.766
dissection	дисекция	disgust	0.759
canker	гангрена	disgust	0.758
cruelty	жестокост	disgust	0.758
perversion	извращение	disgust	0.758
evil	зло	disgust	0.758
slum	беден квартал	disgust	0.758
infectious	инфекциозен	disgust	0.758
mucous	слизестата	disgust	0.758
phlegm	храчки	disgust	0.758
leeches	пиявици	disgust	0.750
decomposition	разлагане	disgust	0.750
sinister	зловещ	disgust	0.750
corrupting	корумпиране	disgust	0.750
demon	демон	disgust	0.742
stinking	вонящ	disgust	0.742
septic	септичен	disgust	0.742
deranged	умопомрачен	disgust	0.742
bile	жлъчка	disgust	0.742
soiled	замърсен	disgust	0.742
mucus	слуз	disgust	0.742
abhorrence	отвращение	disgust	0.742
abomination	мерзост	disgust	0.742
sickening	отвратителен	disgust	0.742
demonic	дяволски	disgust	0.742
foul	мръсен	disgust	0.734
obese	дебел	disgust	0.734
sicken	заболявам	disgust	0.734
degeneracy	упадък	disgust	0.734
crucifixion	разпъване на кръст	disgust	0.734
despicable	презрян	disgust	0.734
cancer	рак	disgust	0.734
atrocity	зверство	disgust	0.734
terrorism	тероризъм	disgust	0.734
dirty	мръсен	disgust	0.727
dysentery	дизентерия	disgust	0.727
adultery	изневяра	disgust	0.727
contamination	замърсяване	disgust	0.727
bacterium	бактерия	disgust	0.727
diabolical	дяволски	disgust	0.727
morbidity	заболеваемост	disgust	0.727
grisly	мрачен	disgust	0.727
repulsion	отблъскване	disgust	0.727
enema	клизма	disgust	0.727
contagion	зараза	disgust	0.719
disfigured	обезобразен	disgust	0.719
muck	мръсотия	disgust	0.719
lewd	похотлив	disgust	0.719
garbage	боклук	disgust	0.719
autopsy	аутопсия	disgust	0.719
bowels	черва	disgust	0.719
gross	брутен	disgust	0.719
vulgar	вулгарен	disgust	0.719
barbaric	варварски	disgust	0.719
disgust	отвращение	disgust	0.719
vicious	порочен	disgust	0.719
entrails	вътрешности	disgust	0.719
deterioration	влошаване	disgust	0.719
pungent	остър	disgust	0.719
bloodshed	кръвопролитие	disgust	0.714
violent	насилствен	disgust	0.711
tyrant	тиран	disgust	0.711
poisoned	отровен	disgust	0.711
pollute	замърсявам	disgust	0.711
wretched	нещастен	disgust	0.711
nausea	гадене	disgust	0.711
mortification	усмиряване	disgust	0.711
gag	не мога да понасям	disgust	0.711
vulgarity	вулгарност	disgust	0.703
disgusting	отвратителен	disgust	0.703
grope	опипвам	disgust	0.703
slut	уличница	disgust	0.703
poisoning	отравяне	disgust	0.703
depraved	покварен	disgust	0.703
noxious	вреден	disgust	0.703
porn	порнография	disgust	0.703
nasty	гаден	disgust	0.703
slimy	мазен	disgust	0.703
despotism	деспотство	disgust	0.703
nauseate	повръща ми се	disgust	0.703
secretion	секреция	disgust	0.703
constipation	запек	disgust	0.703
hateful	омразен	disgust	0.703
grime	мръсотия	disgust	0.703
measles	дребна шарка	disgust	0.696
contagious	заразен	disgust	0.695
hellish	адски	disgust	0.695
waste	отпадъци	disgust	0.695
suicidal	самоубийствен	disgust	0.695
abuse	злоупотреба	disgust	0.695
hate	мразя	disgust	0.695
wretch	нещастник	disgust	0.695
intestinal	чревен	disgust	0.695
wart	брадавица	disgust	0.695
obesity	прекалена пълнота	disgust	0.695
scum	измет	disgust	0.695
contaminated	заразен	disgust	0.688
disease	болест	disgust	0.688
rabid	бесен	disgust	0.688
ooze	тиня	disgust	0.688
treason	измяна	disgust	0.688
heartworm	дирофилариоза	disgust	0.688
smut	цинизми	disgust	0.688
cholera	холера	disgust	0.680
deformed	деформиран	disgust	0.680
detest	мразя	disgust	0.680
bestial	животински	disgust	0.680
sickness	болест	disgust	0.680
antichrist	антихрист	disgust	0.680
abhorrent	отблъскващ	disgust	0.680
soulless	бездушен	disgust	0.680
freakish	капризен	disgust	0.680
grimy	мръсен	disgust	0.680
hatred	ненавист	disgust	0.680
pollution	замърсяване	disgust	0.680
germ	зародиш	disgust	0.680
abominate	ненавиждам	disgust	0.680
hell	ад	disgust	0.680
dilapidated	разнебитен	disgust	0.672
dictatorship	диктатура	disgust	0.672
inhuman	нечовешки	disgust	0.672
greasy	мазен	disgust	0.672
hideous	отвратителен	disgust	0.672
loathful	нежелаещ	disgust	0.672
obscene	неприличен	disgust	0.672
loathing	ненавист	disgust	0.672
cess	данък	disgust	0.670
devil	дявол	disgust	0.664
heretic	еретик	disgust	0.664
nauseous	гаден	disgust	0.664
abominable	отвратителен	disgust	0.664
deformity	уродливост	disgust	0.664
deadly	смъртоносен	disgust	0.664
swine	свине	disgust	0.664
discrimination	дискриминация	disgust	0.664
masochism	мазохизъм	disgust	0.664
poisonous	отровен	disgust	0.656
prejudiced	предубеден	disgust	0.656
bacteria	бактерии	disgust	0.656
death	смърт	disgust	0.656
poison	отрова	disgust	0.656
trash	боклук	disgust	0.656
abortion	аборт	disgust	0.656
corruption	корупция	disgust	0.656
victimized	жертва	disgust	0.656
oppression	потисничество	disgust	0.656
goo	слуз	disgust	0.656
latrines	тоалетни	disgust	0.656
horror	ужас	disgust	0.656
horrible	ужасен	disgust	0.656
nefarious	престъпен	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	отмъстителен	disgust	0.648
outhouse	клозет в двора	disgust	0.648
horrid	ужасен	disgust	0.648
detestation	отвращение	disgust	0.648
sludge	утайка	disgust	0.648
ugly	грозен	disgust	0.648
trashy	ненужен	disgust	0.648
bitch	кучка	disgust	0.648
immoral	неморален	disgust	0.648
malfeasance	злоупотреби	disgust	0.641
spew	сипя	disgust	0.641
pimple	пъпка	disgust	0.641
indecency	неприличие	disgust	0.641
unsightly	грозен	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	долен	disgust	0.641
cystic	кистозна	disgust	0.641
horrifying	ужасяващо	disgust	0.641
derogatory	пренебрежителен	disgust	0.641
laxative	разслабително	disgust	0.641
criminality	престъпност	disgust	0.641
oppressive	потиснически	disgust	0.633
sinful	грешен	disgust	0.633
bigoted	фанатичен	disgust	0.633
doomsday	страшният съд	disgust	0.633
prostitution	проституция	disgust	0.633
ulcer	язва	disgust	0.633
secrete	скривам	disgust	0.633
perpetrator	извършител	disgust	0.633
rat	плъх	disgust	0.633
queasy	гнуслив	disgust	0.633
mildew	плесен	disgust	0.633
dastardly	подъл	disgust	0.625
disgraceful	позорен	disgust	0.625
ghastly	ужасно	disgust	0.625
persecution	преследване	disgust	0.625
devilish	дяволски	disgust	0.625
degrading	унизителен	disgust	0.625
obscenity	сквернословие	disgust	0.625
fungus	гъба	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	лакомия	disgust	0.625
stools	изпражнения	disgust	0.625
suffering	страдание	disgust	0.625
contemptible	достоен за презрение	disgust	0.625
cuckold	рогоносец	disgust	0.625
bloated	подут	disgust	0.625
aghast	втрещен	disgust	0.625
betrayal	предателство	disgust	0.617
guillotine	гилотина	disgust	0.617
infect	заразявам	disgust	0.617
spoil	развалям	disgust	0.617
tetanus	тетанус	disgust	0.617
fat	дебел	disgust	0.617
louse	въшка	disgust	0.617
malicious	злонамерен	disgust	0.617
polygamy	полигамия	disgust	0.617
crusty	свадлив	disgust	0.617
atrocious	брутален	disgust	0.617
deceit	измама	disgust	0.617
termite	термит	disgust	0.617
loathe	ненавиждам	disgust	0.617
wench	момиче	disgust	0.617
dying	умиращ	disgust	0.617
sickly	болнав	disgust	0.617
diaper	пелена	disgust	0.617
strangle	задушавам	disgust	0.617
drool	лигавене	disgust	0.609
slander	клевета	disgust	0.609
abhor	ненавиждам	disgust	0.609
venomous	отровен	disgust	0.609
brothel	публичен дом	disgust	0.609
ghetto	гето	disgust	0.609
violently	насилствено	disgust	0.609
hostile	враждебен	disgust	0.609
sabotage	саботаж	disgust	0.609
deform	разкривявам	disgust	0.609
bleeding	кървене	disgust	0.609
unwashed	мръсен	disgust	0.602
