word	Yiddish-yi	emotion	emotion-intensity-score
hankering	כייווינג	anticipation	0.539
sensual	sensual	anticipation	0.539
blessings	blessings	anticipation	0.539
ballot	שטימע	anticipation	0.539
grandchildren	גראַנדטשילדראַן	anticipation	0.539
entertainment	פאַרווייַלונג	anticipation	0.539
vindication	vindication	anticipation	0.539
worrying	זאָרג	anticipation	0.539
tempest	tempest	anticipation	0.539
inquiry	inquiry	anticipation	0.539
merge	צונויפגיסן	anticipation	0.539
exceed	יקסיד	anticipation	0.539
bounty	ברייטהאַרציקייַט	anticipation	0.539
glad	צופרידן	anticipation	0.536
magnificent	פּרעכטיק	anticipation	0.531
feat	קונץ	anticipation	0.531
stealthy	סטעלטי	anticipation	0.531
cheer	אַפּלאָדירן	anticipation	0.531
spirits	spirits	anticipation	0.531
visitor	גאַסט	anticipation	0.531
appeal	אַפּעלירן	anticipation	0.531
forming	פאָרמינג	anticipation	0.531
hurried	hurried	anticipation	0.531
responsive	responsive	anticipation	0.531
virginity	ווירגין	anticipation	0.531
deliverance	באַפרייַונג	anticipation	0.531
betrothed	פאַרקנאַסט	anticipation	0.531
overthrow	overthrow	anticipation	0.531
harbinger	harbinger	anticipation	0.531
raving	ראַווינג	anticipation	0.531
celestial	celestial	anticipation	0.531
dread	שרעק	anticipation	0.531
germination	דזשערמאַניישאַן	anticipation	0.523
preparatory	פּרעפּאַראַטאָרי	anticipation	0.523
pleasant	אָנגענעם	anticipation	0.523
watch	וואַך	anticipation	0.523
prophet	נביא	anticipation	0.523
prognostic	prognostic	anticipation	0.523
haste	יאָגעניש	anticipation	0.523
planning	פּלאַנירונג	anticipation	0.523
importance	וויכטיקייט	anticipation	0.523
radiance	גלאַנץ	anticipation	0.523
prevail	prevail	anticipation	0.523
cheery	cheery	anticipation	0.523
competition	פאַרמעסט	anticipation	0.523
ultimately	לעסאָף	anticipation	0.523
revive	revive	anticipation	0.523
beaming	beaming	anticipation	0.523
wait	וואַרטן	anticipation	0.523
child	קינד	anticipation	0.523
notification	אָנזאָג	anticipation	0.523
hunter	הונטער	anticipation	0.523
explosive	עקספּלאָסיווע	anticipation	0.523
endanger	ענדיינדזשער	anticipation	0.516
time	צייַט	anticipation	0.516
recreation	פאַרווייַלונג	anticipation	0.516
renovation	renovation	anticipation	0.516
precious	טייַער	anticipation	0.516
begun	אנגעהויבן	anticipation	0.516
loom	לאָם	anticipation	0.516
compensate	פאַרגיטיקן	anticipation	0.516
treat	מייַכל	anticipation	0.516
uncontrollable	ונקאָנטראָללאַבלע	anticipation	0.516
present	פאָרשטעלן	anticipation	0.516
salary	געצאָלט	anticipation	0.516
celebrity	רום	anticipation	0.516
owing	אָוינג	anticipation	0.516
chocolate	שאָקאָלאַד	anticipation	0.516
caution	אָפּגעהיט	anticipation	0.516
fermentation	פערמאַנטיישאַן	anticipation	0.516
sensuality	סענסואַליטי	anticipation	0.516
wilderness	מדבר	anticipation	0.508
signify	באַטראַכטן	anticipation	0.508
transitional	טראַנסיטיאָנאַל	anticipation	0.508
intermission	ינטערמידייט	anticipation	0.508
contemplation	contemplation	anticipation	0.508
vigilance	vigilance	anticipation	0.508
commemoration	commemoration	anticipation	0.508
practise	פיר	anticipation	0.508
cue	קיו	anticipation	0.508
infant	פּיצל קינד	anticipation	0.508
dreadful	שרעקלעך	anticipation	0.508
perfection	פּערפעקשאַן	anticipation	0.508
elevation	elevation	anticipation	0.508
prerequisite	פּרירעקוואַזאַט	anticipation	0.508
cultivate	האָדעווען	anticipation	0.508
horizon	horizon	anticipation	0.508
develop	אַנטוויקלען	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	שווימען	anticipation	0.500
attendance	attendance	anticipation	0.500
nascent	nascent	anticipation	0.500
favorable	גינציק	anticipation	0.500
peril	געפאַר	anticipation	0.500
income	income	anticipation	0.500
ardent	פאַרברענט	anticipation	0.500
commemorate	commemorate	anticipation	0.500
doomsday	דאָאָמסדייַ	anticipation	0.500
reconciliation	ויסגלייַך	anticipation	0.500
utopian	utopian	anticipation	0.500
romantic	ראָמאַנטיש	anticipation	0.500
unbridled	unbridled	anticipation	0.500
sunny	sunny	anticipation	0.500
uphill	uphill	anticipation	0.500
intuitively	ינטויטיוולי	anticipation	0.500
depart	אַוועקגיין	anticipation	0.500
eventuality	eventuality	anticipation	0.500
puppy	הינטעלע	anticipation	0.500
zeal	ברען	anticipation	0.500
sneaking	סנייקינג	anticipation	0.500
ready	גרייט	anticipation	0.500
advocacy	אַדוואָקאַסי	anticipation	0.500
airport	אַעראָפּאָרט	anticipation	0.500
litigate	ליטאַגייט	anticipation	0.500
blindfold	blindfold	anticipation	0.500
undisclosed	undisclosed	anticipation	0.500
young	יונג	anticipation	0.500
horoscope	האָראָסקאָפּע	anticipation	0.500
invocation	invocation	anticipation	0.500
calculation	כעזשבן	anticipation	0.500
hero	העלד	anticipation	0.500
court	הויף	anticipation	0.492
repay	צוריקצאָלן	anticipation	0.492
improvise	ימפּרווייז	anticipation	0.492
parole	parole	anticipation	0.492
worry	זאָרג	anticipation	0.492
inauguration	inauguration	anticipation	0.492
gaping	גאַפּינג	anticipation	0.492
youth	יוגנט	anticipation	0.492
bless	בענטשן	anticipation	0.492
defense	פאַרטיידיקונג	anticipation	0.492
heyday	heyday	anticipation	0.492
consequent	קאָנסעקווענט	anticipation	0.492
proceeding	פּראַסידזשינג	anticipation	0.492
eventual	eventual	anticipation	0.492
perspective	פּערספּעקטיוו	anticipation	0.492
restorative	רעסטאָראַטיווע	anticipation	0.492
undertaking	אונטערנעמונג	anticipation	0.492
highest	העכסטן	anticipation	0.491
duel	דועל	anticipation	0.484
unexplained	unexplained	anticipation	0.484
tremor	טרעמער	anticipation	0.484
sharpen	שאַרפּען	anticipation	0.484
generosity	generosity	anticipation	0.484
voluptuous	וואָלופּטואָוס	anticipation	0.484
shortly	באַלד	anticipation	0.484
vow	וועד	anticipation	0.484
contagion	contagion	anticipation	0.484
letter	בריוו	anticipation	0.484
happen	happen	anticipation	0.484
threaten	אָנשטעקן	anticipation	0.484
conjure	קאָנדזשורע	anticipation	0.484
sparkle	פינקלען	anticipation	0.484
engulf	ינגאלף	anticipation	0.484
god	גאָט	anticipation	0.484
correspondence	מיטשטימונג	anticipation	0.484
auspicious	גילטיק	anticipation	0.484
princely	princely	anticipation	0.484
adore	adore	anticipation	0.477
enroll	פאַרשרייַבן	anticipation	0.477
determinate	באַשטימען	anticipation	0.477
predispose	פּרעדיספּאָסיס	anticipation	0.477
clue	קלו	anticipation	0.477
onset	אָנסעט	anticipation	0.477
powerful	שטאַרק	anticipation	0.477
glorify	באַווייַזן	anticipation	0.477
glow	שייַנען	anticipation	0.477
arbitration	אַרביטריישאַן	anticipation	0.477
torture	פּייַניקונג	anticipation	0.477
gravitate	gravitate	anticipation	0.477
cherish	cherish	anticipation	0.477
contemplate	באַטראַכטן	anticipation	0.477
submit	submit	anticipation	0.477
perilous	פּעראַלאַס	anticipation	0.477
unification	יוניקאַציע	anticipation	0.477
score	score	anticipation	0.477
medal	מעדאַל	anticipation	0.477
glide	גליטשן	anticipation	0.477
recipient	באַקומער	anticipation	0.477
accompaniment	accompaniment	anticipation	0.477
praiseworthy	praiseworthy	anticipation	0.473
providing	פּראַוויידינג	anticipation	0.469
motion	באַוועגונג	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	אָפּגעהיט	anticipation	0.469
cash	געלט	anticipation	0.469
precursor	פּריקערסער	anticipation	0.469
opera	opera	anticipation	0.469
elite	עליט	anticipation	0.469
pry	ויסקוקן	anticipation	0.469
hire	hire	anticipation	0.469
sweets	זיסוואַרג	anticipation	0.469
star	star	anticipation	0.469
unsurpassed	אַנסערפּאַסט	anticipation	0.469
successful	מצליח	anticipation	0.469
unknown	unknown	anticipation	0.469
immediately	immediately	anticipation	0.469
starry	starry	anticipation	0.469
production	פּראָדוקציע	anticipation	0.469
football	פוטבאָל	anticipation	0.469
completion	פאַרענדיקן	anticipation	0.469
scare	יבערשרעקן	anticipation	0.469
invoke	invoke	anticipation	0.469
shaky	שאַקי	anticipation	0.469
dawn	פאַרטאָג	anticipation	0.469
creeping	קריפּינג	anticipation	0.469
cheerfulness	פריילעכקייט	anticipation	0.461
soundness	געזונט	anticipation	0.461
mail	mail	anticipation	0.461
draft	פּלאַן	anticipation	0.461
preliminary	פּרילימאַנערי	anticipation	0.461
friendly	פרייַנדלעך	anticipation	0.461
commemorative	commemorative	anticipation	0.461
extricate	אויסשטרעקן	anticipation	0.461
alive	לעבעדיק	anticipation	0.461
untold	untold	anticipation	0.461
overture	אָוווערטשער	anticipation	0.461
excel	excel	anticipation	0.461
plight	plight	anticipation	0.461
synchronize	סינגקראַנייז	anticipation	0.461
punt	punt	anticipation	0.461
sanctuary	sanctuary	anticipation	0.461
brilliant	בריליאַנט	anticipation	0.461
pay	באַצאָלן	anticipation	0.461
shining	שיינינג	anticipation	0.461
regatta	רעגאַטטאַ	anticipation	0.461
testament	טעסטאַמענט	anticipation	0.461
jeopardy	סאַקאָנע	anticipation	0.461
perpetuity	perpetuity	anticipation	0.453
elegance	עלעגאַנסע	anticipation	0.453
career	קאַריערע	anticipation	0.453
basketball	קוישבאָל	anticipation	0.453
intimately	intimately	anticipation	0.453
renovate	renovate	anticipation	0.453
supremacy	supremacy	anticipation	0.453
infinity	ומענדיקייַט	anticipation	0.453
unexpected	אומגעריכט	anticipation	0.453
flinch	פלינק	anticipation	0.453
complement	דערגאַנג	anticipation	0.453
prologue	פּראָלאָג	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	פאַרהיטונג	anticipation	0.453
improve	פֿאַרבעסערן	anticipation	0.453
sunset	sunset	anticipation	0.453
inaugural	ינאָגיעראַל	anticipation	0.453
rehabilitation	ריכאַבילאַטיישאַן	anticipation	0.453
fitting	פּאַסן	anticipation	0.445
surround	אַרומרינגלען	anticipation	0.445
share	ייַנטיילן	anticipation	0.445
epidemic	עפּידעמיע	anticipation	0.445
sweet	זיס	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	concealment	anticipation	0.445
confidence	בטחון	anticipation	0.445
perfect	perfect	anticipation	0.445
sun	זון	anticipation	0.445
veracity	veracity	anticipation	0.445
volunteer	פרייַוויליקער	anticipation	0.445
conjecture	קאָנדזשעקטורע	anticipation	0.445
medical	מעדיציניש	anticipation	0.438
prepared	צוגעגרייט	anticipation	0.438
superstitious	superstitious	anticipation	0.438
reconstruction	ריקאַנסטראַקשאַן	anticipation	0.438
tickle	קיצלען	anticipation	0.438
faith	אמונה	anticipation	0.438
passenger	פּאַסאַזשיר	anticipation	0.438
saint	saint	anticipation	0.438
respect	רעספּעקט	anticipation	0.438
rabid	ראַביד	anticipation	0.438
reconstruct	רעקאָנסטרוירן	anticipation	0.438
recombination	רעקאָמבינאַטיאָן	anticipation	0.438
devout	devout	anticipation	0.438
goodness	גוטסקייט	anticipation	0.438
angel	מלאך	anticipation	0.438
ferment	ferment	anticipation	0.438
plea	plea	anticipation	0.438
aloha	ערשטער	anticipation	0.438
serial	סיריאַל	anticipation	0.438
conservation	קאַנסערוויישאַן	anticipation	0.438
serenity	serenity	anticipation	0.430
tabulate	טאַבולירן	anticipation	0.430
install	ינסטאַלירן	anticipation	0.430
labyrinth	לאַבירינטה	anticipation	0.430
venerable	venerable	anticipation	0.430
perpetuate	פּערפּעטשאַווייט	anticipation	0.430
strategist	סטראַטעגיסט	anticipation	0.430
unverified	ונוועריפיעד	anticipation	0.430
tribunal	tribunal	anticipation	0.430
charitable	כיינעוודיק	anticipation	0.430
luscious	געשמאַק	anticipation	0.430
spa	ספּאַ	anticipation	0.430
peace	שלום	anticipation	0.430
clap	קלאַפּ	anticipation	0.430
conspirator	קאָנספּיראַטאָר	anticipation	0.422
forestall	פאָרסטאָל	anticipation	0.422
patience	געדולד	anticipation	0.422
oasis	אָאַזיס	anticipation	0.422
grin	שמייכלען	anticipation	0.422
revere	ויסמיידן	anticipation	0.422
worship	worship	anticipation	0.422
vista	וויסטאַ	anticipation	0.422
laughter	געלעכטער	anticipation	0.422
volatility	וואַלאַטילאַטי	anticipation	0.422
adrift	שעדיקן	anticipation	0.422
candid	עפנטלעך	anticipation	0.422
edification	עדיפיקאַטיאָן	anticipation	0.422
unresolved	ונרעסאָלוועד	anticipation	0.422
peaceful	פרידלעך	anticipation	0.422
recognizable	recognizable	anticipation	0.422
calls	רופט	anticipation	0.414
weigh	weigh	anticipation	0.414
probation	פּראָבאַטיאָן	anticipation	0.414
proficiency	דערפאַרונג	anticipation	0.414
morn	מאָרגן	anticipation	0.414
craps	craps	anticipation	0.414
detainee	detainee	anticipation	0.414
mediate	mediate	anticipation	0.414
continue	פאָרזעצן	anticipation	0.414
astrologer	אַסטראַלאַדזשער	anticipation	0.414
punctual	אויף צייט	anticipation	0.414
ordination	אָרדאַניישאַן	anticipation	0.414
pretty	שיין	anticipation	0.414
thought	געדאַנק	anticipation	0.414
grant	גרענט	anticipation	0.414
withstand	וויטסטאַנד	anticipation	0.414
frisky	פריסקי	anticipation	0.414
ongoing	אָנגאָינג	anticipation	0.414
sing	זינגען	anticipation	0.411
long	לאַנג	anticipation	0.406
confession	קאָנפעסיע	anticipation	0.406
headlight	כעדליגהט	anticipation	0.406
prophylactic	פּראַמאָליקלי	anticipation	0.406
mother	מוטער	anticipation	0.406
debenture	debenture	anticipation	0.406
wizard	מאַזעק	anticipation	0.406
university	אוניווערסיטעט	anticipation	0.406
proud	proud	anticipation	0.406
midwife	כידעש	anticipation	0.406
banquet	באַנקעט	anticipation	0.406
continuation	continuation	anticipation	0.406
navigable	navigable	anticipation	0.406
punished	באשטראפט	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	טרייסט	anticipation	0.406
opponent	קעגנער	anticipation	0.406
subscribe	אַבאָנירן	anticipation	0.406
outdo	outdo	anticipation	0.406
nurture	nurture	anticipation	0.406
twinkle	twinkle	anticipation	0.406
deal	האַנדל	anticipation	0.402
efficient	עפעקטיוו	anticipation	0.398
representing	רעפּריזענטינג	anticipation	0.398
simmer	מליען	anticipation	0.398
symphony	סימפאָניע	anticipation	0.398
judiciary	דזשודישיערי	anticipation	0.398
obliging	אַבלאַגנינג	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	וויידאַל	anticipation	0.398
death	טויט	anticipation	0.398
distracting	דיסטראַקטינג	anticipation	0.398
mortification	מאָרטיפיקאַטיאָן	anticipation	0.398
balm	באַלזאַם	anticipation	0.398
guillotine	גויללאָטינע	anticipation	0.398
top	אויבן	anticipation	0.398
lettered	lettered	anticipation	0.398
reliance	היילונג	anticipation	0.398
poke	poke	anticipation	0.391
unfulfilled	unfulfilled	anticipation	0.391
assurance	פארזיכערונג	anticipation	0.391
condemnation	condemnation	anticipation	0.391
undoubted	undoubted	anticipation	0.391
diplomacy	דיפּלאָומאַסי	anticipation	0.391
familiarity	פאַמיליעראַטי	anticipation	0.391
antidote	אַנטידאָט	anticipation	0.391
chuckle	chuckle	anticipation	0.391
objective	אָביעקטיוו	anticipation	0.391
maternal	מוטער	anticipation	0.391
abeyance	abeyance	anticipation	0.391
art	קונסט	anticipation	0.391
linger	לינגער	anticipation	0.391
trust	צוטרוי	anticipation	0.391
depraved	פאַרדאָרבן	anticipation	0.391
sanctify	הייליקן	anticipation	0.391
inoculation	ינאָקולאַטיאָן	anticipation	0.384
chant	געזאַנג	anticipation	0.383
banger	banger	anticipation	0.383
playground	שפּילפּלאַץ	anticipation	0.383
failing	פיילינג	anticipation	0.383
ship	ship	anticipation	0.383
hymn	הימן	anticipation	0.383
simplify	פאַרפּאָשעטערן	anticipation	0.383
ram	ראַם	anticipation	0.383
labor	אַרבעט	anticipation	0.383
discretion	דיסקרעשאַן	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	good	anticipation	0.383
scientist	געלערנטער	anticipation	0.383
undecided	ניט באַשלאָסן	anticipation	0.383
humanitarian	humanitarian	anticipation	0.383
depend	אָפענגען	anticipation	0.383
dutiful	דוטיפיק	anticipation	0.383
clock	זייגער	anticipation	0.375
sterling	סטערלינג	anticipation	0.375
mountain	באַרג	anticipation	0.375
savor	גוסטירן	anticipation	0.375
recurrent	ריקעראַנט	anticipation	0.375
interim	interim	anticipation	0.375
navigator	נאַוויגאַטאָר	anticipation	0.375
gradual	gradual	anticipation	0.375
interminable	ינערמאַנאַבאַל	anticipation	0.375
track	שפּור	anticipation	0.375
public	עפנטלעך	anticipation	0.375
cradle	cradle	anticipation	0.375
concealed	hidden	anticipation	0.367
lesson	לעקציע	anticipation	0.367
instructions	ינסטראַקשאַנז	anticipation	0.367
shiver	שיווער	anticipation	0.367
musical	מוזיקאַליש	anticipation	0.367
towering	towering	anticipation	0.367
whim	קוים	anticipation	0.367
spear	spear	anticipation	0.367
convince	יבערצייַגן	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	בלייַבן	anticipation	0.367
biennial	biennial	anticipation	0.367
theology	טהעאָלאָגי	anticipation	0.359
offset	אָפסעט	anticipation	0.359
atone	atone	anticipation	0.359
timidity	טיפקייַט	anticipation	0.359
theory	טעאָריע	anticipation	0.359
undying	undying	anticipation	0.359
plump	פליישיק	anticipation	0.359
audience	וילעם	anticipation	0.357
nobility	אדרעס	anticipation	0.352
paragon	פּאַראַגראַף	anticipation	0.352
dietary	דייאַטערי	anticipation	0.352
closure	קלאָוזשער	anticipation	0.352
store	קראָם	anticipation	0.352
localize	localize	anticipation	0.352
cramp	קראַמפּ	anticipation	0.352
daily	טעגלעך	anticipation	0.352
kindred	קרוב	anticipation	0.352
farm	פאַרם	anticipation	0.352
edition	edition	anticipation	0.352
consecration	קאָנסעקראַטיאָן	anticipation	0.352
archaeology	אַרטשאַעאָלאָגי	anticipation	0.344
mobile	רירעוודיק	anticipation	0.344
errand	מאַך	anticipation	0.344
wireless	wireless	anticipation	0.344
mutable	מיוטאַבאַל	anticipation	0.344
meditate	meditate	anticipation	0.344
stripped	אויסגעטוען	anticipation	0.344
lessen	לערן	anticipation	0.336
unaccountable	unaccountable	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	בראַדערלי	anticipation	0.336
buddy	באַדי	anticipation	0.336
unbeaten	אומבאַקאַנט	anticipation	0.336
germ	גערמע	anticipation	0.336
dove	טויב	anticipation	0.328
digress	צעגיין	anticipation	0.328
ribbon	בענד	anticipation	0.328
olfactory	olfactory	anticipation	0.328
patient	פּאַציענט	anticipation	0.328
council	ראַט	anticipation	0.328
possess	פאַרמאָגן	anticipation	0.328
secular	וועלטלעך	anticipation	0.328
chastity	chastity	anticipation	0.328
disposed	דיספּאָוזד	anticipation	0.320
regularity	רעגיאַלעראַטי	anticipation	0.320
mediator	מעדיאַטאָר	anticipation	0.320
scrutinize	סקרוטיניזע	anticipation	0.320
fancy	פאַנטאַזיע	anticipation	0.320
immature	ומצייַטיק	anticipation	0.320
infanticide	infanticide	anticipation	0.320
heft	heft	anticipation	0.320
preservative	פּראַזערוואַטיווע	anticipation	0.320
paddle	רודער	anticipation	0.320
cove	קאָווע	anticipation	0.320
denying	פארלייקענען	anticipation	0.312
bugle	בוגל	anticipation	0.312
unpublished	ונפּאַבלישעד	anticipation	0.312
analyst	אַנאַליסט	anticipation	0.312
grim	פאַרביסן	anticipation	0.312
church	קירך	anticipation	0.312
priesthood	כהנים	anticipation	0.305
mill	מיל	anticipation	0.305
judicial	דזשודישאַל	anticipation	0.305
broadside	בראָדסידע	anticipation	0.305
tributary	טריביאַטערי	anticipation	0.297
cap	קאַפּ	anticipation	0.297
thermocouple	טהערמאָקאָופּלע	anticipation	0.297
dismay	דיסייבאַל	anticipation	0.297
instructor	ינסטראַקטער	anticipation	0.297
saliva	שפּייַז	anticipation	0.297
exhaustion	יגזאָסטשאַן	anticipation	0.297
bruise	bruise	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	היימלאָז	anticipation	0.289
visor	visor	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	נעץ	anticipation	0.289
shackle	שאַקאַל	anticipation	0.289
addresses	ווענדט	anticipation	0.289
noncompliance	noncompliance	anticipation	0.289
cataract	קאַטאַראַקט	anticipation	0.289
skewed	סקיוזד	anticipation	0.281
astronomer	astronomer	anticipation	0.281
neighbor	חבר	anticipation	0.281
holiness	הייליקייט	anticipation	0.273
devil	טייַוול	anticipation	0.273
cream	קרעם	anticipation	0.273
picket	שטייגער	anticipation	0.273
latent	latent	anticipation	0.273
immaturity	immaturity	anticipation	0.273
sentence	זאַץ	anticipation	0.273
neighborhood	קוואַרטאַל	anticipation	0.266
morals	morals	anticipation	0.266
lull	לאַל	anticipation	0.266
habitual	געוויינטלעך	anticipation	0.266
weight	וואָג	anticipation	0.258
bye	bye	anticipation	0.258
forearm	פאָראַרם	anticipation	0.250
clown	clown	anticipation	0.250
organ	organ	anticipation	0.250
quote	ציטירן	anticipation	0.242
commonplace	געוויינטלעך	anticipation	0.242
dictatorship	דיקטאַטאָרשיפּ	anticipation	0.234
board	ברעט	anticipation	0.234
white	ווייַס	anticipation	0.234
treadmill	טרעדמיל	anticipation	0.234
rail	רעלס	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	tree	anticipation	0.227
paralysis	פּאַראַליסיס	anticipation	0.211
worm	וואָרעם	anticipation	0.203
organization	אָרגאַניזירונג	anticipation	0.203
cement	צעמענט	anticipation	0.203
lagging	lagging	anticipation	0.180
neutral	נייטראַל	anticipation	0.148
cannibalism	קאַניבאַליזאַם	disgust	0.953
mutilation	מוטילאַטיאָן	disgust	0.930
molestation	מאַלעסטיישאַן	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	שענדונג	disgust	0.906
cannibal	קאַנאַבאַל	disgust	0.898
rot	פוילן	disgust	0.891
corpse	corpse	disgust	0.883
massacre	מאַססאַקרע	disgust	0.883
excrement	excrement	disgust	0.883
slaughter	שחיטה	disgust	0.875
barf	NO TRANSLATION	disgust	0.875
slaughterhouse	שחיטה	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	קאַנאַליזאַציע	disgust	0.859
incestuous	incestuous	disgust	0.859
filth	שמוץ	disgust	0.859
bigot	bigot	disgust	0.859
infestation	ינפעסטיישאַן	disgust	0.852
plague	פּלאָגן	disgust	0.852
bloodthirsty	בלאַדטערסטי	disgust	0.852
holocaust	בראַזיליאַן	disgust	0.852
rotting	ראָטינג	disgust	0.844
maggot	maggot	disgust	0.844
feces	פיס	disgust	0.844
fecal	fecal	disgust	0.844
murder	מאָרד	disgust	0.839
infanticide	infanticide	disgust	0.836
homicide	מאָרד	disgust	0.836
asshole	asshole	disgust	0.836
enslaved	ענסלייווד	disgust	0.836
gore	גאָר	disgust	0.828
perverted	פּערווערטיד	disgust	0.828
torture	פּייַניקונג	disgust	0.828
slaughtering	שחיטה	disgust	0.828
excretion	יקסקרישאַן	disgust	0.828
contaminate	קאַנטאַמאַנייט	disgust	0.821
murderer	מערדער	disgust	0.820
gory	gory	disgust	0.820
repugnant	פאַרפוילט	disgust	0.820
desecration	דיסעקראַטיאָן	disgust	0.820
grotesque	גראָוטעסק	disgust	0.820
revolting	רעוואָלטינג	disgust	0.820
diarrhoea	שילשל	disgust	0.820
manure	מיסט	disgust	0.820
terrorist	טעראָריסט	disgust	0.820
shit	shit	disgust	0.820
pervert	פּערווערט	disgust	0.820
slavery	קנעכטשאפט	disgust	0.812
faeces	faeces	disgust	0.812
sewer	זויער	disgust	0.812
vomit	ברעכן	disgust	0.812
manslaughter	מאַנסלאווער	disgust	0.812
dismemberment	דיסמעמבערמאַנט	disgust	0.812
cadaver	קאַדאַווער	disgust	0.812
hemorrhage	hemorrhage	disgust	0.805
repulsive	ריפּאַלסיוו	disgust	0.805
perverse	perverse	disgust	0.805
filthy	שמוציק	disgust	0.797
sewage	אָפּגאַנג	disgust	0.797
depravity	דיפּראַוואַטי	disgust	0.797
diseased	קראַנק	disgust	0.797
carcass	קאַרקאַס	disgust	0.795
decompose	צעלייגט	disgust	0.789
vermin	vermin	disgust	0.789
puke	פּוקע	disgust	0.789
parasite	parasite	disgust	0.789
horrific	כאָריפיק	disgust	0.789
gruesome	גרוס	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	מיוטילאַטעד	disgust	0.789
murderous	מאָרד	disgust	0.789
decayed	פאַרפוילט	disgust	0.789
herpes	הערפּעס	disgust	0.789
slime	שלייַם	disgust	0.781
flatulence	פלאַטולענסע	disgust	0.781
monstrosity	monstrosity	disgust	0.781
carnage	carnage	disgust	0.781
pestilence	פּעסטילענעסס	disgust	0.781
malaria	מאַלאַריאַ	disgust	0.781
crap	crap	disgust	0.781
toxic	טאַקסיק	disgust	0.773
loathsome	loathsome	disgust	0.773
insidious	ינסידיאַס	disgust	0.773
leprosy	צאָרעדעס	disgust	0.773
morgue	morgue	disgust	0.773
pus	פּוס	disgust	0.773
herpesvirus	הערפּעסווירוס	disgust	0.773
whore	כאָרז	disgust	0.766
cruel	cruel	disgust	0.766
repugnance	ריפּיאַנץ	disgust	0.766
revulsion	רעוואַלוששאַן	disgust	0.766
xenophobia	קסענאָפאָביאַ	disgust	0.766
regurgitation	רעגורגיטאַטיאָן	disgust	0.766
anthrax	אַנטראַקס	disgust	0.766
lynch	lynch	disgust	0.766
dissection	דיססעקשאַן	disgust	0.759
canker	קאַנקער	disgust	0.758
cruelty	cruelty	disgust	0.758
perversion	perversion	disgust	0.758
evil	בייז	disgust	0.758
slum	slum	disgust	0.758
infectious	ינפעקטיאָוס	disgust	0.758
mucous	מיוקאַס	disgust	0.758
phlegm	phlegm	disgust	0.758
leeches	leeches	disgust	0.750
decomposition	דיקאַמפּאָוזישאַן	disgust	0.750
sinister	זינדיקער	disgust	0.750
corrupting	פאַרדאָרבן	disgust	0.750
demon	דעמאָן	disgust	0.742
stinking	סטינקינג	disgust	0.742
septic	septic	disgust	0.742
deranged	deranged	disgust	0.742
bile	ביל	disgust	0.742
soiled	סוילד	disgust	0.742
mucus	מיוקאַס	disgust	0.742
abhorrence	אַבאָררענסע	disgust	0.742
abomination	אַבאַמאַניישאַן	disgust	0.742
sickening	sickening	disgust	0.742
demonic	דעמאָניק	disgust	0.742
foul	פאָול	disgust	0.734
obese	אַביס	disgust	0.734
sicken	sicken	disgust	0.734
degeneracy	degeneracy	disgust	0.734
crucifixion	קרוסיפיקשאַן	disgust	0.734
despicable	despicable	disgust	0.734
cancer	ראַק	disgust	0.734
atrocity	אַסטראָלאָגיע	disgust	0.734
terrorism	טעראָריזם	disgust	0.734
dirty	גראָב	disgust	0.727
dysentery	דיזענטעריע	disgust	0.727
adultery	ניעף	disgust	0.727
contamination	קאַנטאַמאַניישאַן	disgust	0.727
bacterium	באַקטיריאַ	disgust	0.727
diabolical	diabolical	disgust	0.727
morbidity	מאָרבידיטי	disgust	0.727
grisly	grisly	disgust	0.727
repulsion	רעפּולסיאָן	disgust	0.727
enema	ענעמאַ	disgust	0.727
contagion	contagion	disgust	0.719
disfigured	דיספיגיערד	disgust	0.719
muck	muck	disgust	0.719
lewd	lewd	disgust	0.719
garbage	מיסט	disgust	0.719
autopsy	אָטאַפּסי	disgust	0.719
bowels	געדערעם	disgust	0.719
gross	גראָב	disgust	0.719
vulgar	פּראָסט	disgust	0.719
barbaric	באַרבאַריק	disgust	0.719
disgust	עקל	disgust	0.719
vicious	ראָצכיש	disgust	0.719
entrails	ינטראַלז	disgust	0.719
deterioration	דיטיריעריישאַן	disgust	0.719
pungent	pungent	disgust	0.719
bloodshed	בלאָאָדשעד	disgust	0.714
violent	גוואַלדיק	disgust	0.711
tyrant	טיראַנט	disgust	0.711
poisoned	פּויזאַנד	disgust	0.711
