word	Zulu-zu	emotion	emotion-intensity-score
investigation	uphenyo	anticipation	0.586
gambling	ukugembula	anticipation	0.586
delightful	okujabulisayo	anticipation	0.586
enjoying	ujabulele	anticipation	0.586
seek	funani	anticipation	0.586
impatient	ukubekezela	anticipation	0.586
overdue	kudlulile	anticipation	0.586
crave	nqwenela	anticipation	0.586
flirt	ngothando	anticipation	0.586
enthusiast	umdlandla	anticipation	0.586
presumption	ukucabangela	anticipation	0.586
immerse	cwilisa	anticipation	0.586
progression	ukuqhubeka	anticipation	0.586
experiment	ukuhlolwa	anticipation	0.580
inviting	ukumema	anticipation	0.578
precarious	okungahambi kahle	anticipation	0.578
blessing	isibusiso	anticipation	0.578
harvest	ukuvuna	anticipation	0.578
transcendence	ukudlula	anticipation	0.578
heavenly	ezulwini	anticipation	0.578
attainable	kufinyeleleka	anticipation	0.578
enjoy	ujabulele	anticipation	0.578
divination	ukubhula	anticipation	0.578
excavation	ukuthungwa	anticipation	0.578
healing	ukuphulukiswa	anticipation	0.578
majestic	mkhulu	anticipation	0.578
clamor	ukukloloda	anticipation	0.578
thirst	ukoma	anticipation	0.578
remedy	ukulungisa	anticipation	0.578
prosper	uphumelele	anticipation	0.578
risk	ingozi	anticipation	0.578
angling	i-angling	anticipation	0.578
completing	ukuqedela	anticipation	0.578
thriving	ephumelelayo	anticipation	0.578
zest	zest	anticipation	0.570
tease	tease	anticipation	0.570
matchmaker	umeshi womdlalo	anticipation	0.570
prospectively	ngokuphumelelayo	anticipation	0.570
restlessness	ukuphumula	anticipation	0.570
sweetheart	othandekayo	anticipation	0.570
emancipation	ukukhululwa	anticipation	0.570
ultimate	ekugcineni	anticipation	0.570
invite	umeme	anticipation	0.570
gambler	umgembula	anticipation	0.570
dare	qaphele	anticipation	0.570
plan	plan	anticipation	0.570
magnificence	ubukhulu	anticipation	0.570
warned	waxwayiswa	anticipation	0.570
finally	ekugcineni	anticipation	0.570
intimate	obuseduze	anticipation	0.570
omen	vula	anticipation	0.570
attempt	zama	anticipation	0.562
forewarned	waxwayiswa ngaphambili	anticipation	0.562
fun	kumnandi	anticipation	0.562
festival	umkhosi	anticipation	0.562
trophy	i-trophy	anticipation	0.562
rejoice	thokozani	anticipation	0.562
fanfare	fanfare	anticipation	0.562
predilection	ukubikezela	anticipation	0.562
exalt	phakamisa	anticipation	0.562
parade	i-parade	anticipation	0.562
enchant	enchant	anticipation	0.562
independence	ukuzimela	anticipation	0.562
expose	ukuveza	anticipation	0.562
immortality	ukungafi	anticipation	0.562
expected	kulindelwe	anticipation	0.562
mysterious	imfihlakalo	anticipation	0.562
hypothesis	i-hypothesis	anticipation	0.562
accolade	ukuphoqa	anticipation	0.562
lover	umthandi	anticipation	0.562
quicken	phindaphinda	anticipation	0.562
champion	iqhawe	anticipation	0.562
lovely	lovely	anticipation	0.555
rejoicing	ukujabula	anticipation	0.555
grasping	ukubamba	anticipation	0.555
grow	sikhule	anticipation	0.555
curiosity	ilukuluku	anticipation	0.555
splendor	ubukhazikhazi	anticipation	0.555
salvation	insindiso	anticipation	0.555
happy	ujabule	anticipation	0.555
oracle	i-oracle	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	vula	anticipation	0.555
boisterous	isiyaluyalu	anticipation	0.555
liberty	inkululeko	anticipation	0.555
heroism	ubuqhawe	anticipation	0.555
feeling	ukuzwa	anticipation	0.555
shopping	bethenga	anticipation	0.555
fate	isiphetho	anticipation	0.555
uneasiness	unasiness	anticipation	0.555
speculative	kucabangela	anticipation	0.555
changeable	ingashintsha	anticipation	0.547
recreational	ukuzijabulisa	anticipation	0.547
pray	thandaza	anticipation	0.547
warn	uxwayisa	anticipation	0.547
suspicious	okusolisayo	anticipation	0.547
convergence	ukuguqulwa	anticipation	0.547
incite	khuthaza	anticipation	0.547
agape	agape	anticipation	0.547
morrow	kusasa	anticipation	0.547
abundance	inqwaba	anticipation	0.547
delighted	Ngijabulile	anticipation	0.547
resultant	umphumela	anticipation	0.547
hungry	ulambile	anticipation	0.547
monetary	imali	anticipation	0.547
vote	uvote	anticipation	0.547
glory	inkazimulo	anticipation	0.547
glimmer	glimmer	anticipation	0.547
apprehensive	ukukhathazeka	anticipation	0.547
sorcery	ubulovu	anticipation	0.547
bountiful	unomvuzo	anticipation	0.547
leisure	ukuzilibazisa	anticipation	0.547
probability	amathuba	anticipation	0.547
auction	auction	anticipation	0.539
hunting	ukuzingela	anticipation	0.539
contingent	okulandelanayo	anticipation	0.539
hankering	ukuhlenga	anticipation	0.539
sensual	izinsizwa	anticipation	0.539
blessings	izibusiso	anticipation	0.539
ballot	ukuvota	anticipation	0.539
grandchildren	abazukulu	anticipation	0.539
entertainment	ukuzijabulisa	anticipation	0.539
vindication	ukuqinisekiswa	anticipation	0.539
worrying	ukukhathazeka	anticipation	0.539
tempest	isiphepho	anticipation	0.539
inquiry	uphenyo	anticipation	0.539
merge	hlanganisa	anticipation	0.539
exceed	kudlula	anticipation	0.539
bounty	bounty	anticipation	0.539
glad	ujabule	anticipation	0.536
magnificent	kuhle kakhulu	anticipation	0.531
feat	feat	anticipation	0.531
stealthy	i-stealthy	anticipation	0.531
cheer	sijabule	anticipation	0.531
spirits	imimoya	anticipation	0.531
visitor	isivakashi	anticipation	0.531
appeal	isikhalazo	anticipation	0.531
forming	ukwakha	anticipation	0.531
hurried	esheshayo	anticipation	0.531
responsive	ukuphendula	anticipation	0.531
virginity	ubuntombi	anticipation	0.531
deliverance	ukukhululwa	anticipation	0.531
betrothed	betrothed	anticipation	0.531
overthrow	ukuphonswa	anticipation	0.531
harbinger	i-harbinger	anticipation	0.531
raving	ukuhlukumeza	anticipation	0.531
celestial	esezulwini	anticipation	0.531
dread	ukwesaba	anticipation	0.531
germination	ukuhluma	anticipation	0.523
preparatory	ukulungiselela	anticipation	0.523
pleasant	mnandi	anticipation	0.523
watch	bukela	anticipation	0.523
prophet	umprofethi	anticipation	0.523
prognostic	ukubikezela	anticipation	0.523
haste	masinya	anticipation	0.523
planning	ukuhlela	anticipation	0.523
importance	ukubaluleka	anticipation	0.523
radiance	ukukhanya	anticipation	0.523
prevail	inqoba	anticipation	0.523
cheery	ukuthanda	anticipation	0.523
competition	ukuncintisana	anticipation	0.523
ultimately	ekugcineni	anticipation	0.523
revive	hlaziya	anticipation	0.523
beaming	ukugcoba	anticipation	0.523
wait	linda	anticipation	0.523
child	ingane	anticipation	0.523
notification	isaziso	anticipation	0.523
hunter	umzingeli	anticipation	0.523
explosive	ukuqhuma	anticipation	0.523
endanger	engozini	anticipation	0.516
time	isikhathi	anticipation	0.516
recreation	ukuzijabulisa	anticipation	0.516
renovation	ukulungiswa kabusha	anticipation	0.516
precious	okuyigugu	anticipation	0.516
begun	iqalile	anticipation	0.516
loom	phumula	anticipation	0.516
compensate	ukubuyisela	anticipation	0.516
treat	phatha	anticipation	0.516
uncontrollable	angalawuleki	anticipation	0.516
present	okwamanje	anticipation	0.516
salary	umholo	anticipation	0.516
celebrity	udumo	anticipation	0.516
owing	ukukhokha	anticipation	0.516
chocolate	ushokoledi	anticipation	0.516
caution	uqaphele	anticipation	0.516
fermentation	ukuvutshelwa	anticipation	0.516
sensuality	izinzwa	anticipation	0.516
wilderness	ehlane	anticipation	0.508
signify	bonisa	anticipation	0.508
transitional	okuguquguqukayo	anticipation	0.508
intermission	ukuphumula	anticipation	0.508
contemplation	ukuzindla	anticipation	0.508
vigilance	ukuqapha	anticipation	0.508
commemoration	isikhumbuzo	anticipation	0.508
practise	sebenzisa	anticipation	0.508
cue	cue	anticipation	0.508
infant	usana	anticipation	0.508
dreadful	esabekayo	anticipation	0.508
perfection	ukuphelela	anticipation	0.508
elevation	ukuphakama	anticipation	0.508
prerequisite	okudingekayo	anticipation	0.508
cultivate	hlakulele	anticipation	0.508
horizon	ukukhanya	anticipation	0.508
develop	ukuthuthukisa	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	bhukuda	anticipation	0.500
attendance	ukufika	anticipation	0.500
nascent	i-nascent	anticipation	0.500
favorable	kuhle	anticipation	0.500
peril	ingozi	anticipation	0.500
income	imali	anticipation	0.500
ardent	i-ardent	anticipation	0.500
commemorate	khumbula	anticipation	0.500
doomsday	inhlekelele	anticipation	0.500
reconciliation	ukubuyisana	anticipation	0.500
utopian	i-utopian	anticipation	0.500
romantic	uthando	anticipation	0.500
unbridled	engavunyelwe	anticipation	0.500
sunny	ilanga	anticipation	0.500
uphill	ukukhuphuka	anticipation	0.500
intuitively	intuitively	anticipation	0.500
depart	shiya	anticipation	0.500
eventuality	ukuphela kwesikhathi	anticipation	0.500
puppy	puppy	anticipation	0.500
zeal	intshiseko	anticipation	0.500
sneaking	sneaking	anticipation	0.500
ready	ukulungele	anticipation	0.500
advocacy	ukukhuthaza	anticipation	0.500
airport	sezindiza	anticipation	0.500
litigate	ukuphikisa	anticipation	0.500
blindfold	i-blindfold	anticipation	0.500
undisclosed	engaziwa	anticipation	0.500
young	osemncane	anticipation	0.500
horoscope	i-horoscope	anticipation	0.500
invocation	ukucela	anticipation	0.500
calculation	ukubalwa	anticipation	0.500
hero	hero	anticipation	0.500
court	inkantolo	anticipation	0.492
repay	buyisela	anticipation	0.492
improvise	hlehlisa	anticipation	0.492
parole	i-parole	anticipation	0.492
worry	sikhathazeke	anticipation	0.492
inauguration	ukuvulwa	anticipation	0.492
gaping	gaping	anticipation	0.492
youth	ubusha	anticipation	0.492
bless	ubusise	anticipation	0.492
defense	ukuvikela	anticipation	0.492
heyday	i-heyday	anticipation	0.492
consequent	okulandelayo	anticipation	0.492
proceeding	ukuqhubeka	anticipation	0.492
eventual	ekugcineni	anticipation	0.492
perspective	umbono	anticipation	0.492
restorative	ukuvuselela	anticipation	0.492
undertaking	ukwenza	anticipation	0.492
highest	ephakeme kakhulu	anticipation	0.491
duel	i-duel	anticipation	0.484
unexplained	akuchaziwe	anticipation	0.484
tremor	ukuthuthumela	anticipation	0.484
sharpen	hlaziya	anticipation	0.484
generosity	ukuphana	anticipation	0.484
voluptuous	i-voluptuous	anticipation	0.484
shortly	maduzane	anticipation	0.484
vow	isifungo	anticipation	0.484
contagion	ukutheleleka	anticipation	0.484
letter	incwadi	anticipation	0.484
happen	kwenzeke	anticipation	0.484
threaten	usongela	anticipation	0.484
conjure	ukuthukuthela	anticipation	0.484
sparkle	kukhanya	anticipation	0.484
engulf	faka	anticipation	0.484
god	unkulunkulu	anticipation	0.484
correspondence	izincwadi	anticipation	0.484
auspicious	auspicious	anticipation	0.484
princely	ngobukhulu	anticipation	0.484
adore	ukuthanda	anticipation	0.477
enroll	bhalisa	anticipation	0.477
determinate	inquma	anticipation	0.477
predispose	i-predispose	anticipation	0.477
clue	inkomba	anticipation	0.477
onset	kuqala	anticipation	0.477
powerful	unamandla	anticipation	0.477
glorify	khazimulisa	anticipation	0.477
glow	ukukhanya	anticipation	0.477
arbitration	ukuxabana	anticipation	0.477
torture	ukuhlushwa	anticipation	0.477
gravitate	bhala	anticipation	0.477
cherish	cherish	anticipation	0.477
contemplate	cabanga	anticipation	0.477
submit	thumela	anticipation	0.477
perilous	engozini	anticipation	0.477
unification	ukuhlanganisa	anticipation	0.477
score	Umphumela	anticipation	0.477
medal	indondo	anticipation	0.477
glide	glide	anticipation	0.477
recipient	umamukeli	anticipation	0.477
accompaniment	ukuhambisana	anticipation	0.477
praiseworthy	kuhlonishwa	anticipation	0.473
providing	ukuhlinzeka	anticipation	0.469
motion	ukunyakaza	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	qaphela	anticipation	0.469
cash	ukheshi	anticipation	0.469
precursor	isandulela	anticipation	0.469
opera	i-opera	anticipation	0.469
elite	elite	anticipation	0.469
pry	pry	anticipation	0.469
hire	ukuqasha	anticipation	0.469
sweets	amaswidi	anticipation	0.469
star	inkanyezi	anticipation	0.469
unsurpassed	okungapheli	anticipation	0.469
successful	uphumelele	anticipation	0.469
unknown	engaziwa	anticipation	0.469
immediately	ngokushesha	anticipation	0.469
starry	inkanyezi	anticipation	0.469
production	ukukhiqizwa	anticipation	0.469
football	ibhola	anticipation	0.469
completion	ukuqedwa	anticipation	0.469
scare	esabisa	anticipation	0.469
invoke	ukucela	anticipation	0.469
shaky	ukhululekile	anticipation	0.469
dawn	kusasa	anticipation	0.469
creeping	ezinwabuzelayo	anticipation	0.469
cheerfulness	ukujabula	anticipation	0.461
soundness	ukuzwakala	anticipation	0.461
mail	imeyili	anticipation	0.461
draft	uhlaka	anticipation	0.461
preliminary	kuqala	anticipation	0.461
friendly	nobungane	anticipation	0.461
commemorative	isikhumbuzo	anticipation	0.461
extricate	i-extricate	anticipation	0.461
alive	ephila	anticipation	0.461
untold	okungaziwa	anticipation	0.461
overture	ukunqwabelana	anticipation	0.461
excel	kakhulu	anticipation	0.461
plight	ukuhlupheka	anticipation	0.461
synchronize	vumelanisa	anticipation	0.461
punt	punt	anticipation	0.461
sanctuary	indawo engcwele	anticipation	0.461
brilliant	brilliant	anticipation	0.461
pay	akhokhe	anticipation	0.461
shining	shining	anticipation	0.461
regatta	i-regatta	anticipation	0.461
testament	isivumelwano	anticipation	0.461
jeopardy	kuyingozi	anticipation	0.461
perpetuity	ukuhlala njalo	anticipation	0.453
elegance	ubuhle	anticipation	0.453
career	umsebenzi	anticipation	0.453
basketball	basketball	anticipation	0.453
intimately	ngokuseduze	anticipation	0.453
renovate	lungisa kabusha	anticipation	0.453
supremacy	ukuphakama	anticipation	0.453
infinity	okungapheliyo	anticipation	0.453
unexpected	okungalindelekile	anticipation	0.453
flinch	flinch	anticipation	0.453
complement	uhlanganise	anticipation	0.453
prologue	isandulela	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	ukuvimbela	anticipation	0.453
improve	phuthukisa	anticipation	0.453
sunset	ukushona kwelanga	anticipation	0.453
inaugural	ukuvula	anticipation	0.453
rehabilitation	ukuvuselelwa	anticipation	0.453
fitting	ukufaneleka	anticipation	0.445
surround	nxazonke	anticipation	0.445
share	wabelane	anticipation	0.445
epidemic	ubhubhane	anticipation	0.445
sweet	elimnandi	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	ukufihla	anticipation	0.445
confidence	ukuzethemba	anticipation	0.445
perfect	ephelele	anticipation	0.445
sun	ilanga	anticipation	0.445
veracity	ubuqotho	anticipation	0.445
volunteer	ivolontiya	anticipation	0.445
conjecture	i-conjecture	anticipation	0.445
medical	ukwelashwa	anticipation	0.438
prepared	ulungiselelwe	anticipation	0.438
superstitious	inkolelo-ze	anticipation	0.438
reconstruction	ukwakha kabusha	anticipation	0.438
tickle	khathaza	anticipation	0.438
faith	ukholo	anticipation	0.438
passenger	umgibeli	anticipation	0.438
saint	isanta	anticipation	0.438
respect	inhlonipho	anticipation	0.438
rabid	intukuthelo	anticipation	0.438
reconstruct	yakha kabusha	anticipation	0.438
recombination	ukubuyiswa kabusha	anticipation	0.438
devout	ukuzinikela	anticipation	0.438
goodness	ubuhle	anticipation	0.438
angel	ingelosi	anticipation	0.438
ferment	ukuvuthwa	anticipation	0.438
plea	isikhalazo	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	serial	anticipation	0.438
conservation	ukulondolozwa	anticipation	0.438
serenity	ukuthula	anticipation	0.430
tabulate	thinta	anticipation	0.430
install	faka	anticipation	0.430
labyrinth	i-labyrinth	anticipation	0.430
venerable	inhlonipho	anticipation	0.430
perpetuate	qhubekisa	anticipation	0.430
strategist	i-strategist	anticipation	0.430
unverified	engaqinisekisiwe	anticipation	0.430
tribunal	inkantolo	anticipation	0.430
charitable	isihle	anticipation	0.430
luscious	enhle	anticipation	0.430
spa	spa	anticipation	0.430
peace	ukuthula	anticipation	0.430
clap	ukuphoqa	anticipation	0.430
conspirator	umqambi	anticipation	0.422
forestall	ihlehlise	anticipation	0.422
patience	ukubekezela	anticipation	0.422
oasis	i-oasis	anticipation	0.422
grin	i-grin	anticipation	0.422
revere	hlonela	anticipation	0.422
worship	ukukhulekela	anticipation	0.422
vista	i-vista	anticipation	0.422
laughter	ukuhleka	anticipation	0.422
volatility	ukungazami	anticipation	0.422
adrift	adrift	anticipation	0.422
candid	u-candid	anticipation	0.422
edification	ukwakha	anticipation	0.422
unresolved	ayixazululiwe	anticipation	0.422
peaceful	ukuthula	anticipation	0.422
recognizable	kubonakala	anticipation	0.422
calls	izingcingo	anticipation	0.414
weigh	isisindo	anticipation	0.414
probation	ukuhlolwa	anticipation	0.414
proficiency	ubuchwepheshe	anticipation	0.414
morn	ekuseni	anticipation	0.414
craps	kuphahlazeka	anticipation	0.414
detainee	uboshiwe	anticipation	0.414
mediate	hlanganisa	anticipation	0.414
continue	qhubeka	anticipation	0.414
astrologer	isazi sezinkanyezi	anticipation	0.414
punctual	ukugcina isikhathi	anticipation	0.414
ordination	ukulungiswa	anticipation	0.414
pretty	kuhle	anticipation	0.414
thought	wacabanga	anticipation	0.414
grant	ukunikeza	anticipation	0.414
withstand	ukumelana	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	okuqhubekayo	anticipation	0.414
sing	cula	anticipation	0.411
long	eside	anticipation	0.406
confession	ukuvuma	anticipation	0.406
headlight	ukukhanya kwekhanda	anticipation	0.406
prophylactic	i-prophylactic	anticipation	0.406
mother	umama	anticipation	0.406
debenture	ukuboleka	anticipation	0.406
wizard	idijithali	anticipation	0.406
university	yunivesithi	anticipation	0.406
proud	ukuziqhenya	anticipation	0.406
midwife	umbelethisi	anticipation	0.406
banquet	idili	anticipation	0.406
continuation	ukuqhubeka	anticipation	0.406
navigable	indlela yokuhamba	anticipation	0.406
punished	ujeziswe	anticipation	0.406
chicane	i-chicane	anticipation	0.406
comfort	induduzo	anticipation	0.406
opponent	umphikisi	anticipation	0.406
subscribe	bhalisa	anticipation	0.406
outdo	ngaphandle	anticipation	0.406
nurture	ukukhulisa	anticipation	0.406
twinkle	shinyisa	anticipation	0.406
deal	ukuphatha	anticipation	0.402
efficient	ephumelelayo	anticipation	0.398
representing	emele	anticipation	0.398
simmer	simmer	anticipation	0.398
symphony	i-symphony	anticipation	0.398
judiciary	i-judiciary	anticipation	0.398
obliging	okuphoqelekile	anticipation	0.398
saintly	ingcwele	anticipation	0.398
vigil	qaphelani	anticipation	0.398
death	ukufa	anticipation	0.398
distracting	ukuphazamisa	anticipation	0.398
mortification	ukuphikisana	anticipation	0.398
balm	i-balm	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	phezulu	anticipation	0.398
lettered	okufakwe ohlwini	anticipation	0.398
reliance	ukuthembela	anticipation	0.398
poke	phakamisa	anticipation	0.391
unfulfilled	engagcwaliseki	anticipation	0.391
assurance	isiqinisekiso	anticipation	0.391
condemnation	ukulahlwa	anticipation	0.391
undoubted	akungabazeki	anticipation	0.391
diplomacy	izingxoxo	anticipation	0.391
familiarity	ukujwayela	anticipation	0.391
antidote	antidote	anticipation	0.391
chuckle	chuckle	anticipation	0.391
objective	injongo	anticipation	0.391
maternal	umama	anticipation	0.391
abeyance	ukuzinza	anticipation	0.391
art	ubuciko	anticipation	0.391
linger	ihlala isikhathi eside	anticipation	0.391
trust	ukwethemba	anticipation	0.391
depraved	epholile	anticipation	0.391
sanctify	ngcwelisa	anticipation	0.391
inoculation	inoculation	anticipation	0.384
chant	chant	anticipation	0.383
banger	banger	anticipation	0.383
playground	indawo yokudlala	anticipation	0.383
failing	ukuhluleka	anticipation	0.383
ship	umkhumbi	anticipation	0.383
hymn	iculo	anticipation	0.383
simplify	lula	anticipation	0.383
ram	inqama	anticipation	0.383
labor	umsebenzi	anticipation	0.383
discretion	ukuqonda	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	kuhle	anticipation	0.383
scientist	usosayensi	anticipation	0.383
undecided	okungaqondile	anticipation	0.383
humanitarian	ukusiza abantu	anticipation	0.383
depend	zithembele	anticipation	0.383
dutiful	okuyiqiniso	anticipation	0.383
clock	iwashi	anticipation	0.375
sterling	sterling	anticipation	0.375
mountain	intaba	anticipation	0.375
savor	ukunambitheka	anticipation	0.375
recurrent	njalo	anticipation	0.375
interim	okwesikhashana	anticipation	0.375
navigator	umhambi	anticipation	0.375
gradual	kancane kancane	anticipation	0.375
interminable	singapheli	anticipation	0.375
track	ithrekhi	anticipation	0.375
public	umphakathi	anticipation	0.375
cradle	ukulala	anticipation	0.375
concealed	kufihlwe	anticipation	0.367
lesson	isifundo	anticipation	0.367
instructions	imiyalelo	anticipation	0.367
shiver	thuthumela	anticipation	0.367
musical	umculo	anticipation	0.367
towering	ukuphakama	anticipation	0.367
whim	i-whim	anticipation	0.367
spear	umkhonto	anticipation	0.367
convince	kholisa	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	uhlale	anticipation	0.367
biennial	biennial	anticipation	0.367
theology	imfundiso yenkolo	anticipation	0.359
offset	offset	anticipation	0.359
atone	kuhlaselwa	anticipation	0.359
timidity	amahloni	anticipation	0.359
theory	i-theory	anticipation	0.359
undying	ukuphazamisa	anticipation	0.359
plump	i-plump	anticipation	0.359
audience	izilaleli	anticipation	0.357
nobility	ubuhle	anticipation	0.352
paragon	i-paragon	anticipation	0.352
dietary	yokudla	anticipation	0.352
closure	ukuvalwa	anticipation	0.352
store	isitolo	anticipation	0.352
localize	indawo	anticipation	0.352
cramp	i-cramp	anticipation	0.352
daily	nsuku zonke	anticipation	0.352
kindred	umndeni	anticipation	0.352
farm	epulazini	anticipation	0.352
edition	edition	anticipation	0.352
consecration	ukuzinikezela	anticipation	0.352
archaeology	ukuvubukula	anticipation	0.344
mobile	mobile	anticipation	0.344
errand	iphutha	anticipation	0.344
wireless	ezingenantambo	anticipation	0.344
mutable	ingaguquleka	anticipation	0.344
meditate	cabanga	anticipation	0.344
stripped	ihlubule	anticipation	0.344
lessen	unciphise	anticipation	0.336
unaccountable	ayitholakali	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	umzalwane	anticipation	0.336
buddy	buddy	anticipation	0.336
unbeaten	unbeaten	anticipation	0.336
germ	igciwane	anticipation	0.336
dove	ijuba	anticipation	0.328
digress	digress	anticipation	0.328
ribbon	ibhoni	anticipation	0.328
olfactory	olfactory	anticipation	0.328
patient	isiguli	anticipation	0.328
council	umkhandlu	anticipation	0.328
possess	ifa	anticipation	0.328
secular	zezwe	anticipation	0.328
chastity	ubumsulwa	anticipation	0.328
disposed	zilahlwa	anticipation	0.320
regularity	ukuhlala njalo	anticipation	0.320
mediator	umlamuleli	anticipation	0.320
scrutinize	hlola	anticipation	0.320
fancy	fancy	anticipation	0.320
immature	ukuvuka	anticipation	0.320
infanticide	i-infanticide	anticipation	0.320
heft	i-heft	anticipation	0.320
preservative	isilondolozi	anticipation	0.320
paddle	i-paddle	anticipation	0.320
cove	i-cove	anticipation	0.320
denying	ukuphika	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	ayishicilelwe	anticipation	0.312
analyst	umhlaziyi	anticipation	0.312
grim	okubi	anticipation	0.312
church	isonto	anticipation	0.312
priesthood	ubupristi	anticipation	0.305
mill	umshini	anticipation	0.305
judicial	ukugwetshwa	anticipation	0.305
broadside	isakaza	anticipation	0.305
tributary	i-tributary	anticipation	0.297
cap	i-cap	anticipation	0.297
thermocouple	i-thermocouple	anticipation	0.297
dismay	ukuphazamiseka	anticipation	0.297
instructor	umfundisi	anticipation	0.297
saliva	amathe	anticipation	0.297
exhaustion	ukukhathala	anticipation	0.297
bruise	ukulimaza	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	abangenamakhaya	anticipation	0.289
visor	i-visor	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	inethiwekhi	anticipation	0.289
shackle	shackle	anticipation	0.289
addresses	amakheli	anticipation	0.289
noncompliance	ukungahambisani	anticipation	0.289
cataract	i-cataract	anticipation	0.289
skewed	skewed	anticipation	0.281
astronomer	isazi sezinkanyezi	anticipation	0.281
neighbor	umakhelwane	anticipation	0.281
holiness	ubungcwele	anticipation	0.273
devil	uDeveli	anticipation	0.273
cream	ukhilimu	anticipation	0.273
picket	ikhekhethi	anticipation	0.273
latent	ivuliwe	anticipation	0.273
immaturity	ukungakhulelwa	anticipation	0.273
sentence	isigwebo	anticipation	0.273
neighborhood	umakhelwane	anticipation	0.266
morals	ukuziphatha	anticipation	0.266
lull	lull	anticipation	0.266
habitual	okuvamile	anticipation	0.266
weight	isisindo	anticipation	0.258
bye	bahle	anticipation	0.258
forearm	phambili	anticipation	0.250
clown	clown	anticipation	0.250
organ	isitho	anticipation	0.250
quote	ukucaphuna	anticipation	0.242
commonplace	indawo evamile	anticipation	0.242
dictatorship	ubushiqela	anticipation	0.234
board	ibhodi	anticipation	0.234
white	ezimhlophe	anticipation	0.234
treadmill	umshini wokuhamba ngezinyawo	anticipation	0.234
rail	isitimela	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	isihlahla	anticipation	0.227
paralysis	ukukhubazeka	anticipation	0.211
worm	imbungu	anticipation	0.203
organization	inhlangano	anticipation	0.203
cement	usimende	anticipation	0.203
lagging	ukungena	anticipation	0.180
neutral	ukungathathi hlangothi	anticipation	0.148
cannibalism	ukubulawa komuntu	disgust	0.953
mutilation	ukuguqulwa	disgust	0.930
molestation	ukuhlukunyezwa	disgust	0.914
incest	umlingani	disgust	0.914
gonorrhea	i-gonorrhea	disgust	0.906
rape	ukudlwengula	disgust	0.906
cannibal	i-cannibal	disgust	0.898
rot	ukubola	disgust	0.891
corpse	isidumbu	disgust	0.883
massacre	ukubulala	disgust	0.883
excrement	indle	disgust	0.883
slaughter	ukubulawa	disgust	0.875
barf	NO TRANSLATION	disgust	0.875
slaughterhouse	indlu yokubulala	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	ukuthuthwa kwamanzi	disgust	0.859
incestuous	incestuous	disgust	0.859
filth	ukungcola	disgust	0.859
bigot	i-bigot	disgust	0.859
infestation	ukushaywa umoya	disgust	0.852
plague	isifo	disgust	0.852
bloodthirsty	igazi	disgust	0.852
holocaust	ukushisa	disgust	0.852
rotting	ukubola	disgust	0.844
maggot	i-maggot	disgust	0.844
feces	udoti	disgust	0.844
fecal	fecal	disgust	0.844
murder	ukubulala	disgust	0.839
infanticide	i-infanticide	disgust	0.836
homicide	ukubulala	disgust	0.836
asshole	i-asshole	disgust	0.836
enslaved	ubugqila	disgust	0.836
gore	ukufaka	disgust	0.828
perverted	ihlanekezelwe	disgust	0.828
torture	ukuhlushwa	disgust	0.828
slaughtering	ukuhlatshwa	disgust	0.828
excretion	ukuphela	disgust	0.828
contaminate	ukungcola	disgust	0.821
murderer	umbulali	disgust	0.820
gory	gory	disgust	0.820
repugnant	ihlambalaza	disgust	0.820
desecration	ukuchithwa	disgust	0.820
grotesque	i-grotesque	disgust	0.820
revolting	ukuvukela	disgust	0.820
diarrhoea	isifo sohudo	disgust	0.820
manure	umquba	disgust	0.820
terrorist	amaphekula	disgust	0.820
shit	shit	disgust	0.820
pervert	uphenduke	disgust	0.820
slavery	ubugqila	disgust	0.812
faeces	indlala	disgust	0.812
sewer	ukuthungwa kwamanzi	disgust	0.812
vomit	hlamba	disgust	0.812
manslaughter	ukubulawa kwabantu	disgust	0.812
dismemberment	ukuqedwa	disgust	0.812
cadaver	i-cadaver	disgust	0.812
hemorrhage	ukubola kwesisu	disgust	0.805
repulsive	kuhlambalaza	disgust	0.805
perverse	ukuphikisa	disgust	0.805
filthy	inhlamba	disgust	0.797
sewage	ukuthuthwa kwamanzi	disgust	0.797
depravity	ukungcola	disgust	0.797
diseased	isifo	disgust	0.797
carcass	isidumbu	disgust	0.795
decompose	ukubola	disgust	0.789
vermin	i-vermin	disgust	0.789
puke	i-puke	disgust	0.789
parasite	i-parasite	disgust	0.789
