word	Bengali-bn	emotion	emotion-intensity-score
vulgarity	গ্রাম্যতা	disgust	0.703
disgusting	ন্যক্কারজনক	disgust	0.703
grope	অনুভব করা	disgust	0.703
slut	বেশ্যা	disgust	0.703
poisoning	বিষণ	disgust	0.703
depraved	চরিত্রহীন	disgust	0.703
noxious	বিনাশসাধক	disgust	0.703
porn	অশ্লীল রচনা	disgust	0.703
nasty	কদর্য	disgust	0.703
slimy	কর্দমাক্ত	disgust	0.703
despotism	স্বৈরতন্ত্র	disgust	0.703
nauseate	বিরক্তি বোধ করা	disgust	0.703
secretion	লুকাইয়া রাখা বস্তু	disgust	0.703
constipation	কোষ্ঠকাঠিন্য	disgust	0.703
hateful	ঘৃণ্য	disgust	0.703
grime	কয়লার কালি	disgust	0.703
measles	হাম	disgust	0.696
contagious	সংক্রামক	disgust	0.695
hellish	নারকীয়	disgust	0.695
waste	অপব্যয়	disgust	0.695
suicidal	আত্মঘাতী	disgust	0.695
abuse	অপব্যবহার	disgust	0.695
hate	ঘৃণা	disgust	0.695
wretch	নরাধম	disgust	0.695
intestinal	অভ্যন্তরীণ	disgust	0.695
wart	আঁচিল	disgust	0.695
obesity	স্থূলতা	disgust	0.695
scum	গাদ	disgust	0.695
contaminated	কলুষিত	disgust	0.688
disease	রোগ	disgust	0.688
rabid	ক্ষিপ্তবৎ	disgust	0.688
ooze	ধীরে ধীরে ক্ষরণ	disgust	0.688
treason	বিশ্বাসঘাতকতা	disgust	0.688
heartworm	heartworm	disgust	0.688
smut	কালিঝুলি	disgust	0.688
cholera	কলেরা	disgust	0.680
deformed	অঙ্গবিহীন	disgust	0.680
detest	ঘৃণা করা	disgust	0.680
bestial	পাশব	disgust	0.680
sickness	অসুস্থতা	disgust	0.680
antichrist	খ্রীষ্টশত্রু	disgust	0.680
abhorrent	জঘন্য	disgust	0.680
soulless	আত্মাহীন	disgust	0.680
freakish	আবদারে	disgust	0.680
grimy	নোংরা	disgust	0.680
hatred	ঘৃণা	disgust	0.680
pollution	দূষণ	disgust	0.680
germ	জীবাণু	disgust	0.680
abominate	ঘৃণায় পরিহার করা	disgust	0.680
hell	জাহান্নাম	disgust	0.680
dilapidated	জীর্ণ	disgust	0.672
dictatorship	একনায়কতন্ত্র	disgust	0.672
inhuman	অমানুষ	disgust	0.672
greasy	চর্বিযুক্ত	disgust	0.672
hideous	অসহ্য	disgust	0.672
loathful	কষাটে	disgust	0.672
obscene	অশ্লীল	disgust	0.672
loathing	ঘৃণাকারী	disgust	0.672
cess	উপকর	disgust	0.670
devil	শয়তান	disgust	0.664
heretic	পাষণ্ড	disgust	0.664
nauseous	বিরক্তি উদ্রেককর	disgust	0.664
abominable	জঘন্য	disgust	0.664
deformity	অঙ্গবিকৃতি	disgust	0.664
deadly	মারাত্মক	disgust	0.664
swine	শূকর	disgust	0.664
discrimination	বৈষম্য	disgust	0.664
masochism	মর্ষকাম	disgust	0.664
poisonous	বিষাক্ত	disgust	0.656
prejudiced	পক্ষপাতদুষ্ট	disgust	0.656
bacteria	ব্যাকটেরিয়া	disgust	0.656
death	মরণ	disgust	0.656
poison	বিষ	disgust	0.656
trash	আবর্জনা	disgust	0.656
abortion	গর্ভপাত	disgust	0.656
corruption	দুর্নীতি	disgust	0.656
victimized	শিকার	disgust	0.656
oppression	নিপীড়ন	disgust	0.656
goo	সস্তা ভাবালুতা	disgust	0.656
latrines	ল্যাট্রিন	disgust	0.656
horror	ভয়	disgust	0.656
horrible	ভয়ঙ্কর	disgust	0.656
nefarious	পৈশাচিক	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	প্রতিহিংসাপরায়ণ	disgust	0.648
outhouse	বাহির বাটী	disgust	0.648
horrid	ভয়ানক	disgust	0.648
detestation	জঘন্যতা	disgust	0.648
sludge	কর্দম	disgust	0.648
ugly	অরুপ	disgust	0.648
trashy	বাজে	disgust	0.648
bitch	দুশ্চরিত্রা	disgust	0.648
immoral	অসৎ	disgust	0.648
malfeasance	কুকর্ম	disgust	0.641
spew	বমি	disgust	0.641
pimple	ফুস্কুড়ি	disgust	0.641
indecency	অশ্লীলতা	disgust	0.641
unsightly	কুদর্শন	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	দুর্বৃত্ত	disgust	0.641
cystic	সিস্টিক	disgust	0.641
horrifying	ভয়াবহ	disgust	0.641
derogatory	হানিকর	disgust	0.641
laxative	জোলাপ	disgust	0.641
criminality	অপরাধিত্ব	disgust	0.641
oppressive	অত্যাচারী	disgust	0.633
sinful	পাপিষ্ঠ	disgust	0.633
bigoted	গোঁড়া	disgust	0.633
doomsday	শেষবিচারের দিন	disgust	0.633
prostitution	পতিতাবৃত্তি	disgust	0.633
ulcer	ঘাত	disgust	0.633
secrete	লুকাইয়া রাখা	disgust	0.633
perpetrator	অপরাধী	disgust	0.633
rat	ইঁদুর	disgust	0.633
queasy	সহজে বিচলিত	disgust	0.633
mildew	চিতা	disgust	0.633
dastardly	কাপুধ়ষোচিত	disgust	0.625
disgraceful	মর্যাদাহানিকর	disgust	0.625
ghastly	ভয়ানক	disgust	0.625
persecution	নিপীড়ন	disgust	0.625
devilish	শয়তানসুলভ	disgust	0.625
degrading	অধ: পতিত	disgust	0.625
obscenity	অশ্লীলতা	disgust	0.625
fungus	ছাতা	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	অতিভোজন	disgust	0.625
stools	মল	disgust	0.625
suffering	সহন	disgust	0.625
contemptible	নীচ	disgust	0.625
cuckold	অসতীপতি	disgust	0.625
bloated	স্ফীত	disgust	0.625
aghast	বিস্ময়ে হতবুদ্ধি	disgust	0.625
betrayal	বিশ্বাসঘাতকতা	disgust	0.617
guillotine	শিরছেদনার্থ যন্ত্রবিশেষ	disgust	0.617
infect	সংক্রামিত করা	disgust	0.617
spoil	লুণ্ঠন	disgust	0.617
tetanus	ধনুষ্টংকার রোগ	disgust	0.617
fat	চর্বি	disgust	0.617
louse	উকুন	disgust	0.617
malicious	বিদ্বেষপরায়ণ	disgust	0.617
polygamy	বহুবিবাহ	disgust	0.617
crusty	কর্কশ	disgust	0.617
atrocious	নৃশংস	disgust	0.617
deceit	শঠতা	disgust	0.617
termite	উই	disgust	0.617
loathe	অতিশয় অপছন্দ করা	disgust	0.617
wench	বালিকা	disgust	0.617
dying	মরণ	disgust	0.617
sickly	দুর্বল	disgust	0.617
diaper	বুটি	disgust	0.617
strangle	শ্বাসরোধ করা	disgust	0.617
drool	আবোলতাবোল বকা	disgust	0.609
slander	অপবাদ	disgust	0.609
abhor	ঘৃণাসহকারে পরিহার করা	disgust	0.609
venomous	বিদ্বেষপূর্ণ	disgust	0.609
brothel	বেশ্যালয়	disgust	0.609
ghetto	শহরে ইন্থর্দিপাড়া	disgust	0.609
violently	আবেগপূর্নভাবে	disgust	0.609
hostile	প্রতিকূল	disgust	0.609
sabotage	অন্তর্ঘাত	disgust	0.609
deform	আকৃতি বিকৃত করা	disgust	0.609
bleeding	যুদ্ধপীড়িত	disgust	0.609
unwashed	আধোয়	disgust	0.602
lunacy	পাগলামি	disgust	0.602
imprisonment	কারাবাস	disgust	0.602
infidel	অবিশ্বাসী	disgust	0.602
deprivation	বিয়োগব্যথা	disgust	0.602
traitor	বিশ্বাসঘাতক	disgust	0.602
ugliness	কদর্যতা	disgust	0.602
musty	বাসি	disgust	0.602
illicit	অবৈধ	disgust	0.602
swampy	বিলুয়া	disgust	0.602
poaching	চোরাশিকার	disgust	0.602
hag	কুত্সিত কুড়ি	disgust	0.602
butcher	কসাই	disgust	0.594
lunatic	চন্দ্রাহত	disgust	0.594
venom	বিষ	disgust	0.594
repelling	বিরক্তিকর	disgust	0.594
thug	খুনে	disgust	0.594
misery	দুর্বিপাক	disgust	0.594
toilet	টয়লেট	disgust	0.594
slug	স্লাগ্	disgust	0.594
catastrophe	বিপর্যয়কারী ঘটনা	disgust	0.594
epidemic	মহামারী	disgust	0.594
gut	সাহস	disgust	0.594
intoxicated	মত্ত	disgust	0.594
blister	ফোস্কা	disgust	0.594
deceitful	শঠ	disgust	0.594
hostility	শত্রুতা	disgust	0.594
queasiness	বমন	disgust	0.594
lurid	উত্তেজনাপূর্ণ	disgust	0.594
sinner	পাপী	disgust	0.594
incubus	দু: স্বপ্ন	disgust	0.586
lavatory	পায়খানা	disgust	0.586
harass	হয়রান করা	disgust	0.586
unclean	অপবিত্র	disgust	0.586
prostitute	পতিতা	disgust	0.586
pornography	অশ্লীল রচনা	disgust	0.586
dreadful	ভয়ঙ্কর	disgust	0.586
deteriorated	ভাঙ্গা	disgust	0.586
appalling	আতঙ্কজনক	disgust	0.586
unfaithful	অবিশ্বস্ত	disgust	0.578
rash	ফুসকুড়ি	disgust	0.578
humiliating	অপমানকর	disgust	0.578
ruinous	ধ্বংসপ্রাপ্ত	disgust	0.578
squeamish	খুঁতখুঁতে	disgust	0.578
offensive	আক্রমণাত্মক	disgust	0.578
conspirator	চক্রান্তকারী	disgust	0.578
larceny	অপহরণ	disgust	0.578
debauchery	লাম্পট্য	disgust	0.578
mangle	ছিন্ন করা	disgust	0.578
flea	মাছি	disgust	0.578
hypocrite	ভণ্ড	disgust	0.578
retard	মন্দীভূত করা	disgust	0.578
fiend	পাষণ্ড	disgust	0.578
sick	অসুস্থ	disgust	0.578
quagmire	জলা	disgust	0.578
expulsion	বিতাড়ন	disgust	0.578
treacherous	বিশ্বাসঘাতক	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	থুতু	disgust	0.570
devastating	বিধ্বংসী	disgust	0.570
bastard	জারজ	disgust	0.570
messy	নোংরা	disgust	0.570
flog	কশান	disgust	0.570
egregious	গুরুতর	disgust	0.570
swamp	জলা	disgust	0.570
oppress	জুলুম করা	disgust	0.570
despise	অবজ্ঞা করা	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	সর্প	disgust	0.570
snake	সাপ	disgust	0.562
terrible	ভয়ানক	disgust	0.562
awful	ভয়াবহ, আতঙ্কজনক	disgust	0.562
harmful	ক্ষতিকর	disgust	0.562
insanity	বাতুলতা	disgust	0.562
indecent	অশ্লীল	disgust	0.562
sordid	নোংরা	disgust	0.562
loo	পায়খানা	disgust	0.562
scoundrel	খচ্চর	disgust	0.562
enemy	শত্রু	disgust	0.562
stealing	চুরি	disgust	0.562
alcoholism	মদ্যাশক্তি	disgust	0.562
humiliation	নাকাল	disgust	0.562
ruthless	দয়ালু নয় এমন	disgust	0.562
sloppy	পঙ্কিল	disgust	0.562
tyrannical	অত্যাচারী	disgust	0.562
harlot	বেশ্যা	disgust	0.562
sinning	নারকী	disgust	0.562
robbery	ডাকাতি	disgust	0.555
insufferable	অসহনীয়	disgust	0.555
arsenic	সেঁকোবিষ	disgust	0.555
bloody	রক্তাক্ত	disgust	0.555
odious	ঘৃণ্য	disgust	0.555
ridicule	উপহাস	disgust	0.555
atrophy	ক্ষয়িষ্ণুতা	disgust	0.555
beastly	বদমাশ	disgust	0.555
collusion	সাজশ	disgust	0.555
distaste	অরূচি	disgust	0.555
segregate	নি: সঙ্গ করা	disgust	0.555
discriminating	পক্ষপাতমূলক	disgust	0.555
coward	ভীরু	disgust	0.555
wickedness	পাপা	disgust	0.555
threatening	শাসানি	disgust	0.555
unattractive	অনাকর্ষণীয়	disgust	0.555
slayer	হত্যাকারী	disgust	0.555
flabby	তুলতুলে	disgust	0.555
varicella	জলবসন্ত	disgust	0.555
miserable	দু: স্থ	disgust	0.547
sty	শূকরের খোঁয়াড়	disgust	0.547
ogre	রাক্ষস	disgust	0.547
coercion	বলপ্রয়োগ	disgust	0.547
thief	চোর	disgust	0.547
slur	কলঙ্ক	disgust	0.547
suffocating	শ্বাসরোধী	disgust	0.547
anathema	অভিশাপ	disgust	0.547
purgatory	প্রায়শ্চিত্তমূলক	disgust	0.547
malevolent	হিংসক	disgust	0.547
bitterly	ভেঙ্গে	disgust	0.547
burglar	সিঁধেল চোর	disgust	0.547
attacking	আক্রমণ	disgust	0.547
vesicular	ভেসিকুলার	disgust	0.547
condemnation	নিন্দা	disgust	0.547
pillage	লুঠতরাজ	disgust	0.547
deleterious	ক্ষতিকর	disgust	0.547
thrash	ছেঁচা	disgust	0.539
repellant	repellant	disgust	0.539
repudiation	পরিত্যাগ	disgust	0.539
infidelity	বিশ্বাসঘাতকতা	disgust	0.539
liar	মিথ্যাবাদী	disgust	0.539
fatty	মোটা	disgust	0.539
gob	মুখগহ্বর	disgust	0.539
sneer	টিটকারি	disgust	0.539
drunken	মাতাল	disgust	0.539
disgrace	মর্যাদাহানি	disgust	0.539
shame	লজ্জা	disgust	0.539
jealous	ঈর্ষান্বিত	disgust	0.539
imprisoned	অবরুদ্ধ	disgust	0.539
pig	শূকর	disgust	0.539
greedy	লোভী	disgust	0.539
sloth	আলস্য	disgust	0.539
lethal	মারাত্মক	disgust	0.536
burnt	দগ্ধ	disgust	0.531
aberration	স্খলন	disgust	0.531
condescension	অনুকংপা	disgust	0.531
hydrocephalus	হাইড্রোসেফালাস	disgust	0.531
hanging	ঝুলন্ত	disgust	0.531
destructive	ধ্বংসাত্মক	disgust	0.531
smuggler	চোরাকারবারি	disgust	0.531
intolerant	অসহ	disgust	0.531
travesty	হাস্যকর অনুকরণ	disgust	0.531
intrusive	অনধিকারপ্রবেশমূলক	disgust	0.531
ruined	ছারখার	disgust	0.531
withered	শুষ্ক	disgust	0.531
disintegrate	ভাঙ্গা	disgust	0.531
brawl	তোলপাড়	disgust	0.531
blemish	কলঙ্ক	disgust	0.531
neurotic	বায়ুগ্রস্ত	disgust	0.531
blasphemous	ধর্মহীন	disgust	0.531
lying	মিথ্যা	disgust	0.531
painful	বেদনাদায়ক	disgust	0.531
avarice	অর্থলিপ্সা	disgust	0.523
disgraced	নিন্দিত	disgust	0.523
mistress	উপপত্নী	disgust	0.523
disparaging	অপমানজনক	disgust	0.523
rubbish	আবর্জনা	disgust	0.523
derogation	খর্বতা	disgust	0.523
accusation	অভিযোগ	disgust	0.523
intolerance	অক্ষমা	disgust	0.523
incarceration	কারারোধ	disgust	0.523
blighted	blighted	disgust	0.523
sump	sump	disgust	0.516
deplorable	শোচনীয়	disgust	0.516
daemon	অপদেবতা	disgust	0.516
cringe	ধামা ধরা	disgust	0.516
degrade	অধ: পতন করা	disgust	0.516
gutter	নর্দমা	disgust	0.516
rob	হরণ করা	disgust	0.516
grim	ভয়ানক	disgust	0.516
defraud	প্রতারণা করা	disgust	0.516
tortious	ক্ষতিকারক	disgust	0.516
eradication	উচ্ছেদ	disgust	0.516
stink	দুর্গন্ধ	disgust	0.516
convict	আসামি	disgust	0.516
dishonor	অসম্মান	disgust	0.516
vulture	শকুনি	disgust	0.516
remains	দেহাবশেষ	disgust	0.516
mite	ফোঁটা	disgust	0.516
betray	গুপ্তরহস্য প্রকাশ করা	disgust	0.516
sham	মিথ্যা	disgust	0.509
endemic	স্থানীয়	disgust	0.508
bombed	বোমাবর্ষণ	disgust	0.508
distress	মর্মপীড়া	disgust	0.508
pest	কীটপতঙ্গ	disgust	0.508
incurable	অনারোগ্য	disgust	0.508
worthless	অখাদ্য	disgust	0.508
rejection	প্রত্যাখ্যান	disgust	0.508
distasteful	অরূচিকর	disgust	0.508
schizophrenia	সীত্সফ্রেনীয়্যা	disgust	0.508
belittle	তুচ্ছতাচ্ছিল্য করা	disgust	0.508
smelling	ঘ্রাণ	disgust	0.508
cheat	প্রতারণা	disgust	0.508
blob	ফোঁটা	disgust	0.508
prisoner	বন্দী	disgust	0.508
idiocy	মূর্খতা	disgust	0.508
delirium	প্রলাপ	disgust	0.508
disaster	বিপর্যয়	disgust	0.508
crude	অশোধিত	disgust	0.508
resentment	বিরক্তিভাব	disgust	0.508
dreadfully	dreadfully	disgust	0.508
glut	গোগ্রাসে গেলা	disgust	0.508
polemic	বিতর্কমূলক	disgust	0.500
derision	উপহাস	disgust	0.500
idolatry	প্রতিমাপূজা	disgust	0.500
taboo	নিষিদ্ধ	disgust	0.500
screaming	চিত্কার	disgust	0.500
banish	খেদান	disgust	0.500
dirt	ময়লা	disgust	0.500
goblin	অপদেবতা	disgust	0.500
shackle	হাতকড়া	disgust	0.500
bribery	উত্কোচ গ্রহণ	disgust	0.500
flagrant	ঘোর	disgust	0.500
jealousy	সন্দেহ	disgust	0.500
impurity	অপবিত্রতা	disgust	0.500
theft	চুরি	disgust	0.500
bitterness	তিক্ততা	disgust	0.500
offense	অপরাধ	disgust	0.500
impeach	অভিযুক্ত করা	disgust	0.500
blight	ক্ষয় করা	disgust	0.500
duress	কয়েদ	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	ক্ষুধা	disgust	0.500
tirade	সুদীর্ঘ বক্তৃতা	disgust	0.500
squirm	squirm	disgust	0.492
robber	ডাকাত	disgust	0.492
ill	অসুস্থ	disgust	0.492
unconscionable	অযৌক্তিক	disgust	0.492
recession	মন্দা	disgust	0.492
gorge	ঘাট	disgust	0.492
wreck	ধ্বংস	disgust	0.492
malign	মারাত্মক	disgust	0.492
boil	ফুটান	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	নির্বোধ	disgust	0.492
disreputable	কলঙ্কিত	disgust	0.492
wasteful	অযথা	disgust	0.484
affliction	দু: খ	disgust	0.484
stain	দাগ	disgust	0.484
contempt	অবজ্ঞা	disgust	0.484
nappy	কড়া	disgust	0.484
mutiny	বিদ্রোহ	disgust	0.484
occult	অতিপ্রাকৃত	disgust	0.484
tramp	পদব্রজে ভ্রমণ	disgust	0.484
unbearable	অসহ্য	disgust	0.484
offender	অপরাধী	disgust	0.484
servile	ক্রীতদাসতুল্য	disgust	0.484
contraband	নিষিদ্ধ	disgust	0.484
raging	raging	disgust	0.484
snarl	খেঁক করা	disgust	0.484
mad	পাগল	disgust	0.484
subjugation	আরতি	disgust	0.484
possessed	আবিষ্ট	disgust	0.484
animosity	বিদ্বেষ	disgust	0.484
aversation	aversation	disgust	0.484
defamation	মানহানি	disgust	0.484
disrespectful	অনার্য	disgust	0.484
mess	জগাখিচুড়ি	disgust	0.484
nepotism	আত্মীয়পোষণ	disgust	0.484
inexcusable	অমার্জনীয়	disgust	0.484
pathetic	হৃদয়স্পর্শী	disgust	0.477
unpleasant	অপ্রীতিকর	disgust	0.477
suppression	চাপাচাপি	disgust	0.477
mockery	উপহাস	disgust	0.477
palsy	পক্ষাঘাত	disgust	0.477
criminal	অপরাধী	disgust	0.477
illegality	অবৈধতা	disgust	0.477
uncaring	uncaring	disgust	0.477
antagonistic	শত্রুভাবাপন্ন	disgust	0.477
immorality	ব্যভিচার	disgust	0.477
dismal	অন্ধকারময়	disgust	0.477
angry	ক্রুদ্ধ	disgust	0.469
repellent	বিরক্তিকর	disgust	0.469
cough	কাশি	disgust	0.469
arrogant	অহংকারী	disgust	0.469
grating	কটু	disgust	0.469
aggravation	অধোগমন	disgust	0.469
livid	সীসকবর্ণ	disgust	0.469
banishment	নির্বাসন	disgust	0.469
shoddy	নিরেস	disgust	0.469
banshee	Banshee	disgust	0.469
poverty	দারিদ্র্য	disgust	0.469
wallow	অধ: পতন	disgust	0.469
outrage	অত্যাচার	disgust	0.469
mocking	বিদ্রূপকারী	disgust	0.469
furious	অগ্নিশর্মা	disgust	0.469
perspiration	ঘাম	disgust	0.469
prick	ফুটা	disgust	0.461
recklessness	অদূরদর্শিতা	disgust	0.461
distorted	বিকৃত	disgust	0.461
fraudulent	প্রতারণাপূর্ণ	disgust	0.461
spider	মাকড়সা	disgust	0.461
quack	হাতুড়ে ডাক্তার	disgust	0.461
perdition	নরকবাস	disgust	0.461
muddy	পঙ্কিল	disgust	0.461
spurious	কৃত্রিম	disgust	0.461
insulting	অপমানকর	disgust	0.461
scar	খুঁত	disgust	0.461
deceive	ছলা	disgust	0.461
unjustifiable	অসমর্থনীয়	disgust	0.461
fool	মূর্খ	disgust	0.461
deplore	বিলাপ করা	disgust	0.461
plunder	লুঠতরাজ	disgust	0.461
aphid	এদের অবস'ানের পাশাপাশি	disgust	0.453
bane	সর্বনাশ	disgust	0.453
indignation	ঘৃণামিশ্রিত ক্রোধ	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	স্বার্থপর	disgust	0.453
disparage	অবজ্ঞা করা	disgust	0.453
cur	ইতর লোক	disgust	0.453
dishonest	অসাধু	disgust	0.453
stigma	পাংশু	disgust	0.453
eschew	পরিহার করা	disgust	0.453
antipathy	বিদ্বেষ	disgust	0.453
alienate	হস্তান্তর করিয়া দেত্তয়া	disgust	0.453
disingenuous	কপট	disgust	0.453
elimination	বর্জন	disgust	0.453
unthinkable	অভাবনীয়	disgust	0.453
wasted	বরবাদ	disgust	0.445
recalcitrant	বিরুপ	disgust	0.445
iniquity	অপরাধ	disgust	0.445
mosquito	মশা	disgust	0.445
caries	অস্থির ক্ষয়রোগ	disgust	0.445
bankruptcy	দেউলিয়া অবস্থা	disgust	0.445
egotistical	আত্মম্ভরি	disgust	0.445
piles	পাইলস	disgust	0.445
smell	গন্ধ	disgust	0.445
vacuous	শূন্য	disgust	0.445
despair	হতাশা	disgust	0.445
opium	আফিম	disgust	0.445
garish	চটকদার	disgust	0.445
lie	মিথ্যা	disgust	0.445
pious	ধার্মিক	disgust	0.445
aversion	বিরাগ	disgust	0.438
sticky	আঠাল	disgust	0.438
scream	চিত্কার	disgust	0.438
alien	পরক	disgust	0.438
shun	পরিহার করা	disgust	0.438
abnormal	অস্বাভাবিক	disgust	0.438
ashamed	লজ্জিত	disgust	0.438
inmate	নিবাসী	disgust	0.438
abject	পতিত	disgust	0.438
hog	শূকর	disgust	0.438
hopelessness	আশাহীনতা	disgust	0.438
homeless	গৃহহীন	disgust	0.438
obnoxious	আপত্তিকর	disgust	0.438
curse	অভিশাপ	disgust	0.430
creature	জীব	disgust	0.430
cursing	অভিশাপ	disgust	0.430
illegal	অবৈধ	disgust	0.430
lusty	তেজী	disgust	0.430
shameless	লজ্জাহীন	disgust	0.430
debris	ধ্বংসাবশেষ	disgust	0.430
defiance	দ্বন্দ্বার্থ আহ্বান	disgust	0.430
pall	যবনিকা	disgust	0.430
falsity	মিথ্যা কথা	disgust	0.430
reflux	প্রতিপ্রবাহ	disgust	0.430
incredulous	বিশ্বাসহীন	disgust	0.430
adverse	প্রতিকূল	disgust	0.430
trickery	কপট	disgust	0.430
callous	অনুভূতিহীন	disgust	0.430
separatist	বিচ্ছিন্নতাবাদী	disgust	0.430
undesirable	অকাম্য	disgust	0.430
denounce	সমালোচনা করা	disgust	0.430
witch	জাদুকরী	disgust	0.430
bum	পশ্চাদ্দেশ	disgust	0.422
bovine	জড়বুদ্ধি	disgust	0.422
denunciation	অভিশাপ	disgust	0.422
untidy	অপরিচ্ছন্ন	disgust	0.422
impure	অপবিত্র	disgust	0.422
mistrust	অবিশ্বাস	disgust	0.422
tarnish	কলঙ্কিত করা	disgust	0.422
ferocious	হিংস্র	disgust	0.422
gush	প্রবাহ	disgust	0.422
infantile	শিশুসুলভ	disgust	0.422
ammonia	হাইড্রোজেন ত্ত নাইট্রোজেন গ্যাসের মিলনে গ্যাসীয়	disgust	0.422
offend	চটান	disgust	0.422
idiotic	আহাম্মক	disgust	0.422
hypertrophy	hypertrophy	disgust	0.422
nicotine	নিকোটীন্	disgust	0.422
tasteless	বিস্বাদ	disgust	0.422
pompous	আত্মম্ভরী	disgust	0.422
socialist	সমাজতান্ত্রিক	disgust	0.422
delinquent	অপরাধী	disgust	0.422
swarm	ঝাঁক	disgust	0.422
contentious	কুস্বভাব	disgust	0.422
carelessness	অসতর্কতা	disgust	0.422
hairy	লোমশ	disgust	0.422
wasting	নাশক	disgust	0.422
slush	জলকাদা	disgust	0.422
affront	অপমান করা	disgust	0.422
collapse	পতন	disgust	0.422
badness	অসাধুতা	disgust	0.422
dishonesty	অসাধুতা	disgust	0.414
vegetative	জায়মান	disgust	0.414
displacency	displacency	disgust	0.414
unfavorable	প্রতিকূল	disgust	0.414
disobey	অমান্য করা	disgust	0.414
sour	টক	disgust	0.414
socialism	সমাজতন্ত্র	disgust	0.414
murky	অস্পষ্ট	disgust	0.414
neglected	অবহেলিত	disgust	0.414
drivel	আবোলতাবোল বকা	disgust	0.414
vampire	রক্তচোষা	disgust	0.414
litigious	মামলাবাজ	disgust	0.414
illegitimate	অবৈধ	disgust	0.414
disgruntled	খেয়ালী	disgust	0.406
ignorant	অজ্ঞ	disgust	0.406
outcast	নির্বাসিত	disgust	0.406
unkind	ক্ষমাহীন	disgust	0.406
repel	প্রতিরোধ করা	disgust	0.406
displeasure	অপ্রসন্নতা	disgust	0.406
phony	অপ্রকৃত	disgust	0.406
shoplifting	জাপানী	disgust	0.406
dislike	অপছন্দ	disgust	0.406
unlawful	বেআইনী	disgust	0.406
bogus	বাজে	disgust	0.406
discontinuity	বিচ্ছিন্নভাবে	disgust	0.406
recidivism	অপরাধপ্রবণতা	disgust	0.406
ungrateful	অকৃতজ্ঞ	disgust	0.406
wrongdoing	উন্মার্গ	disgust	0.406
falsify	মিথ্যা বর্ণনা করা	disgust	0.406
prosecution	প্রসিকিউশন	disgust	0.406
failure	ব্যর্থতা	disgust	0.398
loon	অসভ্য মানুষ	disgust	0.398
lick	লেহন	disgust	0.398
subvert	পরাভূত করা	disgust	0.398
rigor	কাঠিন্য	disgust	0.398
unruly	অবশ	disgust	0.398
paucity	অনটন	disgust	0.398
unnatural	অপ্রাকৃত	disgust	0.398
averse	বিমুখ	disgust	0.398
senseless	অচেতন	disgust	0.398
worsening	খারাপ	disgust	0.398
disdain	অবজ্ঞা	disgust	0.398
woe	দুর্ভাগ্য	disgust	0.398
woefully	শোচনীয়ভাবে	disgust	0.398
amphetamines	amphetamines	disgust	0.398
stingy	বখিল	disgust	0.398
crushing	নিষ্পেষণ	disgust	0.398
insult	অপমান	disgust	0.393
damage	ক্ষতি	disgust	0.391
hardened	কঠিনীভূত	disgust	0.391
diatribe	সুদীর্ঘ বিতর্ক	disgust	0.391
averseness	averseness	disgust	0.391
critter	Critter	disgust	0.391
muff	পাকাইয়া ফেলা	disgust	0.391
antisocial	অসামাজিক	disgust	0.391
punishment	শাস্তি	disgust	0.391
bad	খারাপ	disgust	0.391
punished	দণ্ডিত	disgust	0.391
disrelish	অপছন্দ	disgust	0.391
expel	ঠেলা	disgust	0.391
farcical	হাস্যকর	disgust	0.391
scorpion	বিছা	disgust	0.391
sacrifices	বলি	disgust	0.383
plagiarism	রচনাচুরি	disgust	0.383
hypocritical	কুটিল	disgust	0.383
divorce	বিবাহবিচ্ছেদ	disgust	0.383
presumptuous	কোন বেয়াদব	disgust	0.383
discord	অনৈক্য	disgust	0.383
fugitive	পলাতক	disgust	0.383
fulsome	ন্যক্কারজনক	disgust	0.383
shabby	হীন	disgust	0.383
orc	Orc	disgust	0.383
adder	পরিশিষ্ট	disgust	0.383
anaconda	বড় অজগর সাপ	disgust	0.383
surly	কর্কশকণ্ঠ	disgust	0.383
irrational	অযৌক্তিক	disgust	0.383
disappoint	নিরাশ করা	disgust	0.383
illiterate	নিরক্ষর	disgust	0.383
lament	বিলাপ	disgust	0.383
eviction	উচ্ছেদ	disgust	0.383
teeming	পরিপূর্ণ	disgust	0.383
guilt	দোষ	disgust	0.383
misconduct	অসদাচরণ	disgust	0.375
blame	দোষ	disgust	0.375
alienation	উন্মত্ততা	disgust	0.375
depressing	বিষণ্ণ	disgust	0.375
irritating	বিরক্তিকর	disgust	0.375
plight	অঙ্গীকার	disgust	0.375
unworthy	অযোগ্য	disgust	0.375
dislocated	স্থানচু্যত	disgust	0.375
scoff	উপহাসের পাত্র	disgust	0.375
irritation	উপদ্রব	disgust	0.375
defective	ত্রুটিপূর্ণ	disgust	0.375
shock	অভিঘাত	disgust	0.375
hoax	ধাপ্পাবাজি	disgust	0.367
